#,Player,Group,Team,Matches,Catches,WK Catches,Direct RO,InDirect RO,Stumpings,Total,Points
1,Bala Kandhan,A,Newport CC,13,4,29,0,1,0,34,340
2,Rohit Ranjan,A,Plainsboro Knights,14,2,28,0,0,0,30,300
3,Siva Sivalenka,B,Blue Aces CC,14,1,26,1,0,1,29,310
4,Naveen Byrappa,A,Desi Warriors,15,0,23,1,3,1,28,300
5,Arpit Vaghasia,A,Jersey Titans,13,4,22,0,1,0,27,270
6,Sanket Kulkarni,B,Gryffindors,13,1,26,0,0,0,27,270
7,Devadathan Biju,A,Youth For Sewa,11,3,21,0,2,1,27,280
8,Pavan Poojar,A,Hudson Hurricanes,14,2,21,1,0,1,25,270
9,Prabhjeet Singh,A,Storm Riders,15,14,8,0,2,0,24,240
10,Sajjad Faisal Syed,B,Nj Tigers,11,2,21,0,0,0,23,230
11,Amol Manjrekar,A,Sreeshti,14,3,18,0,2,0,23,230
12,Vivian Pereira,A,RHG,9,1,15,0,1,5,22,270
13,Ravindar Perala,A,Falcons,13,4,18,0,0,0,22,220
14,Madhav Reddy,A,Desi Warriors,15,21,0,0,1,0,22,220
15,Kashish Shah,B,Maha CC,12,4,15,0,2,0,21,210
16,Munazam Raja,B,Nj Stars CC,12,0,20,0,0,0,20,200
17,Sanju S,A,Samudhra Gladiators,13,1,18,1,0,0,20,210
18,Charanjot Singh,B,Fdu Giants,14,0,19,0,0,0,19,190
19,Calvin Dabre,B,Aryans,12,4,10,3,0,1,18,220
20,Rahul Patel,B,11spartans,13,3,11,2,1,0,17,190
21,Prabhakar Vudumula,B,Blue Aces CC,14,15,1,1,0,0,17,180
22,Jay Domadiya,A,Jersey Titans,14,16,0,0,1,0,17,170
23,Bhavik Patel,A,Pway Lions,12,15,0,1,0,0,16,170
24,Ankit Chopra,B,Fdu Giants,15,14,1,1,0,0,16,170
25,sandeep shetty,A,Samudhra Gladiators,15,7,8,0,1,0,16,160
26,Akshay Pal,B,Jersey Boys,8,1,11,1,3,0,16,170
27,Kishan Patel,B,Jetha 11,13,7,9,0,0,0,16,160
28,Siva Chirumamilla,B,WCC,9,0,12,2,1,0,15,170
29,Ronak Rana,A,Pway Lions,11,2,13,0,0,0,15,150
30,Mitul Patel,A,Storm Riders,12,12,1,0,2,0,15,150
31,Apurv Jain,A,Storm Riders,14,3,5,0,6,1,15,160
32,krunal Patel,B,11spartans,11,13,0,1,0,0,14,150
33,Kirtan Patel,A,Warriors,12,12,0,2,0,0,14,160
34,Chintan SR,A,Gcc,14,1,9,1,1,2,14,170
35,Rohang Patel,A,Gujarat United XI,8,3,11,0,0,0,14,140
36,Arjun R,B,F5,10,2,11,1,0,0,14,150
37,Devashya Patel,B,Juggernaut,14,1,12,0,0,1,14,150
38,Jeet Patel,A,Warriors,14,12,0,2,0,0,14,160
39,Jemin Amin,A,Mercer Challengers,13,13,1,0,0,0,14,140
40,Ravi Rathod,B,11spartans,14,14,0,0,0,0,14,140
41,Kamalraj Rajamanickam,B,Veerans,14,12,0,0,2,0,14,140
42,Nikhil Patankar,B,WCC,11,4,8,0,2,0,14,140
43,Satish kumar Durgam,B,Parsippany Phoenix XI,15,11,0,1,2,0,14,150
44,Sumesh Mathew,A,Sreeshti,14,10,0,3,0,0,13,160
45,Mitesh Dhinoja,B,Jersey Boys,9,2,11,0,0,0,13,130
