matchId,overNum,bowler,runs,legalBalls,dots,wickets,wides,noballs
18737,1,Vinit B,1,6,6,1,1,0
18737,2,Naveen R S,1,6,5,0,0,0
18737,3,Vinit B,10,6,2,0,2,0
18737,4,Naveen R S,5,6,3,0,0,0
18737,5,Ankur C,8,6,4,0,1,1
18737,6,Sandeep S,8,6,4,0,0,0
18737,7,Ankur C,7,6,4,0,0,0
18737,8,Naveen R S,5,6,4,1,0,0
18737,9,Ankur C,5,6,2,1,0,0
18737,10,Harshad P,5,6,2,0,1,0
18737,11,Vinit B,1,6,5,1,0,0
18737,12,Harshad P,2,6,5,1,1,0
18737,13,Ankur C,3,6,4,0,1,0
18737,14,Naveen R S,8,6,3,0,0,0
18737,15,Vinit B,2,6,4,3,0,0
18737,16,Harshad P,6,6,4,1,2,0
18794,1,Vinit B,1,6,5,0,0,0
18794,2,Sandeep S,8,6,3,1,0,0
18794,3,Vinit B,1,6,5,1,0,0
18794,4,Ankur C,11,6,3,0,0,0
18794,5,Vinit B,1,6,5,1,0,0
18794,6,Ankur C,2,6,4,1,0,0
18794,7,Naveen R S,14,6,3,0,0,0
18794,8,Sushil G,10,6,2,1,1,0
18794,9,Naveen R S,7,6,3,1,4,0
18794,10,Sushil G,4,6,3,1,0,0
18794,11,Suraj Pai M,2,6,5,2,1,0
18794,12,Harshad P,18,6,2,0,1,0
18794,13,Vinit B,15,6,0,0,1,0
18794,14,Ankur C,1,6,5,1,0,0
18920,1,Vinit B,2,6,4,0,0,0
18920,2,Sandeep S,4,6,3,1,1,0
18920,3,Harshad P,11,6,1,0,2,0
18920,4,Sandeep S,2,6,4,1,0,0
18920,5,Vinit B,5,6,4,1,0,0
18920,6,Naveen R S,6,6,4,0,1,0
18920,7,Vinit B,1,6,5,1,0,0
18920,8,Naveen R S,1,6,5,0,0,0
18920,9,Ankur C,4,6,4,1,2,0
18920,10,Harshad P,5,6,3,1,1,1
18920,11,Ankur C,0,6,6,1,0,0
18920,12,Naveen R S,5,6,3,0,0,0
18920,13,Vinit B,5,6,4,2,0,0
18920,14,Ankur C,1,6,5,0,0,0
18920,15,Naveen R S,2,6,4,0,0,0
18920,16,Ankur C,9,6,2,0,0,1
18983,1,Vinit B,2,6,4,0,0,0
18983,2,Sandeep S,5,6,3,0,1,0
18983,3,Harshad P,3,6,5,0,1,0
18983,4,Vinit B,11,6,2,0,1,0
18983,5,Naveen R S,4,6,5,0,0,0
18983,6,Ankur C,5,6,4,0,0,0
18983,7,Naveen R S,1,6,5,2,0,0
18983,8,Ankur C,0,6,6,0,0,0
18983,9,Harshad P,11,6,3,0,1,0
18983,10,Naveen R S,4,6,2,1,0,0
18983,11,Ankur C,3,6,5,1,2,0
18983,12,Sushil G,10,6,2,0,0,0
18983,13,Naveen R S,0,6,6,2,0,0
18983,14,Sandeep S,8,6,3,0,0,0
18983,15,Ankur C,6,6,1,1,1,0
18983,16,Harshad P,2,6,4,2,0,0
19152,1,Sandeep S,2,6,4,0,0,0
19152,2,Suraj Pai M,11,6,3,1,1,0
19152,3,Naveen R S,12,6,1,1,1,0
19152,4,Ankur C,3,6,5,0,1,0
19152,5,Naveen R S,8,6,2,0,1,0
19152,6,Ankur C,8,6,4,0,0,0
19152,7,Naveen R S,4,6,3,0,0,0
19152,8,Ankur C,3,6,3,0,0,0
19152,9,Naveen R S,22,6,0,0,1,0
19152,10,Ankur C,4,1,0,0,0,0
19205,1,Vinit B,3,6,5,1,2,0
19205,2,Sandeep S,3,6,4,1,0,0
19205,3,Vinit B,5,6,3,1,2,0
19205,4,Sandeep S,12,6,4,0,0,0
19205,5,Naveen R S,4,6,3,2,1,0
19205,6,Ankur C,3,6,4,0,1,0
19205,7,Naveen R S,2,6,4,1,0,0
19205,8,Ankur C,3,6,3,0,0,0
19205,9,Vinit B,1,6,5,2,0,0
19205,10,Naveen R S,2,6,5,0,0,0
19205,11,Vinit B,5,6,5,1,3,0
19205,12,Naveen R S,0,0,0,0,0,0
19368,1,Vinit B,2,6,4,0,0,0
19368,2,Sandeep S,4,6,4,1,2,0
19368,3,Harshad P,1,6,5,0,0,0
19368,4,Vinit B,4,6,4,1,1,0
19368,5,Naveen R S,0,6,6,1,0,0
19368,6,Vinit B,9,6,3,0,0,0
19368,7,Naveen R S,8,6,3,0,1,0
19368,8,Ankur C,2,6,4,1,0,0
19368,9,Vinit B,5,6,2,0,1,0
19368,10,Ankur C,19,6,2,0,0,0
19368,11,Naveen R S,8,6,3,1,0,0
19368,12,Harshad P,4,6,2,1,0,0
19368,13,Ankur C,13,6,3,0,0,1
19368,14,Harshad P,9,6,3,2,1,0
19368,15,Naveen R S,10,6,4,2,0,0
19422,1,Dileep R,8,6,3,0,0,0
19422,2,Sandeep S,2,6,4,0,0,0
19422,3,Dileep R,1,6,5,1,0,0
19422,4,Sandeep S,0,6,6,0,0,0
19422,5,Naveen R S,1,6,5,0,0,0
19422,6,Ankur C,0,6,6,0,0,0
19422,7,Naveen R S,10,6,2,1,0,0
19422,8,Ankur C,0,6,6,1,0,0
19422,9,Dileep R,4,6,2,0,0,0
19422,10,Ankur C,6,6,3,0,1,0
19422,11,Naveen R S,3,6,3,0,0,0
19422,12,Harshad P,3,6,3,0,0,0
19422,13,Ankur C,6,6,3,1,0,0
19422,14,Harshad P,7,6,2,1,0,0
19422,15,Naveen R S,4,6,2,1,0,0
19422,16,Harshad P,9,6,3,0,1,0
19571,1,Vinit B,6,6,0,0,0,0
19571,2,Harshad P,5,6,3,0,1,0
19571,3,Naveen R S,10,6,2,1,1,0
19571,4,Ankur C,1,6,5,1,0,0
19571,5,Naveen R S,5,6,5,1,1,0
19571,6,Ankur C,2,6,4,1,0,0
19571,7,Naveen R S,0,6,6,0,0,0
19571,8,Vinit B,8,6,4,1,0,0
19571,9,Ankur C,4,6,3,0,1,0
19571,10,Naveen R S,9,6,3,0,1,0
19571,11,Harshad P,2,6,4,1,0,0
19571,12,Ankur C,3,6,4,1,0,0
19571,13,Harshad P,8,6,3,1,2,1
19571,14,Vinit B,2,6,6,1,2,0
19571,15,Harshad P,3,6,3,1,0,0
19638,1,Vinit B,2,6,4,1,0,0
19638,2,Naveen R S,4,6,5,1,0,0
19638,3,Vinit B,17,6,1,0,0,0
19638,4,Naveen R S,3,6,3,0,0,0
19638,5,Dileep R,18,6,2,0,0,0
19638,6,Sandeep S,2,6,4,1,0,0
19638,7,Harshad P,0,6,6,3,0,0
19638,8,Sandeep S,12,6,1,0,1,0
19638,9,Harshad P,9,6,2,0,2,0
19638,10,Naveen R S,5,6,4,1,0,0
19638,11,Vinit B,13,6,2,1,1,0
19638,12,Naveen R S,0,6,6,0,0,0
19638,13,Vinit B,6,6,3,0,2,0
19638,14,Harshad P,2,6,4,0,0,0
19638,15,Sandeep S,7,6,4,1,0,0
19638,16,Harshad P,0,2,2,1,0,0
19745,1,Naveen R S,5,6,2,1,0,0
19745,2,Ankur C,5,6,4,0,0,0
19745,3,Naveen R S,1,6,5,0,0,0
19745,4,Ankur C,8,6,4,1,0,0
19745,5,Sandeep S,3,6,5,2,2,0
19745,6,Suraj Pai M,2,6,4,0,0,0
19745,7,Sandeep S,11,6,3,1,0,0
19745,8,Suraj Pai M,4,6,2,0,0,0
19745,9,Naveen R S,2,6,4,1,0,0
19745,10,Harshad P,0,6,6,2,0,0
19745,11,Naveen R S,3,6,5,0,1,0
19745,12,Harshad P,8,6,2,0,2,0
19745,13,Ankur C,5,6,1,0,0,0
19745,14,Sandeep S,6,6,4,1,2,0
19745,15,Ankur C,4,2,1,1,0,0
19883,1,Vinit B,2,6,4,0,0,0
19883,2,Harshad P,8,6,3,0,0,0
19883,3,Sandeep S,6,6,4,1,1,0
19883,4,Harshad P,7,6,4,0,0,0
19883,5,Vinit B,6,6,3,0,0,0
19883,6,Naveen R S,8,6,3,1,2,0
19883,7,Vinit B,3,6,4,0,0,0
19883,8,Naveen R S,4,6,3,0,0,0
19883,9,Ankur C,7,6,4,1,1,0
19883,10,Sandeep S,11,6,2,0,1,0
19883,11,Ankur C,6,6,3,0,0,0
19883,12,Naveen R S,3,6,3,0,0,0
19883,13,Vinit B,6,6,4,0,1,0
19883,14,Ankur C,9,6,2,0,0,0
19883,15,Naveen R S R,13,6,2,1,0,0
19883,16,Ankur C,6,6,1,1,1,0
19930,1,Vinit B,3,6,3,0,0,0
19930,2,Sandeep S,7,6,4,0,0,0
19930,3,Harshad P,3,6,4,0,1,0
19930,4,Sandeep S,11,6,2,1,3,0
19930,5,Vinit B,6,6,5,1,0,0
19930,6,Naveen R S,7,6,2,1,0,0
19930,7,Harshad P,3,6,4,0,1,0
19930,8,Naveen R S,18,6,2,1,1,0
19930,9,Vinit B,10,6,3,0,2,0
19930,10,Harshad P,5,6,2,0,1,0
19930,11,Naveen R S,8,6,4,1,1,0
19930,12,Harshad P,2,6,6,0,2,0
19930,13,Sandeep S,13,6,2,0,1,0
19930,14,Naveen R S,1,6,5,2,0,0
19930,15,Vinit B,4,6,3,1,1,0
19930,16,Sandeep S,2,3,2,1,0,0
20115,1,Vinit B,3,6,4,0,0,0
20115,2,Sandeep S,2,6,4,1,0,0
20115,3,Harshad P,2,6,5,2,1,0
20115,4,Vinit B,9,6,3,0,0,0
20115,5,Naveen R S,14,6,1,0,1,0
20115,6,Vinit B,16,6,3,0,0,1
20115,7,Naveen R S,1,6,5,1,0,0
20115,8,Ankur C,8,6,4,1,1,0
20115,9,Naveen R S,10,6,2,0,1,0
20115,10,Ankur C,2,6,5,0,1,0
20115,11,Naveen R S,5,6,2,0,1,0
20115,12,Harshad P,11,6,3,2,0,0
20115,13,Ankur C,7,6,4,0,0,0
20115,14,Harshad P,16,6,1,0,1,0
20115,15,Ankur C,2,6,6,2,1,1
20115,16,Harshad P,1,2,2,1,1,0
20158,1,Vinit B,4,6,2,0,0,0
20158,2,Sandheep S,9,6,2,0,0,0
20158,3,Vinit B,6,6,2,0,1,0
