group,rank,team,mat,won,lost,nr,tie,pts,winpct,netrr,for,against
A,1,Pway Lions,16,13,1,2,0,66,92.86%,3.3247,2109/222.5,1362/221.5
A,2,Samudhra Gladiators,16,14,2,0,0,66,87.50%,1.7306,1636/230.4,1336/249.1
A,3,RHG,16,13,2,1,0,65,86.67%,2.4490,1685/231.2,1137/235.1
A,4,Warriors,16,13,3,0,0,61,81.25%,2.7130,2143/245.3,1492/248
A,5,Storm Riders,16,12,3,1,0,59,80.00%,1.3828,1098/184.1,1070/233.4
A,6,Newport CC,16,9,5,2,0,46,64.29%,0.9699,1399/200.2,1340/222.5
A,7,Youth For Sewa,16,10,6,0,0,45,62.50%,0.3396,1646/230.2,1654/243
A,8,Hudson Hurricanes,16,10,6,0,0,45,62.50%,-0.0616,1351/235.1,1440/248
A,9,Desi Warriors,16,9,7,0,0,43,56.25%,0.2350,1440/233.1,1405/236.3
A,10,Jersey Titans,16,9,7,0,0,42,56.25%,0.5972,1325/222.3,1310/244.3
A,11,PUNJAB XI,16,9,6,1,0,42,60.00%,0.0841,1499/218.1,1475/217.2
A,12,Gujarat United XI,16,8,7,1,0,38,53.33%,0.0999,1238/225,1139/210.5
A,13,Nj Braves,16,9,7,0,0,37,56.25%,-0.6381,1285/242,1487/250
A,14,Plainsboro Knights,16,7,8,1,0,36,46.67%,0.3633,1303/227.4,1164/217.1
A,15,Blasters,16,6,8,2,0,31,42.86%,-0.4788,1406/208.4,1548/214.3
A,16,Gcc,16,7,9,0,0,31,43.75%,-1.4244,1590/242.5,1811/227.1
A,17,Sreeshti,16,6,10,0,0,29,37.50%,-0.3618,1536/249.3,1497/229.4
A,18,Mercer Challengers,16,5,10,1,0,26,33.33%,-1.1466,1156/226.3,1323/211.4
A,19,Team Highlanders,16,5,10,1,0,24,33.33%,-0.8368,1331/225.3,1404/208.2
A,20,Falcons,16,4,12,0,0,19,25.00%,-1.3232,1427/249,1606/227.4
B,1,Piscataway Avengers,16,12,4,0,0,59,75.00%,1.8347,1475/206.3,1312/247.1
B,2,Blue Aces CC,16,11,4,1,0,54,73.33%,0.4114,1579/218.5,1633/240
B,3,Nj Stars CC,16,11,5,0,0,52,68.75%,0.7285,1745/250.3,1549/248.2
B,4,Jetha 11,16,10,6,0,0,50,62.50%,2.0497,1870/247.2,1386/251.3
B,5,WCC,16,10,6,0,0,49,62.50%,1.7403,1308/204.1,1193/255.4
B,6,Jersey Boys,16,9,6,1,0,46,60.00%,0.9861,1428/200.4,1460/238.1
B,7,11spartans,16,9,6,1,0,44,60.00%,1.0512,1638/231.1,1397/231.3
B,8,F5,16,9,5,2,0,40*,64.29%,-0.1031,1228/214,1252/214.2
B,9,Veerans,16,8,7,1,0,38,53.33%,-0.3948,1650/222.4,1734/222.1
B,10,Maha CC,16,6,8,2,0,32,42.86%,-0.4941,1211/206.5,1346/212
B,11,Juggernaut,16,5,11,0,0,23,31.25%,-1.0656,1497/244,1691/234.5
B,12,Fdu Giants,16,5,11,0,0,23,31.25%,-1.3088,1306/255.1,1520/236.3
B,13,Rowdy Rebels,16,4,11,1,0,22,26.67%,-1.1844,1136/217,1301/202.4
B,14,Parsippany Phoenix XI,16,4,12,0,0,19,25.00%,-0.9746,1253/242,1414/229.5
B,15,Plainsboro Eagles,16,4,11,1,0,19,26.67%,-2.2819,1363/236.2,1638/203.3
B,16,Aryans,16,4,11,1,0,18*,26.67%,-0.6051,1458/229.5,1538/221.2
B,17,Gryffindors,16,3,13,0,0,12,18.75%,-1.1063,1472/252.1,1685/242.4
B,18,Nj Tigers,16,2,13,1,0,11,13.33%,-2.6733,1126/230.3,1586/209.5
B,19,Edison Rebelz,16,2,14,0,0,9,12.50%,-2.1477,1221/247.2,1581/223.1
B,20,SAMP XI,16,1,14,1,0,7,6.67%,-3.1537,1036/240,1387/185.4
