matchId,team,bowler,O,M,Dot,R,W,Econ,wides,noballs
18680,Storm Riders,Satish Sarode,2.0,0,5,13,1,6.50,1,0
18680,Storm Riders,Shobhit Gupta,4.0,0,12,29,4,7.25,0,0
18680,Storm Riders,Rishabh Tewari,4.0,0,15,22,1,5.50,0,0
18680,Storm Riders,Sameer Kulkarni,1.0,0,1,20,0,20.00,0,1
18680,Storm Riders,Apurv Jain* †,3.0,0,9,22,1,7.33,5,0
18680,Storm Riders,Shreyas Najan,2.0,0,7,10,1,5.00,0,0
18680,11spartans,Krunal Patel,4.0,1,19,11,5,2.75,0,0
18680,11spartans,Neel Patel-13,4.0,0,19,9,2,2.25,1,0
18680,11spartans,Pratik Patel (savali),0.4,0,4,0,3,0.00,0,0
18686,Maha CC,Sudhanshoo Vashisht,2.2,0,7,17,1,7.29,1,0
18686,Maha CC,Ishan Shah,2.0,0,8,10,1,5.00,0,0
18686,Maha CC,Tamaas Khan,3.0,0,13,5,3,1.67,0,0
18686,Maha CC,Danish Shaikh,4.0,0,16,19,2,4.75,1,0
18686,Maha CC,Rizwan Bajwa,3.0,0,12,6,2,2.00,0,0
18686,PUNJAB XI,Lovely Singh,2.0,0,7,14,1,7.00,0,0
18686,PUNJAB XI,Sukhwinder Singh*,4.0,0,14,20,3,5.00,1,0
18686,PUNJAB XI,Azam Mohammad,1.0,0,0,6,0,6.00,0,0
18686,PUNJAB XI,Kashif Khan,3.0,0,11,12,3,4.00,2,0
18686,PUNJAB XI,Arun Pahal,1.3,0,5,6,0,4.00,1,0
18688,Nj Braves,Rushi Makwana,4.0,0,9,51,2,12.75,6,0
18688,Nj Braves,Pradeep Jeyapaul*,4.0,0,16,8,3,2.00,0,0
18688,Nj Braves,Vipul Patel,4.0,1,18,11,2,2.75,0,0
18688,Nj Braves,Jenish Shah,4.0,1,17,9,1,2.25,2,0
18688,Juggernaut,Hemant Patel*,3.0,0,11,8,2,2.67,0,0
18688,Juggernaut,Kailash Naithani,3.1,0,10,19,1,6.00,1,0
18688,Juggernaut,Karan P,2.0,0,6,9,0,4.50,0,0
18688,Juggernaut,Kartik Patel,2.0,0,7,13,1,6.50,2,0
18688,Juggernaut,Jenish Patel,3.0,0,8,31,2,10.33,2,1
18694,Blue Aces CC,Tharak Ram,4.0,0,8,53,0,13.25,0,0
18694,Blue Aces CC,Rajendra Prasad Challa,4.0,0,9,58,2,14.50,0,0
18694,Blue Aces CC,Sandip Nandurkar,3.0,0,4,58,0,19.33,1,0
18694,Blue Aces CC,Dheeraj Dubey*,4.0,0,9,40,1,10.00,0,0
18694,Blue Aces CC,Prabhakar Vudumula,1.0,0,0,19,0,19.00,0,0
18694,Pway Lions,Shail Shah,4.0,0,13,23,4,5.75,2,0
18694,Pway Lions,Kush Choksi,3.0,0,7,29,2,9.67,1,1
18694,Pway Lions,Nish Patel,2.0,0,8,8,0,4.00,0,0
18694,Pway Lions,Drumil Amin,1.0,0,2,7,0,7.00,0,0
18694,Pway Lions,Ronak Rana †,1.0,0,3,15,0,15.00,4,0
18694,Pway Lions,Harsh Desai,1.0,0,4,7,1,7.00,0,0
18694,Pway Lions,Ankush Patel,0.4,0,4,0,3,0.00,0,0
18697,Blasters,Khiamuddin Mohammad,3.0,0,8,25,2,8.33,0,2
18697,Blasters,Jimmy Patel*,4.0,0,10,29,0,7.25,4,1
18697,Blasters,Harsh Amin,3.5,0,9,34,5,8.87,1,0
18697,Blasters,Hardik Patel,4.0,0,15,27,3,6.75,3,1
18697,Blasters,Mrunal Rana,1.0,0,0,19,0,19.00,0,0
18697,Fdu Giants,Sunit Shirke,4.0,1,16,11,1,2.75,0,0
18697,Fdu Giants,Kartik Patel,3.0,1,12,21,1,7.00,1,0
18697,Fdu Giants,Viral Parekh,4.0,1,17,28,3,7.00,5,3
18697,Fdu Giants,Shubh Bhardwaj,1.0,0,0,16,0,16.00,0,0
18697,Fdu Giants,Ankit Chopra,4.0,1,15,15,2,3.75,2,0
18705,Jetha 11,Haren Patel,4.0,0,9,40,2,10.00,4,0
18705,Jetha 11,Jignesh Mukhi Patel,3.0,0,10,25,0,8.33,1,0
18705,Jetha 11,Gary Patel,4.0,0,14,28,3,7.00,2,0
18705,Jetha 11,Hardik Patel,2.0,0,4,19,1,9.50,0,0
18705,Jetha 11,Nirav Patel*,3.0,0,11,18,1,6.00,0,0
18705,Warriors,Abhishek Patel*,2.0,0,6,9,0,4.50,0,0
18705,Warriors,Mitul Patel,1.0,0,4,7,0,7.00,0,0
18705,Warriors,Prasad Fernando,4.0,0,11,21,2,5.25,1,0
18705,Warriors,Kirtan Patel,4.0,0,11,25,1,6.25,1,0
18705,Warriors,Dhaval Patel,4.0,0,13,30,2,7.50,3,0
18705,Warriors,Dharmik Patel,1.0,0,3,4,0,4.00,1,0
18712,Nj Tigers,Mubassir Mansuri,4.0,0,12,26,2,6.50,4,0
18712,Nj Tigers,Hasan Zafar,1.0,0,2,13,0,13.00,0,0
18712,Nj Tigers,Affan Farooq,2.0,0,6,15,0,7.50,3,0
18712,Nj Tigers,Haider Naveed Akram,1.0,0,2,9,1,9.00,0,0
18712,Nj Tigers,Faisal Mehmood,4.0,0,10,29,1,7.25,1,1
18712,Nj Tigers,Naveed Azam*,4.0,0,7,21,1,5.25,1,0
18712,Falcons,Sairam Raavi*,4.0,0,14,24,3,6.00,1,1
18712,Falcons,Sai Ritheesh Sudham,4.0,0,16,11,1,2.75,2,0
18712,Falcons,Manikanta Arumilli,4.0,0,15,20,1,5.00,1,0
18712,Falcons,Rajesh Rachakonda,4.0,0,9,24,2,6.00,4,0
18719,Desi Warriors,Subhajit Mitra,2.0,0,7,11,1,5.50,2,0
18719,Desi Warriors,Nauman Basit,3.0,0,14,9,1,3.00,2,0
18719,Desi Warriors,Sai Kancharla,3.0,0,10,14,1,4.67,2,0
18719,Desi Warriors,Sarbjitsingh Sahota,2.0,0,11,7,1,3.50,6,0
18719,Desi Warriors,Varun Gurram,2.0,0,5,14,2,7.00,0,0
18719,Desi Warriors,Rakesh Kar,2.0,0,5,11,1,5.50,1,0
18719,Desi Warriors,Narasimha Charan Reddy,1.2,0,4,6,2,4.50,2,0
18719,Edison Rebelz,Gurmeet Singh,3.0,0,6,24,0,8.00,1,0
18719,Edison Rebelz,Soumyabrata Paul,2.0,0,7,7,1,3.50,0,0
18719,Edison Rebelz,Yash Solanki,2.0,0,3,19,1,9.50,1,0
18719,Edison Rebelz,Sourav Mazumder,2.0,0,5,18,0,9.00,1,0
18719,Edison Rebelz,Chintan. Kamdar,0.1,0,0,5,0,30.00,1,0
18729,Plainsboro Eagles,Narender Kumar,3.0,0,9,21,0,7.00,3,0
18729,Plainsboro Eagles,Chandra Koganti,4.0,0,10,27,1,6.75,1,0
18729,Plainsboro Eagles,Bharath Reddy,2.0,0,5,14,1,7.00,0,0
18729,Plainsboro Eagles,Rajesh Paruchuri,3.0,0,6,41,1,13.67,1,1
18729,Plainsboro Eagles,Bhargav Reddy Napa*,1.0,0,1,16,0,16.00,0,0
18729,Plainsboro Eagles,Tushar Choksi,3.0,0,5,30,2,10.00,2,0
18729,Youth For Sewa,Manikanta Raja Kottu,4.0,0,15,18,2,4.50,0,0
18729,Youth For Sewa,Tauseef Ahmed,1.0,0,4,4,1,4.00,1,0
18729,Youth For Sewa,Aillu N,3.0,0,12,11,2,3.67,1,0
18729,Youth For Sewa,Eswar Vennapusa,2.0,0,6,11,2,5.50,2,0
18729,Youth For Sewa,Rajesh Kondru,4.0,0,18,13,1,3.25,2,1
18729,Youth For Sewa,Balu Y,2.0,0,9,6,0,3.00,3,0
18730,Veerans,Naveen Elangovan*,4.0,1,19,10,3,2.50,1,0
18730,Veerans,Uma Maheswara Rao Patibandla,4.0,0,14,17,1,4.25,3,0
18730,Veerans,Kamalraj Rajamanickam,4.0,1,18,10,3,2.50,0,0
18730,Veerans,Shabbeer Syed,3.0,0,13,16,0,5.33,0,0
18730,Veerans,Vinay Naidu,1.0,0,3,3,1,3.00,0,0
18730,Sreeshti,Mahesh Nagappa,2.0,0,5,16,0,8.00,0,0
18730,Sreeshti,Sumesh Mathew,3.0,1,15,12,1,4.00,1,0
18730,Sreeshti,Kamal Choudhury,3.0,0,12,13,2,4.33,1,0
18730,Sreeshti,Harshal Gupta,3.2,0,11,20,0,6.00,3,0
18732,WCC,Faran Mir,4.0,0,12,17,2,4.25,0,0
18732,WCC,Nahid Sarkar,2.0,0,4,12,0,6.00,0,0
18732,WCC,Tushar Lenka,2.0,0,8,10,0,5.00,2,0
18732,WCC,Sarwar Ali Shah,2.0,0,4,20,0,10.00,1,0
18732,WCC,Harikishore Malireddy,2.0,0,6,7,0,3.50,0,0
18732,WCC,Sai Sudhan,4.0,0,17,10,6,2.50,2,0
18732,RHG,Hiren Joshi,2.5,0,8,7,3,2.47,1,0
18732,RHG,Kevin Shah,3.0,0,10,13,0,4.33,2,0
18732,RHG,Baseer Ahmed Mohammed,4.0,1,18,6,5,1.50,0,0
18732,RHG,Harsh Viradiya,4.0,0,18,13,1,3.25,2,0
18733,Jersey Boys,Vikul Rajpara,4.0,0,16,16,4,4.00,3,0
18733,Jersey Boys,Sushil Kumar,4.0,0,13,33,1,8.25,0,0
18733,Jersey Boys,Amit Patel,3.0,0,7,30,0,10.00,1,0
18733,Jersey Boys,Vineet Luthra,4.0,0,13,12,2,3.00,0,0
18733,Jersey Boys,Jitendra Singh,1.0,0,3,10,1,10.00,1,0
18733,Hudson Hurricanes,Sravan Nekkanti,4.0,0,14,18,2,4.50,0,0
18733,Hudson Hurricanes,Vinyas Ramachandra,4.0,0,13,21,1,5.25,3,0
18733,Hudson Hurricanes,Ved Arya,3.0,1,13,13,2,4.33,2,0
18733,Hudson Hurricanes,Rishabh Madangeri,1.0,0,2,11,0,11.00,4,0
18733,Hudson Hurricanes,Aniket Dalal*,4.0,0,11,25,2,6.25,5,0
18737,Nj Stars CC,Sajeel Ahmed,3.0,0,9,26,1,8.67,1,0
18737,Nj Stars CC,Imran Raja*,4.0,0,16,17,2,4.25,0,3
18737,Nj Stars CC,Zain Pervaiz,4.0,0,16,18,2,4.50,1,0
18737,Nj Stars CC,Abdul Wali Siddiqee,4.0,0,10,31,1,7.75,1,0
18737,Nj Stars CC,Mohammed Naveed,1.0,0,4,2,1,2.00,0,0
18737,Samudhra Gladiators,Vinit Bharadwaj,4.0,0,17,14,5,3.50,4,0
18737,Samudhra Gladiators,Naveen R Sripathi,4.0,0,15,19,1,4.75,0,0
18737,Samudhra Gladiators,Ankur Chaturvedi,4.0,0,14,23,1,5.75,6,1
18737,Samudhra Gladiators,Sandeep Shetty,1.0,0,4,8,0,8.00,0,0
18737,Samudhra Gladiators,Harshad Patil,3.0,0,11,10,1,3.33,4,0
18739,Gcc,Sahil Patel,3.0,0,6,27,0,9.00,1,0
18739,Gcc,Parin Patel (gcc),3.0,0,13,9,3,3.00,1,0
18739,Gcc,Mrugesh Patel,4.0,0,14,18,2,4.50,2,0
18739,Gcc,Sapan Parikh,1.0,0,3,14,1,14.00,0,0
18739,Gcc,Nirav Rana(gcc),4.0,0,15,22,3,5.50,0,0
18739,Gcc,Deep Parikh Gcc,1.0,0,1,18,0,18.00,0,0
18739,Parsippany Phoenix XI,Satish Kumar Durgam,2.1,0,5,24,0,11.08,0,0
