matchId,score1,wkts1,score2,wkts2
20507,75,10,76,5
20505,144,8,63,8
20504,129,5,80,8
20503,103,8,104,4
20498,68,10,73,2
20486,47,10,48,3
20480,82,6,74,8
20478,81,10,56,10
20473,75,8,76,7
20466,55,9,49,10
20450,0,0,0,0
20448,0,0,0,0
20444,59,10,44,10
20437,11,0,0,0
20436,81,7,85,1
20433,0,0,0,0
20425,58,10,62,3
20423,60,9,62,4
20422,160,8,45,10
20417,101,7,102,7
20388,120,8,87,9
20386,97,7,95,5
20383,75,8,79,4
20381,90,7,91,7
20379,121,6,84,9
20376,107,10,60,10
20375,23,10,27,4
20368,117,9,118,8
20366,124,7,114,8
20351,101,9,102,5
20344,126,9,98,10
20335,82,10,79,10
20334,69,9,74,7
20327,100,9,104,6
20326,60,10,53,8
20322,129,6,90,10
20318,130,10,74,10
20314,79,6,84,7
20306,87,9,88,3
20302,65,10,69,3
20292,136,7,142,3
20283,45,10,46,4
20282,77,10,80,2
20277,117,5,77,10
20273,101,9,53,9
20272,138,8,114,9
20269,58,10,63,4
20266,89,9,90,1
20261,46,10,48,1
20245,35,10,36,3
20233,115,5,82,10
20232,50,10,54,4
20225,137,5,40,10
20214,124,7,112,10
20211,84,9,85,5
20209,108,9,111,3
20207,102,8,101,8
20205,92,8,94,4
20201,82,10,66,10
20200,76,10,63,10
20182,161,6,98,10
20169,0,0,0,0
20163,102,10,89,8
20158,101,9,97,8
20157,59,10,65,4
20156,113,6,78,10
20150,87,10,84,10
20146,101,7,102,4
20144,179,6,97,10
20141,83,6,86,4
20125,97,10,35,10
20122,68,9,73,3
20121,84,9,80,7
20115,109,10,80,10
20113,176,9,121,8
20102,110,9,112,4
20097,100,10,80,8
20094,76,8,77,5
20091,131,6,102,10
20090,61,10,64,3
20074,196,4,115,10
20071,70,9,75,0
20070,90,7,83,10
20062,116,5,111,7
20059,142,5,55,10
20057,136,8,97,10
20051,106,9,77,10
20044,84,9,26,10
20043,59,10,61,5
20036,80,10,81,3
20022,77,10,78,3
20020,107,8,111,2
20019,76,10,71,7
20015,112,10,115,6
20014,107,7,110,6
20009,98,8,99,8
20003,98,10,99,8
19983,58,10,62,2
19980,94,5,82,10
19979,145,5,66,10
19960,98,4,96,10
19956,133,7,97,10
19948,77,10,42,10
19942,98,6,43,10
19939,118,10,103,9
19937,98,7,99,5
19933,129,10,134,5
19930,146,9,103,9
19921,68,10,72,4
19920,64,10,70,5
19908,84,6,90,7
19906,127,6,113,10
19905,67,10,68,5
19904,90,8,89,8
19900,57,7,58,4
19899,50,9,55,2
19895,116,7,88,9
19888,233,7,70,10
19883,105,5,106,3
19877,160,6,123,10
19862,0,0,0,0
19861,0,0,0,0
19859,0,0,0,0
19857,117,7,18,3
19856,122,6,94,10
19847,90,10,80,5
19836,59,10,60,3
19828,42,10,43,2
19824,124,4,41,10
19813,0,0,0,0
19802,91,9,92,3
19800,84,10,85,4
19799,84,10,82,5
19795,133,8,123,7
19789,141,6,79,10
19781,45,10,46,2
19775,100,8,101,8
19771,116,6,92,10
19761,97,7,49,10
19760,124,4,84,10
19753,0,0,0,0
19751,121,9,125,4
19745,116,9,67,10
19738,59,9,64,8
19736,72,10,73,2
19730,103,9,76,9
19729,110,10,95,8
19725,102,6,78,10
19721,23,10,28,0
19715,175,7,59,10
19699,145,9,89,10
19698,60,10,62,6
19692,145,6,87,10
19687,54,9,57,2
19685,98,5,100,4
19679,53,10,58,4
19678,116,7,65,10
19670,80,10,81,7
19663,73,10,74,7
19661,126,9,80,10
19645,140,9,39,10
19642,82,9,83,7
19638,141,8,100,10
19636,190,6,127,10
19635,185,5,83,10
19632,188,4,49,9
19622,137,5,92,8
19621,153,6,88,8
19615,120,8,121,6
19602,48,10,52,4
19585,80,6,77,9
19581,133,4,134,6
19580,157,3,114,7
19575,145,7,149,8
19571,76,9,68,10
19570,100,6,101,3
19562,170,8,131,10
19557,140,5,130,10
19554,64,10,65,2
19547,94,10,25,10
19540,185,9,118,8
19538,150,9,139,9
19533,134,5,101,10
19525,93,7,94,5
19516,124,8,75,10
19515,101,8,102,9
19511,88,10,78,7
19507,44,10,46,0
19497,129,9,84,10
19492,177,10,131,10
19486,119,10,122,8
19483,116,6,61,10
19480,115,10,116,8
19466,70,10,71,7
19464,95,9,100,9
19458,69,9,72,3
19455,140,10,96,10
19453,66,10,58,10
19443,124,7,127,5
19438,70,9,72,4
19424,60,10,61,4
19423,82,8,83,5
19422,64,6,69,3
19421,108,8,113,4
19419,159,6,164,6
19415,85,8,81,9
19405,90,10,91,5
19401,146,10,80,6
19399,83,9,87,1
19384,116,8,118,8
19375,115,5,90,10
19374,78,8,83,3
19371,144,7,112,9
19368,98,10,99,5
19363,79,9,38,10
19361,152,9,153,8
19359,177,4,107,7
19356,72,9,76,6
19353,84,10,85,9
19332,124,5,89,10
19324,183,9,95,7
19323,76,10,58,10
19318,139,7,143,3
19304,115,8,86,9
19302,100,7,80,10
19301,107,10,111,7
19300,132,8,111,9
19299,50,10,56,2
19288,144,7,106,7
19281,118,10,119,7
19270,148,7,125,10
19268,123,6,44,10
19266,56,10,52,10
19260,114,9,95,9
19256,83,8,89,9
19254,136,10,77,10
19251,127,7,132,9
19249,111,7,112,7
19240,99,6,94,6
19231,65,10,67,5
19216,87,9,90,4
19213,135,7,108,8
19207,72,10,45,9
19205,115,10,43,9
19204,115,8,79,10
19200,129,8,45,10
19198,183,3,128,10
19194,137,8,112,9
19188,97,7,99,5
19186,116,9,105,10
19159,94,9,97,4
19155,92,8,76,10
19154,121,6,122,2
19152,74,8,77,2
19147,141,7,64,10
19145,140,6,109,10
19144,69,10,75,4
19141,113,9,86,8
19133,140,6,111,7
19123,111,10,63,10
19110,191,9,110,9
19100,92,8,93,4
19098,66,9,61,10
19095,108,9,112,8
19091,75,9,76,7
19090,106,10,107,6
19072,131,4,101,10
19071,108,5,102,8
19069,68,6,72,4
19067,90,10,91,3
19058,77,10,55,10
19055,28,10,32,1
19051,116,7,90,7
19045,61,10,43,10
19044,48,10,52,6
19042,107,8,46,10
19036,94,10,90,10
19019,89,9,87,10
19014,98,7,61,10
19011,83,10,88,7
19002,95,7,96,4
19001,74,9,36,10
18998,57,10,61,2
18994,87,8,88,0
18990,125,9,78,10
18985,80,10,81,3
18983,75,9,80,2
18972,70,9,74,3
18963,83,10,89,1
18955,70,9,72,3
18946,191,6,67,9
18944,101,5,102,8
18941,138,7,143,5
18937,143,8,146,5
18931,67,6,68,5
18927,71,9,72,9
18925,86,9,61,10
18920,110,9,63,9
18917,117,6,109,8
18909,148,5,29,10
18894,165,7,70,10
18892,97,7,67,10
18888,65,10,66,2
18886,107,8,113,4
18881,47,10,48,3
18876,140,5,83,10
18869,82,8,83,7
18866,55,9,56,4
18857,105,10,76,10
18854,116,4,117,5
18846,0,0,0,0
18845,0,0,0,0
18842,0,0,0,0
18837,0,0,0,0
18833,0,0,0,0
18829,0,0,0,0
18827,88,7,89,1
18813,50,7,51,5
18811,39,9,42,1
18799,73,10,74,7
18794,103,7,95,10
18793,119,5,63,10
18790,158,7,118,8
18788,84,9,85,8
18785,119,7,121,5
18782,62,10,63,3
18770,98,8,101,3
18766,94,10,66,9
18757,161,4,102,8
18756,192,2,80,6
18744,83,9,85,1
18739,108,10,111,2
18737,94,8,74,9
18733,101,8,88,7
18732,76,9,39,10
18730,60,10,61,4
18729,149,5,63,8
18719,72,10,73,2
18712,113,6,79,8
18705,133,8,96,7
18697,136,10,92,7
18694,228,3,90,10
18688,79,9,80,6
18686,57,10,58,7
18680,117,8,20,10
18674,82,10,80,7
18669,87,8,88,4
18667,81,7,82,9
18663,105,9,80,9
18659,98,10,99,6
