#,Player,Team,Mat,Ins,No,Runs,Balls,Avg,Sr,Hs,100's,75's,50's,25's,0,6's,4's
1,Naveen R Sripathi,Samudhra Gladiators,14,13,1,291,205,24.25,141.95,60,0,0,1,4,3,30,6
2,Harshad Patil,Samudhra Gladiators,15,13,2,192,143,17.45,134.27,45,0,0,0,3,1,20,4
3,sandeep shetty,Samudhra Gladiators,15,15,2,186,172,14.31,108.14,29,0,0,0,2,1,18,3
4,Ashish Shetty,Samudhra Gladiators,12,12,0,146,164,12.17,89.02,36,0,0,0,2,2,6,11
5,Tejdeep Maddirala,Samudhra Gladiators,12,12,0,98,137,8.17,71.53,24,0,0,0,0,3,4,4
6,Dileep Reddy,Samudhra Gladiators,7,6,1,88,84,17.60,104.76,28,0,0,0,2,1,7,4
7,Sanju S,Samudhra Gladiators,13,10,2,70,72,8.75,97.22,31,0,0,0,1,3,5,4
8,Sridhara Raju,Samudhra Gladiators,11,9,3,69,56,11.50,123.21,19,0,0,0,0,1,5,1
9,Anilreddy Aleti,Samudhra Gladiators,15,12,3,61,64,6.78,95.31,28,0,0,0,1,3,3,4
10,Willish Patel,Samudhra Gladiators,4,4,0,47,25,11.75,188.00,21,0,0,0,0,1,6,1
11,Vinit Bharadwaj,Samudhra Gladiators,12,8,2,45,38,7.50,118.42,12,0,0,0,0,0,2,3
12,Ankur Chaturvedi,Samudhra Gladiators,12,6,3,39,50,13.00,78.00,29,0,0,0,1,1,1,1
13,Vipul Joshi,Samudhra Gladiators,8,6,2,36,43,9.00,83.72,16,0,0,0,0,0,1,0
14,Avteet Chayal,Samudhra Gladiators,5,3,0,32,37,10.67,86.49,20,0,0,0,0,1,3,1
15,Suraj Pai Madhukar,Samudhra Gladiators,6,4,2,4,12,2.00,33.33,1,0,0,0,0,0,0,0
16,Vardaan Joshi,Samudhra Gladiators,1,1,1,1,2,--,50.00,1,0,0,0,0,0,0,0
17,Sushil Golecha,Samudhra Gladiators,2,0,0,0,0,--,0.00,0,0,0,0,0,0,0,0
18,Sandheep Sridar,Samudhra Gladiators,1,0,0,0,0,--,0.00,0,0,0,0,0,0,0,0
