#,Player,Team,Catches,WK Catches,Direct RO,Indirect RO,Stumpings,Total
1,Sanju S,Samudhra Gladiators,1,18,1,0,0,20
2,sandeep shetty,Samudhra Gladiators,7,8,0,1,0,16
3,Ashish Shetty,Samudhra Gladiators,8,1,0,0,0,9
4,Naveen R Sripathi,Samudhra Gladiators,7,0,1,0,0,8
5,Harshad Patil,Samudhra Gladiators,6,0,1,0,0,7
6,Vinit Bharadwaj,Samudhra Gladiators,6,1,0,0,0,7
7,Suraj Pai Madhukar,Samudhra Gladiators,6,0,0,0,0,6
8,Vipul Joshi,Samudhra Gladiators,6,0,0,0,0,6
9,Anilreddy Aleti,Samudhra Gladiators,6,0,0,0,0,6
10,Ankur Chaturvedi,Samudhra Gladiators,4,0,0,1,0,5
11,Willish Patel,Samudhra Gladiators,4,0,0,0,0,4
12,Dileep Reddy,Samudhra Gladiators,2,1,0,0,0,3
13,Sridhara Raju,Samudhra Gladiators,3,0,0,0,0,3
14,Avteet Chayal,Samudhra Gladiators,1,0,0,0,0,1
15,Sushil Golecha,Samudhra Gladiators,1,0,0,0,0,1
16,Tejdeep Maddirala,Samudhra Gladiators,1,0,0,0,0,1
17,Vardaan Joshi,Samudhra Gladiators,1,0,0,0,0,1
18,Sandheep Sridar,Samudhra Gladiators,0,0,0,0,0,0
