matchId,summary
20158,"League 8 Aug 2026 101/9 16.0/16 97/8 16.0/16.0 2026 Division 1 Samudhra Gladiators V Gryffindors Samudhra Gladiators won by 4 Runs"
20115,"League 2 Aug 2026 109/10 15.2/16 80/10 14.1/16.0 2026 Division 1 Piscataway Avengers V Samudhra Gladiators Piscataway Avengers won by 29 Runs"
19930,"League 25 Jul 2026 146/9 16.0/16 103/9 15.3/16.0 2026 Division 1 Samudhra Gladiators V F5 Samudhra Gladiators won by 43 Runs"
19883,"League 19 Jul 2026 105/5 16.0/16 106/3 11.5/16.0 2026 Division 1 Juggernaut V Samudhra Gladiators Samudhra Gladiators won by 7 Wickets"
19745,"League 11 Jul 2026 116/9 16.0/16 67/10 14.2/16.0 2026 Division 1 Samudhra Gladiators V Fdu Giants Samudhra Gladiators won by 49 Runs"
19638,"League 27 Jun 2026 141/8 16.0/16 100/10 15.2/16.0 2026 Division 1 Samudhra Gladiators V Aryans Samudhra Gladiators won by 41 Runs"
19571,"League 21 Jun 2026 76/9 16.0/16 68/10 15.0/16.0 2026 Division 1 Samudhra Gladiators V WCC Samudhra Gladiators won by 8 Runs"
19422,"League 13 Jun 2026 64/6 16.0/16 69/3 6.5/16.0 2026 Division 1 Plainsboro Eagles V Samudhra Gladiators Samudhra Gladiators won by 7 Wickets"
19368,"League 7 Jun 2026 98/10 15.0/16 99/5 13.0/16.0 2026 Division 1 Jetha 11 V Samudhra Gladiators Samudhra Gladiators won by 5 Wickets"
19205,"League 30 May 2026 115/10 16.0/16 43/9 11.0/16.0 2026 Division 1 Samudhra Gladiators V Nj Tigers Samudhra Gladiators won by 72 Runs"
19152,"League 17 May 2026 74/8 16.0/16 77/2 9.1/16.0 2026 Division 1 Samudhra Gladiators V Jersey Boys Jersey Boys won by 8 Wickets"
18983,"League 9 May 2026 75/9 16.0/16 80/2 7.0/16.0 2026 Division 1 Veerans V Samudhra Gladiators Samudhra Gladiators won by 8 Wickets"
18920,"League 3 May 2026 110/9 16.0/16 63/9 16.0/16.0 2026 Division 1 Samudhra Gladiators V Edison Rebelz Samudhra Gladiators won by 47 Runs"
18794,"League 25 Apr 2026 103/7 16.0/16 95/10 14.0/16.0 2026 Division 1 Samudhra Gladiators V Parsippany Phoenix XI Samudhra Gladiators won by 8 Runs"
18737,"League 19 Apr 2026 94/8 16.0/16 74/9 16.0/16.0 2026 Division 1 Samudhra Gladiators V Nj Stars CC Samudhra Gladiators won by 20 Runs"
