#,Player,Team,Mat,Ins,No,Runs,Balls,Avg,Sr,Hs,100's,75's,50's,25's,0,6's,4's
1,Tejdeep Maddirala,VRK Gladiators,9,8,2,184,148,30.67,124.32,51,0,0,2,2,1,14,8
2,sandeep shetty,VRK Gladiators,10,9,0,175,127,19.44,137.80,58,0,0,1,2,0,14,10
3,Harshad Patil,VRK Gladiators,12,9,4,142,80,28.40,177.50,72,0,0,1,2,1,18,3
4,Baseer Ahmed Mohammed,VRK Gladiators,5,4,0,115,70,28.75,164.29,73,0,0,1,1,0,7,11
5,Sanju S,VRK Gladiators,11,8,0,105,80,13.12,131.25,26,0,0,0,1,1,7,6
6,Vinit Bharadwaj,VRK Gladiators,9,6,2,101,90,25.25,112.22,38,0,0,0,1,0,5,8
7,Dileep Reddy,VRK Gladiators,4,4,2,96,36,48.00,266.67,68,0,0,1,0,0,10,7
8,Avteet Chayal,VRK Gladiators,10,8,2,86,89,14.33,96.63,36,0,0,0,2,2,5,5
9,Vipul Joshi,VRK Gladiators,9,8,0,62,93,7.75,66.67,23,0,0,0,0,1,2,3
10,Ashish Shetty,VRK Gladiators,5,5,0,60,42,12.00,142.86,29,0,0,0,1,1,5,3
11,Willish Patel,VRK Gladiators,6,4,2,53,42,26.50,126.19,37,0,0,0,1,0,3,4
12,Anilreddy Aleti,VRK Gladiators,7,7,1,49,41,8.17,119.51,13,0,0,0,0,0,4,2
13,Naveen R Sripathi,VRK Gladiators,4,3,2,39,26,39.00,150.00,25,0,0,0,1,1,3,2
14,Suraj Pai Madhukar,VRK Gladiators,9,12,6,36,40,6.00,90.00,7,0,0,0,0,4,2,2
15,Mukesh Ramawat,VRK Gladiators,5,5,0,32,51,6.40,62.75,13,0,0,0,0,0,0,0
16,Sandheep Sridar,VRK Gladiators,3,3,1,22,38,11.00,57.89,12,0,0,0,0,1,2,0
17,Sushil Golecha,VRK Gladiators,5,2,0,14,10,7.00,140.00,7,0,0,0,0,0,1,1
18,Shivam Sharma,VRK Gladiators,2,2,1,10,21,10.00,47.62,10,0,0,0,0,0,1,0
19,Ankur Chaturvedi,VRK Gladiators,5,3,1,6,13,3.00,46.15,6,0,0,0,0,1,0,0
20,Nipendra Garg,VRK Gladiators,1,1,0,3,8,3.00,37.50,3,0,0,0,0,0,0,0
21,Anand Pandaravilla,VRK Gladiators,1,1,0,2,3,2.00,66.67,2,0,0,0,0,0,0,0
22,Sridhara Raju,VRK Gladiators,7,1,1,2,4,--,50.00,2,0,0,0,0,0,0,0
23,Viswa Anvesh Patsa,VRK Gladiators,1,1,0,2,10,2.00,20.00,2,0,0,0,0,0,0,0
24,Dashrathlal Kumawat,VRK Gladiators,1,1,0,0,6,0.00,0.00,0,0,0,0,0,1,0,0
