#,Player,Team,Catches,WK Catches,Direct RO,Indirect RO,Stumpings,Total
1,Harshad Patil,VRK Gladiators,7,1,4,1,0,13
2,Sanju S,VRK Gladiators,0,11,0,0,0,11
3,sandeep shetty,VRK Gladiators,9,0,0,0,0,9
4,Suraj Pai Madhukar,VRK Gladiators,4,0,4,0,0,8
5,Ashish Shetty,VRK Gladiators,7,0,1,0,0,8
6,Anilreddy Aleti,VRK Gladiators,7,0,0,0,0,7
7,Willish Patel,VRK Gladiators,1,3,1,1,0,6
8,Avteet Chayal,VRK Gladiators,3,0,2,0,0,5
9,Vinit Bharadwaj,VRK Gladiators,5,0,0,0,0,5
10,Vipul Joshi,VRK Gladiators,3,0,0,0,0,3
11,Sushil Golecha,VRK Gladiators,3,0,0,0,0,3
12,Baseer Ahmed Mohammed,VRK Gladiators,3,0,0,0,0,3
13,Ankur Chaturvedi,VRK Gladiators,0,0,2,0,0,2
14,Tejdeep Maddirala,VRK Gladiators,2,0,0,0,0,2
15,Mukesh Ramawat,VRK Gladiators,2,0,0,0,0,2
16,Naveen R Sripathi,VRK Gladiators,2,0,0,0,0,2
17,Sridhara Raju,VRK Gladiators,2,0,0,0,0,2
18,Dileep Reddy,VRK Gladiators,1,1,0,0,0,2
19,Shivam Sharma,VRK Gladiators,1,0,0,0,0,1
20,Viswa Anvesh Patsa,VRK Gladiators,0,0,0,0,0,0
21,Nipendra Garg,VRK Gladiators,0,0,0,0,0,0
22,Sandheep Sridar,VRK Gladiators,0,0,0,0,0,0
23,Dashrathlal Kumawat,VRK Gladiators,0,0,0,0,0,0
24,Anand Pandaravilla,VRK Gladiators,0,0,0,0,0,0
