matchId,summary
20215,"League 9 Aug 2026 108/8 16.0/16 72/9 16.0/16.0 2026 Weekenders Cup NJ Titans V VRK Gladiators NJ Titans won by 36 Runs"
20069,"League 1 Aug 2026 75/10 15.4/16 77/5 12.0/16.0 2026 Weekenders Cup VRK Gladiators V BLOODLINE BLOODLINE won by 5 Wickets"
19992,"League 26 Jul 2026 73/10 12.4/16 28/10 11.3/16.0 2026 Weekenders Cup VRK Gladiators V Vikings CC VRK Gladiators won by 45 Runs"
19812,"League 18 Jul 2026 0/0 0.0/16 0/0 0.0/16.0 2026 Weekenders Cup VRK Gladiators V Power Hitters Abandoned."
19769,"League 12 Jul 2026 155/7 16.0/16 84/10 14.0/16.0 2026 Weekenders Cup VRK Gladiators V Woodlot Boyz VRK Gladiators won by 71 Runs"
19694,"League 28 Jun 2026 104/6 16.0/16 83/10 15.2/16.0 2026 Weekenders Cup VRK Gladiators V Newport Narcos VRK Gladiators won by 21 Runs"
19530,"League 20 Jun 2026 124/8 16.0/16 129/2 10.5/16.0 2026 Weekenders Cup Parsippany Super Kings V VRK Gladiators VRK Gladiators won by 8 Wickets"
19465,"League 14 Jun 2026 76/10 14.1/16 77/6 10.1/16.0 2026 Weekenders Cup PCA Jr. V VRK Gladiators VRK Gladiators won by 4 Wickets"
19316,"League 6 Jun 2026 211/2 16.0/16 67/10 11.3/16.0 2026 Weekenders Cup VRK Gladiators V TRIDENTS XI VRK Gladiators won by 144 Runs"
19257,"League 31 May 2026 175/5 16.0/16 92/7 16.0/16.0 2026 Weekenders Cup VRK Gladiators V Cricket Warriors VRK Gladiators won by 83 Runs"
19106,"League 16 May 2026 58/10 16.0/16 64/7 11.0/16.0 2026 Weekenders Cup Plainsboro Panthers V VRK Gladiators VRK Gladiators won by 3 Wickets"
19017,"League 10 May 2026 100/9 16.0/16 104/5 14.0/16.0 2026 Weekenders Cup VRK Gladiators V MCC - Weekenders MCC - Weekenders won by 5 Wickets"
18893,"League 2 May 2026 125/2 16.0/16 95/9 16.0/16.0 2026 Weekenders Cup VRK Gladiators V Sparta XI VRK Gladiators won by 30 Runs"
18835,"League 26 Apr 2026 0/0 0.0/16 0/0 0.0/16.0 2026 Weekenders Cup VRK Gladiators V Bayonne CC Abandoned."
18687,"League 18 Apr 2026 118/10 16.0/16 81/8 16.0/16.0 2026 Weekenders Cup VRK Gladiators V Jersey Sloggers VRK Gladiators won by 37 Runs"
