#,Player,Group,Team,Mat,Inns,Overs,Runs,Wkts,BBF,Mdns,dots,Econ,Avg,SR,Hat-trick,4w,5w,Wides,Nb,Points
1,Siddharth Terde,C,Brown Munde,14,14,52.5,200,35,11/ 4,9,220,3.79,5.71,9.1,0,1,0,6,3,976
2,Ajinkya Pradhan,C,Waterfront Warriors,15,15,57.3,207,34,7/ 4,5,223,3.60,6.09,10.1,0,3,0,12,1,905
3,Satish kumar Durgam,D,Jersey Sloggers,15,15,58.5,364,33,28/ 5,1,184,6.19,11.03,10.7,0,1,1,22,4,771
4,Shoaib Jafri,D,MCC - Weekenders,13,13,47.0,206,32,12/ 5,1,172,4.38,6.44,8.8,0,2,1,13,0,774
5,Raj Tiguti,D,Vikings CC,14,13,44.0,245,32,5/ 5,0,147,5.57,7.66,8.2,0,0,3,18,1,755
6,Dipen Patel,D,Cricket Warriors,13,13,40.3,263,30,19/ 4,0,121,6.49,8.77,8.1,0,4,0,12,3,678
7,Sanjay Geepalayam,C,NJKnights,15,15,54.4,426,30,2/ 4,0,148,7.79,14.20,10.9,0,2,0,11,8,645
8,sameer sunnak,B,Sinclair Lions,15,14,52.2,349,29,26/ 5,0,177,6.67,12.03,10.8,0,1,1,48,2,656
9,Dileep Linga,D,Plainsboro Panthers,13,13,45.2,221,28,13/ 5,2,163,4.88,7.89,9.7,0,2,1,22,1,699
10,Harjot Singh Saini,A,GoldFinch Cricket Club,12,12,43.0,199,27,22/ 4,1,151,4.63,7.37,9.6,0,1,0,13,0,653
11,Pushpraj Rajput,C,Saffron Sapphire,13,13,50.2,278,27,9/ 5,4,183,5.52,10.30,11.2,0,2,2,9,10,701
12,Ganesh Vasam,C,Thunder Strikers Weekenders,13,13,41.1,254,27,17/ 5,3,137,6.17,9.41,9.1,0,2,1,19,4,665
13,Vamshidhar Reddy,A,SB Vikings Cricket Club,13,13,45.2,280,27,24/ 5,2,142,6.18,10.37,10.1,0,0,1,17,3,644
14,Satyanarayana Manne,A,Edison Riders,14,14,41.4,211,26,32/ 5,2,147,5.06,8.12,9.6,1,0,1,8,4,639
15,Ranga Rao Kosaraju,B,NJ Marvels,13,12,45.0,255,26,14/ 6,1,154,5.67,9.81,10.4,1,0,1,7,4,612
16,Hardik Jani,A,Robbinsville Jaguars,12,12,34.3,180,25,4/ 4,0,119,5.22,7.20,8.3,0,5,0,12,1,594
17,Bhavik Brahmbhatt,C,Saffron Sapphire,12,12,44.3,245,25,10/ 4,0,150,5.51,9.80,10.7,0,1,0,28,3,575
18,Raghuveer Bethelli,D,Jersey Sloggers,14,14,48.5,276,25,20/ 5,1,154,5.65,11.04,11.7,0,1,1,23,1,606
