"# ","Player ","Group ","Team ","Matches ","Catches ","WK Catches ","Direct RO ","InDirect RO ","Stumpings ","Total ","Points "
"1","Sanjeev Muralidharan","C","Telugu Titans - Weekenders","14","2","33","0","0","5","40","450"
"2","Sumanta Pal","A","Karma XI","14","0","27","0","6","2","35","370"
"3","Umakanth Sadasivam","A","Robbinsville Jaguars","13","2","25","0","1","1","29","300"
"4","Vivek Reddy","D","Plainsboro Panthers","12","0","24","2","0","2","28","320"
"5","Kushal Sampath","A","SB Vikings Cricket Club","11","0","21","0","6","0","27","270"
"6","Imran Sardar","D","MCC - Weekenders","11","0","25","0","1","0","26","260"
"7","Yash Thaker","D","Jc Mavericks","14","1","22","1","2","0","26","270"
"8","Sanket Pednekar","C","Brown Munde","13","0","21","0","5","0","26","260"
"9","Naveen Byrappa","B","Monroe Mavericks","14","3","18","2","0","2","25","290"
"10","Saurabh Gandhi","C","JERSEY TIGERS","12","1","20","1","2","1","25","270"
"11","Kashish Shah","C","Iselin Warriors","13","8","11","1","1","3","24","280"
"12","Prithivi Raj","A","Phoenix Flyers","12","1","21","0","2","0","24","240"
"13","Umesh Jain","C","Mystery Squad","15","3","17","0","4","0","24","240"
"14","Akash Gupta","C","Lincoln XI","14","1","20","0","1","1","23","240"
"15","Pavan Poojar","A","Hudson Hurricanes Sultans","13","7","12","1","1","2","23","260"
"16","Madhav Reddy","B","Monroe Mavericks","11","18","0","2","0","0","20","220"
"17","Rohith Kodangal Varala","A","Hudson Hurricanes Sultans","11","2","13","2","2","1","20","230"
"18","Gaurav Shah","A","GoldFinch Cricket Club","13","0","16","0","3","1","20","210"
"19","Venkat Chennu","A","Mag11","15","4","16","0","0","0","20","200"
"20","Vikasreddy Rangapur","D","Jersey Sloggers","13","0","17","1","0","1","19","210"
"21","Ajay Verma","D","CHAMPIONS","9","0","12","3","3","1","19","230"
"22","Sai Ch","A","Phoenix Flyers","12","12","1","3","3","0","19","220"
"23","Uchit Sheth","D","NJ Titans","11","3","16","0","0","0","19","190"
"24","Gautam Ahuja","D","Jersey City Dominators","13","9","0","9","0","0","18","270"
"25","Sanchit Bansal","C","NJKnights","13","0","17","0","1","0","18","180"
"26","Sachin Rathod","B","JC Warriors","13","16","0","1","1","0","18","190"
"27","Jay Parikh","C","Saffron Sapphire","11","3","15","0","0","0","18","180"
"28","Hassan Anjum","A","NJ Boxers","13","0","13","1","3","1","18","200"
"29","Rohan Mate","D","Newport Narcos","12","5","11","0","2","0","18","180"
"30","Hirenkumar Patel","A","GoldFinch Cricket Club","13","16","0","1","0","0","17","180"
"31","Harsh Singh","C","Incredibulls","10","6","10","0","0","1","17","180"
"32","Kanwar Narula","B","MKCC Weekenders","11","5","8","1","2","1","17","190"
"33","Praveen Rajappan","B","Express Rangers","14","4","10","2","1","0","17","190"
"34","Vivek Singh","C","Waterfront Warriors","15","5","11","0","1","0","17","170"
"35","VC Uttez Chitluri","C","Thunder Strikers Weekenders","13","11","4","1","1","0","17","180"
"36","Suman Maramreddy","D","Sparta XI","9","9","1","4","2","0","16","200"
"37","Neel Patel","B","Pway Cubs","14","6","7","1","1","1","16","180"
"38","Sanjay Geepalayam","C","NJKnights","15","12","0","3","1","0","16","190"
"39","Nataraj Palaniyappan","B","Plainsboro Hunters","9","9","2","2","2","1","16","190"
"40","Thippesh Bethur Hanumanthreddy","A","Cricket Lovers","15","4","12","0","0","0","16","160"
"41","Arun KP","C","Thunder Strikers Weekenders","11","4","10","0","2","0","16","160"
"42","Mayank Jha","D","Power Hitters","9","12","0","2","1","0","15","170"
"43","Gunjan Patel","B","Giant Slayers","15","7","4","1","1","2","15","180"
"44","Indrajeet Magar","D","CHAMPIONS","7","6","7","1","1","0","15","160"
"45","Akash Reddy Karka","C","Trident CC","12","4","6","2","3","0","15","170"
"46","Paurav Shah","D","Power Hitters","12","6","8","0","1","0","15","150"
"47","Satish kumar Durgam","D","Jersey Sloggers","15","9","0","5","0","0","14","190"
"48","Shubham Darji","A","Bethak Titans","13","4","10","0","0","0","14","140"
"49","Sanket Kulkarni","B","Top Guns","7","0","14","0","0","0","14","140"
"50","Roop Yekollu","D","Sparta XI","14","9","2","2","1","0","14","160"
"51","Pushkar Mayur Dhume","D","Jersey City Dominators","12","1","13","0","0","0","14","140"
"52","Yash V Patel","B","PRO SQUAD","13","4","10","0","0","0","14","140"
"53","Surya Kasara","C","Monroe United","13","11","0","1","2","0","14","150"
"54","Mihir Patel","C","Kranti Warriors","9","2","11","0","1","0","14","140"
"55","Ishan Shah","A","Edison Warriors","8","2","11","0","1","0","14","140"
"56","Aditya Kadarla","B","JC Warriors","8","6","6","0","2","0","14","140"
"57","Raj Tiguti","D","Vikings CC","14","11","0","1","2","0","14","150"
"58","Sabeel Shaikh","B","Giant Slayers","13","9","0","4","0","0","13","170"
"59","Ujjaval Patel","D","Shreeji XI","9","7","0","5","1","0","13","180"
"60","Harshad Patil","A","VRK Gladiators","12","7","1","4","1","0","13","170"
"61","Sunny Alla","C","Thunder Strikers Weekenders","14","7","6","0","0","0","13","130"
"62","Yogi Patel","C","Jersey Superstars","11","6","6","1","0","0","13","140"
"63","Darsh Ajmera","D","NJ Titans","15","10","1","2","0","0","13","150"
"64","Ziyan Shafie","A","SB Vikings Challengers Cricket Club","11","1","10","1","1","0","13","140"
"65","Krutesh Bhavsar","C","Lincoln XI","15","13","0","0","0","0","13","130"
"66","Vamshidhar Reddy","A","SB Vikings Cricket Club","13","12","0","1","0","0","13","140"
"67","Avinash Somavarapu","B","Jersey Aces","11","2","10","1","0","0","13","140"
"68","Rohit Khatri","D","CHAMPIONS","15","11","0","0","2","0","13","130"
"69","Viraj Jasani","B","Sreeshti Weekenders","11","12","0","0","1","0","13","130"
"70","Pradeep Rompicharla","C","Edison Kings","10","1","10","0","1","1","13","140"
"71","Anvesh Reddy Donapati","D","Vikings CC","12","7","4","0","2","0","13","130"
"72","NIKHIL THOTA","B","Plainsboro Hunters","10","11","0","0","2","0","13","130"
"73","Deepak Gamladu","B","Sinclair Lions","11","0","8","0","4","1","13","140"
"74","Daya Chow","D","Vikings CC","11","4","7","0","0","1","12","130"
"75","Dilip Reddy Kannayya","B","Firehawks","9","10","0","2","0","0","12","140"
"76","Pavan Rohith Midimilla","A","Cricket Lovers","15","9","0","3","0","0","12","150"
"77","Prakash Patel","C","Monroe United","12","0","12","0","0","0","12","120"
"78","Dhaivat Patel","B","Pway Cubs","8","7","4","0","0","1","12","130"
"79","Ashok Dhanasekaran","A","SB Vikings Cricket Club","12","7","0","3","2","0","12","150"
"80","Neel Joshi","B","United Falcons","12","9","1","1","1","0","12","130"
"81","Nirav Mistry","C","Invincible CC","8","0","9","1","1","1","12","140"
"82","Abhy M","B","Sreeshti Weekenders","14","0","12","0","0","0","12","120"
"83","Ravivarman Vadivelu","A","Edison Super Kings","11","1","10","1","0","0","12","130"
"84","Mitesh Dhinoja","C","Jersey Superstars","6","4","7","1","0","0","12","130"
"85","Satya Tarun Reddy","C","Edison Kings","12","5","6","1","0","0","12","130"
"86","Onil Chavan","C","Mystery Squad","14","11","0","0","1","0","12","120"
"87","Srini Narisetty","B","Top Guns","12","3","8","0","1","0","12","120"
"88","Soumit Biswas","D","Woodlot Boyz","11","4","8","0","0","0","12","120"
"89","Dhaval Patel","D","Cricket Warriors","14","12","0","0","0","0","12","120"
"90","Saket D","D","Newport Narcos","9","2","8","0","2","0","12","120"
"91","Priyank Barvaliya","C","Saffron Sapphire","13","11","0","0","1","0","12","120"
"92","Rajesh Balasubramanian","D","Bayonne CC","11","4","7","0","1","0","12","120"
"93","Rejo Raju","A","Staten Island Strikers","14","10","0","0","2","0","12","120"
"94","Gaurang Agarwal","B","Sinclair Lions","15","5","5","0","2","0","12","120"
"95","Visu Kondeti","D","Morris Indians","14","3","0","6","2","0","11","170"
"96","Nirav Pathak","D","NJ Titans","12","7","0","4","0","0","11","150"
"97","Kashyap Patel","D","Cricket Warriors","6","2","8","0","0","1","11","120"
"98","Rahul Patel","D","Shreeji XI","11","9","1","1","0","0","11","120"
"99","Praveen Mandya","C","Nj Warriors","15","9","0","2","0","0","11","130"
"100","Amit Nahar","B","Princeton Walk","12","4","5","1","0","1","11","130"
"101","Krishna Kalakuntla","C","Telugu Titans - Weekenders","13","7","0","2","2","0","11","130"
"102","Shunmugavel Bhagavathi Perumal","A","Phoenix Flyers","13","7","0","2","2","0","11","130"
"103","Neel Patel-24","B","Giant Slayers","6","7","2","1","1","0","11","120"
"104","Anil Atluri","A","Edison Riders","12","9","0","1","1","0","11","120"
"105","Narender Reddy Bojja","B","NJ Marvels","5","1","7","1","1","1","11","130"
"106","Nitish Dabas","D","Newport Narcos","10","8","0","2","1","0","11","130"
"107","SatishKumar Sathuraveeran veeranan","D","Bayonne CC","12","11","0","0","0","0","11","110"
"108","Prabha Oommen","A","Staten Island Strikers","9","0","11","0","0","0","11","110"
"109","Sanju S","A","VRK Gladiators","11","0","11","0","0","0","11","110"
"110","Hardik Jani","A","Robbinsville Jaguars","12","10","0","1","0","0","11","120"
"111","Rohit Pradhan","A","Hudson Hurricanes Sultans","14","8","2","1","0","0","11","120"
