matchId,overNum,bowler,runs,legalBalls,dots,wickets,wides,noballs
18687,1,Vinit B,3,6,4,0,1,0
18687,2,Sanju S,7,6,4,0,2,0
18687,3,Vinit B,3,6,3,0,0,0
18687,4,Willish P,4,6,4,0,2,0
18687,5,Ankur C,2,6,4,0,0,0
18687,6,Sandeep I S,14,6,2,1,2,0
18687,7,Ankur C,1,6,5,0,0,0
18687,8,Sandeep I S,2,6,4,1,0,0
18687,9,Harshad P,3,6,5,2,2,0
18687,10,Vipul J,5,6,4,1,2,1
18687,11,Harshad P,8,6,3,0,2,0
18687,12,Vipul J,5,6,4,0,0,0
18687,13,Vinit B,9,6,3,1,2,0
18687,14,Ankur C,6,6,4,1,1,0
18687,15,Ashish S,4,6,4,0,2,0
18687,16,Willish P R,5,5,1,1,1,0
18893,1,Vinit B,2,6,5,1,0,0
18893,2,Sandeep I S,2,6,4,1,0,0
18893,3,Vinit B,3,6,3,0,0,0
18893,4,Sandeep I S,2,6,5,1,1,0
18893,5,Sushil G,2,6,4,0,0,0
18893,6,Suraj Pai M,0,6,6,0,0,0
18893,7,Sushil G,16,6,2,0,0,0
18893,8,Suraj Pai M,9,6,4,1,1,0
18893,9,Willish P,7,6,4,1,0,0
18893,10,Avteet C,5,6,3,2,1,0
18893,11,Willish P,1,6,5,1,0,0
18893,12,Avteet C,19,6,3,0,1,1
18893,13,Baseer Ahmed,9,6,3,0,0,0
18893,14,Harshad P,3,6,4,0,1,0
18893,15,Baseer Ahmed,9,6,3,1,0,0
18893,16,Harshad P,6,6,5,0,0,0
19017,1,Sandeep I S,3,6,3,0,0,0
19017,2,Suraj Pai M,10,6,1,0,0,0
19017,3,Sandeep I S,8,6,2,0,1,0
19017,4,Ankur C,4,6,5,0,1,1
19017,5,Ashish S,10,6,4,1,2,0
19017,6,Ankur C,2,6,4,0,0,0
19017,7,Harshad P,7,6,4,1,0,0
19017,8,Ashish S,15,6,4,0,1,1
19017,9,Suraj Pai M,3,6,4,2,1,0
19017,10,Harshad P,5,6,2,0,0,0
19017,11,Ankur C,11,6,1,0,0,0
19017,12,Harshad P,3,6,3,1,0,0
