group,rank,team,mat,won,lost,nr,tie,pts,winpct,netrr,for,against
A,1,VRK Gladiators,20,14,3,3,0,74,82.35%,2.2639,1834/250.4,1344/266
A,2,Mag11,20,14,4,0,2,71,75.00%,1.6129,1609/273.4,1302/305.1
A,3,NJ Boxers,20,13,4,3,0,67,76.47%,1.9020,1925/236.2,1668/267.1
A,4,Hudson Hurricanes Sultans,20,13,5,2,0,66,72.22%,0.9842,1459/242,1410/279.3
A,5,Karma XI,20,13,5,2,0,64,72.22%,0.9292,1824/266.4,1657/280.2
A,6,Secaucus Fighters,20,11,6,3,0,58,64.71%,0.8799,1468/248.5,1321/263.1
A,7,SB Vikings Cricket Club,20,10,7,3,0,53,58.82%,0.4428,1513/242.2,1542/265.5
A,8,Edison Riders,20,10,8,2,0,52,55.56%,0.5340,1347/232,1376/261
A,9,Edison Warriors,20,10,8,2,0,50,55.56%,0.4353,1466/257.3,1410/268.1
A,10,Phoenix Flyers,20,10,9,1,0,46,52.63%,0.0874,1423/270.4,1414/273.3
A,11,GoldFinch Cricket Club,20,8,8,4,0,44,50.00%,0.0414,1220/225.5,1258/234.4
A,12,Robbinsville Jaguars,20,9,10,1,0,44,47.37%,-0.2483,1359/248.3,1455/254.3
A,13,Cricket Lovers,20,7,10,3,0,36,41.18%,-0.6483,1671/258.1,1817/255.1
A,14,Edison Super Kings,20,7,11,2,0,32,38.89%,-0.7748,1444/283.4,1654/282
A,15,Perryville Panthers,20,6,13,0,1,29,32.50%,-1.0582,1529/298,1702/275
A,16,Pmcc,20,4,13,2,1,26,25.00%,-1.0705,1482/274.4,1637/253.1
A,17,RCW - Weekenders,20,4,13,3,0,24,23.53%,-1.3656,1461/264.4,1648/239.2
A,18,Staten Island Strikers,20,4,14,2,0,22,22.22%,-1.4505,1392/288,1572/250.1
A,19,Em Sports Club,20,4,14,2,0,22,22.22%,-1.6535,1127/273.3,1585/274.3
A,20,SB Vikings Challengers Cricket Club,20,4,15,0,1,20,22.50%,-1.7211,1439/298.1,1675/255.5
A,21,Bethak Titans,20,3,14,3,0,18,17.65%,-3.6781,1261/269.4,1643/196.4
B,1,Pway Cubs,20,17,3,0,0,83,85.00%,4.4969,2783/290.2,1608/316
B,2,JC Warriors,20,16,1,2,1,83,91.67%,2.4938,1777/248.1,1344/288
B,3,Giant Slayers,20,16,3,0,1,78,82.50%,2.1249,2134/306.5,1515/313.4
B,4,NJ Marvels,20,15,1,4,0,76,93.75%,1.6990,1687/254.3,1262/256
B,5,Sreeshti Weekenders,20,14,3,3,0,74,82.35%,2.4397,1759/226.3,1439/270.1
B,6,United Falcons,20,12,7,1,0,60,63.16%,1.6528,1811/267.2,1440/281.1
B,7,Monroe Mavericks,20,12,7,1,0,59,63.16%,1.5721,1805/284.2,1397/292.3
B,8,Express Rangers,20,10,7,2,1,54,58.33%,0.4895,1379/250.2,1356/270.1
B,9,Sinclair Lions,20,9,9,1,1,46,50.00%,0.1817,1551/279.2,1545/287.4
B,10,EB Strikers,20,8,11,1,0,37,42.11%,-0.9682,1516/285.3,1670/266
B,11,Plainsboro Hunters,20,6,12,1,1,32,34.21%,-0.2390,1882/304,1855/288.3
B,12,Top Guns,20,5,11,3,1,30,32.35%,-1.6814,1132/254.4,1502/245.1
B,13,Troy Titans,20,6,13,1,0,28,31.58%,-1.3784,1458/292.4,1660/261
B,14,MKCC Weekenders,19,6,12,1,0,28,33.33%,-1.5377,1294/266.2,1711/267.3
B,15,PRO SQUAD,20,5,13,1,1,27,28.95%,-0.4914,1712/298.2,1707/274
B,16,Firehawks,20,3,14,3,0,20,17.65%,-2.5703,1168/268.2,1545/223.1
B,17,Jersey Aces,19,2,15,2,0,12,11.76%,-2.8180,1195/271.2,1631/225.5
B,18,Princeton Walk,20,1,15,4,0,12,6.25%,-4.0670,940/256,1393/180
