matchId,team,bowler,O,M,Dot,R,W,Econ,wides,noballs
20343,Newport Narcos,Shubham Bhutada,4,0,8,39,1,9.75,1,2
20343,Newport Narcos,Varshil Shah,4,0,13,34,2,8.50,4,0
20343,Newport Narcos,Kabir Goswami,3,0,4,41,0,13.67,1,1
20343,Newport Narcos,Chet Kalra*,4,0,7,41,0,10.25,3,0
20343,Newport Narcos,Yash Pise,1,0,1,16,0,16.00,1,1
20343,Mag11,Hemant Panwar,1,0,3,9,0,9.00,1,1
20343,Mag11,Naren S,3,0,10,18,1,6.00,1,0
20343,Mag11,Harsh Shukla,3,0,10,11,2,3.67,0,0
20343,Mag11,Abdul Rameez Ahmed,3,0,12,22,1,7.33,0,5
20343,Mag11,AJAY PRAKASH POODOORI,2,0,5,21,1,10.50,1,0
20343,Mag11,Raj Sakiri,1,0,1,14,0,14.00,5,0
20343,Mag11,Harshal Ghangale,1.5,0,7,8,1,4.36,1,0
20341,SB Vikings Challengers Cricket Club,Srini Yandrapu,4,0,12,16,1,4.00,1,0
20341,SB Vikings Challengers Cricket Club,Dhanushka Haputhanthri,3,0,7,22,1,7.33,3,1
20341,SB Vikings Challengers Cricket Club,Tamil R*,4,0,7,27,1,6.75,0,0
20341,SB Vikings Challengers Cricket Club,Chandra Narayanaswamy,4,0,13,27,1,6.75,4,0
20341,SB Vikings Challengers Cricket Club,Anirudha Niwargi,1,0,4,12,0,12.00,0,2
20341,Bayonne CC,Prakash Baskar*,4,0,15,28,1,7.00,5,2
20341,Bayonne CC,Ashokan A,2,0,5,27,0,13.50,10,1
20341,Bayonne CC,Sakthivel Veeramuthu,4,0,15,21,2,5.25,1,1
20341,Bayonne CC,Udhaya Kumar Bagavathiappan,2,0,5,13,0,6.50,1,0
20341,Bayonne CC,Karthik Murugesan,2.3,0,7,20,2,8.00,1,0
20340,Secaucus Fighters,Pathik Patel,2,0,5,26,0,13.00,3,2
20340,Secaucus Fighters,Keyur Barot,4,0,15,14,4,3.50,4,0
20340,Secaucus Fighters,Arun Rajasekaran,2,0,5,15,0,7.50,2,0
20340,Secaucus Fighters,Tirth Lakhani,4,0,15,15,0,3.75,3,0
20340,Secaucus Fighters,Varun Bhat*,4,0,13,33,4,8.25,3,0
20340,Parsippany Super Kings,Amit Jadli,1,0,2,5,0,5.00,1,0
20340,Parsippany Super Kings,Pradeep Reddy Patil*,1,0,5,6,0,6.00,0,0
20340,Parsippany Super Kings,Vamsi Krish Sanneboina,3,0,12,18,2,6.00,1,0
20340,Parsippany Super Kings,Shiva Charan,1,0,3,11,0,11.00,0,0
20340,Parsippany Super Kings,Naveen Rayal,2.3,0,11,11,3,4.40,1,1
20340,Parsippany Super Kings,Sujan Kumar,2,1,9,3,4,1.50,0,0
20340,Parsippany Super Kings,Srinath Reddy Reddy,2,0,6,14,1,7.00,1,1
20336,Perryville Panthers,Anil Paduchuri,3,0,11,14,2,4.67,1,0
20336,Perryville Panthers,Ishwar Girase,3.1,0,11,17,1,5.37,1,0
20336,Perryville Panthers,Venu Sunkavalli,4,1,19,7,4,1.75,2,0
20336,Perryville Panthers,Chaitanya Boddu*,3,1,14,15,2,5.00,0,1
20336,PCA Jr.,Rishi Patel GCC,2,0,6,11,1,5.50,0,0
20336,PCA Jr.,Chintan Patel*,2,0,4,18,1,9.00,1,0
20336,PCA Jr.,Joyal Patel,1.1,0,2,22,0,18.86,0,0
20336,PCA Jr.,Hardik Vyas (GCC),1,0,2,4,0,4.00,0,0
