matchId,score1,wkts1,score2,wkts2
20239,0,0,0,0
20238,69,6,70,4
20237,76,10,44,10
20229,62,10,43,10
20228,148,7,114,8
20226,177,2,95,10
20223,75,10,76,5
20215,108,8,72,9
20212,62,10,63,8
20210,179,9,125,9
20206,139,8,116,5
20204,71,8,71,7
20203,83,10,84,4
20198,104,9,83,9
20197,109,8,110,5
20196,72,6,73,8
20193,92,7,88,7
20192,98,9,101,3
20191,59,10,60,3
20190,0,0,0,0
20185,0,0,0,0
20178,181,5,25,9
20176,120,10,98,9
20175,0,0,0,0
20173,37,10,38,4
20172,75,9,71,10
20171,78,10,50,10
20168,40,10,45,4
20167,67,10,72,6
20165,63,10,43,9
20160,154,4,69,10
20159,92,7,94,6
20154,160,10,46,10
20152,92,10,97,3
20151,88,10,67,10
20149,55,9,39,8
20148,84,10,87,5
20145,167,7,70,10
20143,91,9,93,6
20136,0,0,0,0
20130,0,0,0,0
20129,147,7,113,7
20128,132,4,100,10
20127,167,9,35,9
20123,66,10,69,4
20118,77,9,69,7
20116,74,8,75,6
20110,93,10,99,6
20109,98,10,31,10
20107,82,9,85,8
20106,124,6,108,10
20104,124,6,73,10
20103,173,6,54,10
20100,151,7,66,10
20098,99,10,100,3
20096,66,7,70,9
20088,160,6,72,10
20085,87,6,88,3
20084,96,4,73,10
20081,91,7,78,7
20069,75,10,77,5
20068,66,10,68,9
20065,60,9,61,5
20064,119,4,121,5
20063,77,8,81,2
20060,86,10,78,10
20055,85,10,45,10
20048,133,6,33,10
20047,65,10,67,7
20046,81,8,82,6
20042,93,7,94,3
20041,49,10,50,3
20039,101,8,84,9
20037,93,6,94,7
20035,135,10,120,10
20033,31,10,35,7
20030,102,10,103,7
20029,79,7,82,4
20028,134,6,106,6
20027,61,10,65,3
20018,87,10,88,3
20012,192,8,123,8
20011,122,9,94,10
20006,69,9,59,7
20005,73,7,78,4
20001,83,10,80,7
19998,154,9,102,10
19997,74,10,43,10
19994,140,10,108,10
19993,137,7,138,3
19992,73,10,28,10
19991,94,3,90,7
19987,113,8,115,4
19985,114,5,90,10
19981,125,9,112,10
19978,163,4,59,10
19977,61,10,62,5
19976,99,8,100,9
19975,64,8,65,7
19974,92,9,96,5
19968,0,0,0,0
19967,173,8,158,7
19966,80,8,82,3
19963,156,9,53,9
19958,84,8,90,5
19952,74,7,57,9
19951,39,8,43,1
19950,122,10,57,10
19947,81,7,84,9
19946,78,10,71,10
19945,40,10,41,0
19944,82,9,83,2
19941,114,7,41,10
19940,86,6,88,2
19935,113,10,77,8
19934,50,10,54,4
19927,124,10,80,8
19926,67,9,71,5
19925,85,8,69,8
19924,38,10,41,7
19919,0,0,0,0
19913,0,0,0,0
19907,0,0,0,0
19903,172,5,79,6
19901,78,9,64,10
19894,100,8,101,2
19893,149,8,152,5
19892,50,9,52,2
19890,80,10,51,9
19889,89,6,64,10
19886,50,10,48,10
19885,108,7,90,9
19882,84,8,85,5
19881,72,9,77,4
19879,67,7,68,4
19876,62,9,42,10
19872,116,7,64,10
19869,74,5,44,10
19867,81,9,86,5
19866,8,0,0,0
19858,82,10,13,1
19852,0,0,0,0
19851,150,3,48,6
19850,76,9,83,2
19846,42,10,43,2
19844,102,10,101,7
19840,112,8,25,3
19839,134,7,80,7
19835,161,8,85,10
19832,95,8,88,4
19830,124,5,87,9
19827,76,10,77,7
19826,115,8,65,10
19823,59,10,60,2
19821,158,7,66,8
19819,70,8,71,6
19818,72,10,73,3
19815,63,10,40,4
19814,59,8,60,7
19812,0,0,0,0
19808,128,6,52,10
19798,52,10,53,6
19797,47,10,48,3
19794,90,6,91,7
19791,49,10,53,0
19790,48,10,49,3
19787,144,8,145,9
19786,99,6,100,7
19779,147,9,98,8
19778,62,10,63,1
19777,137,6,40,10
19776,82,8,83,6
19773,90,8,94,4
19772,111,10,80,9
19769,155,7,84,10
19768,92,9,56,10
19767,36,10,37,0
19765,61,10,62,6
19764,80,10,81,9
19762,143,10,82,9
19752,51,9,0,0
19747,78,7,83,4
19746,94,9,96,7
19744,106,4,74,10
19743,41,10,18,10
19741,151,8,86,10
19733,125,8,67,9
19732,67,10,69,6
19728,36,10,37,1
19726,68,10,71,4
19724,49,10,54,7
19722,58,10,62,5
19720,109,9,55,10
19718,58,10,64,4
19717,127,6,63,10
19714,100,7,78,2
19710,64,6,68,5
19709,46,10,49,1
19708,79,10,71,8
19706,86,8,87,8
19696,48,10,51,3
19694,104,6,83,10
19693,80,8,55,10
19691,149,7,112,5
19689,82,9,84,4
19686,38,10,39,5
19684,90,9,96,5
19681,80,10,81,3
19676,58,10,59,5
19673,65,7,68,2
19671,141,7,82,9
19669,110,8,108,10
19665,109,6,52,10
19662,60,8,34,10
19660,70,10,69,10
19658,67,10,67,10
19657,103,5,87,9
19655,68,9,73,2
19654,67,8,73,7
19652,96,7,79,10
19647,161,5,38,10
19641,148,8,114,10
19634,78,10,82,4
19630,110,10,90,6
19629,95,6,48,10
19628,108,6,110,4
19627,92,9,68,9
19625,176,10,77,9
19624,73,10,78,5
19623,99,10,64,10
19620,98,8,82,10
19617,61,7,62,1
19614,132,9,91,7
19610,63,8,64,6
19607,101,10,97,9
19606,53,10,54,1
19604,75,10,76,6
19603,92,9,89,6
19600,46,10,47,7
19594,257,6,67,8
19588,188,7,126,9
19587,126,7,103,6
19584,137,9,127,4
19583,77,7,78,3
19582,85,8,86,5
19577,108,9,114,3
19576,95,9,91,6
19574,120,9,114,7
19573,75,10,77,3
19566,116,6,98,9
19565,48,10,49,6
19560,113,8,92,10
19559,72,9,73,4
19556,77,10,82,2
19555,81,10,82,4
19552,107,8,82,8
19551,74,10,77,9
19546,87,7,92,4
19545,67,9,68,5
19544,181,4,182,6
19539,108,9,104,7
19536,81,7,85,3
19530,124,8,129,2
19528,102,10,104,4
19523,100,9,65,10
19522,62,9,66,3
19519,106,5,110,2
19517,212,5,173,5
19514,111,3,86,6
19513,89,8,69,9
19512,99,6,100,5
19509,86,8,68,9
19508,114,3,116,5
19506,66,10,39,9
19504,88,5,89,7
19503,134,8,138,4
19501,118,9,120,3
19500,77,10,81,1
19499,89,9,76,10
19491,139,6,120,7
19485,142,6,142,9
19484,131,7,75,9
19478,133,10,129,8
19476,81,9,82,8
19474,122,9,51,9
19473,85,10,63,10
19472,154,4,96,10
19468,85,8,56,10
19467,82,9,86,5
19465,76,10,77,6
19463,52,10,53,4
19460,149,8,107,10
19456,117,5,74,10
19454,72,8,78,5
19451,68,9,69,4
19446,110,10,109,10
19445,92,10,96,5
19444,131,5,67,10
19440,81,7,84,4
19439,75,10,71,10
19433,97,7,94,7
19432,197,9,38,10
19431,115,8,56,9
19428,81,9,86,7
19417,89,10,59,10
19414,90,10,72,10
19413,138,9,85,7
19412,81,9,42,10
19411,176,6,54,9
19407,115,6,36,10
19404,44,10,45,0
19400,161,7,102,6
19398,118,5,68,10
19394,160,9,133,7
19393,41,10,45,0
19392,113,10,114,2
19390,84,7,77,8
19389,117,6,118,3
19388,66,8,68,4
19385,133,9,69,10
19377,109,8,113,3
19376,66,10,69,4
19369,66,10,69,5
19366,87,8,91,5
19360,192,6,80,10
19358,115,8,104,8
19357,72,10,73,6
19354,105,8,52,10
19352,69,10,70,8
19350,103,3,104,8
19349,40,10,42,3
19348,146,8,124,8
19346,95,7,93,10
19343,171,10,91,10
19338,107,4,93,3
19337,78,6,82,5
19334,92,6,49,10
19333,52,10,53,6
19331,93,10,92,10
19330,74,7,63,10
19325,89,8,95,4
19321,90,10,92,2
19316,211,2,67,10
19315,41,10,42,1
19314,69,10,63,10
19307,108,8,109,9
19306,122,7,79,9
19303,137,10,134,9
19296,111,4,104,8
19295,54,9,57,2
19294,80,9,81,6
19293,91,9,92,5
19287,131,7,133,6
19286,43,10,44,4
19285,118,10,119,9
19284,117,10,112,8
19283,47,10,53,4
19279,96,7,99,4
19278,141,2,145,7
19276,86,9,90,4
19271,92,7,65,7
19269,117,8,112,9
19267,171,6,70,10
19265,99,7,82,10
19264,100,7,101,9
19263,87,6,88,6
19259,137,10,50,8
19257,175,5,92,7
19250,77,10,82,2
19247,111,7,113,4
19241,99,7,90,8
19235,123,7,44,10
19234,101,10,102,5
19233,106,9,107,4
19232,191,1,165,4
19230,41,10,42,6
19229,88,9,93,4
19227,70,10,71,1
19224,128,5,104,7
19223,133,7,136,5
19275,0,0,0,0
19217,100,10,65,9
19215,43,10,47,1
19210,138,5,72,9
19208,123,8,123,10
19197,56,10,57,6
19196,123,6,124,5
19191,131,6,91,9
19187,84,9,87,7
19184,52,10,53,4
19182,105,7,108,7
19181,83,8,84,4
19176,143,7,100,10
19175,85,10,87,2
19174,52,10,54,7
19173,97,9,99,2
19172,59,4,60,3
19171,47,10,49,1
19170,109,9,75,3
19169,103,10,63,10
19163,106,10,91,10
19160,79,10,82,2
19157,142,9,53,10
19142,120,6,73,8
19140,104,10,100,7
19138,166,9,99,9
19136,127,8,128,4
19134,92,8,93,6
19131,77,10,79,5
19129,89,10,56,10
19128,90,10,91,5
19127,82,9,86,7
19124,155,4,86,9
19122,89,9,79,9
19121,67,10,74,1
19120,89,10,90,5
19118,103,9,108,2
19117,82,10,85,5
19116,112,5,105,8
19115,65,10,68,8
19112,0,0,0,0
19109,113,7,98,8
19106,58,10,64,7
19105,208,6,77,10
19103,96,8,97,5
19102,104,9,105,8
19086,100,9,101,6
19085,121,9,74,10
19083,133,5,137,3
19082,114,5,70,10
19080,130,9,95,8
19079,81,10,84,1
19076,93,8,94,6
19075,72,10,66,8
19070,160,6,72,10
19068,62,10,63,5
19066,77,10,78,4
19065,115,9,70,9
19064,63,10,64,5
19063,141,5,51,10
19056,82,9,21,10
19050,97,10,62,10
19049,64,10,65,8
19048,93,7,95,7
19041,58,9,62,6
19039,86,7,41,10
19038,95,7,91,6
19035,57,10,58,7
19034,83,10,73,8
19032,67,10,68,6
19031,122,10,59,9
19028,73,8,74,7
19027,100,8,98,6
19024,71,10,72,6
19021,156,7,21,10
19020,82,7,86,9
19017,100,9,104,5
19016,80,10,28,10
19013,83,9,42,10
19009,116,6,119,1
19004,104,10,50,10
19000,57,10,58,2
18992,72,9,74,2
18991,52,8,38,10
18984,127,10,114,7
18982,133,9,52,10
18981,63,7,65,2
18980,87,10,93,5
18978,124,6,93,10
18977,129,7,63,10
18976,64,10,70,5
18971,107,7,89,10
18970,166,7,31,10
18969,45,9,47,2
18966,163,9,68,9
18964,69,8,49,10
18962,57,10,58,5
18958,154,6,43,10
18957,110,8,56,10
18956,69,3,71,3
18954,0,0,0,0
18948,139,7,91,10
18945,81,10,65,10
18940,140,6,137,9
18926,192,5,99,10
18923,129,7,86,6
18921,89,8,75,9
18919,119,9,64,10
18916,84,10,77,10
18913,83,9,84,6
18912,115,7,97,10
18911,171,3,46,10
18910,83,9,87,5
18908,143,6,53,10
18907,108,9,109,9
18906,61,10,64,3
18905,302,5,147,6
18903,119,7,97,9
18902,99,7,105,3
18901,122,10,58,8
18897,0,0,0,0
18896,74,9,75,8
18893,125,2,95,9
18891,65,8,60,10
18887,119,8,121,2
18885,71,8,26,9
18884,85,9,73,10
18882,75,10,43,10
18880,91,8,82,7
18875,79,9,78,10
18873,107,9,99,10
18868,114,8,116,5
18864,128,6,81,9
18861,37,10,38,0
18860,77,9,79,7
18856,84,7,88,7
18855,107,7,64,10
18852,69,10,70,5
18851,95,6,60,10
18849,119,9,77,9
18847,0,0,0,0
