match_id,innings,over,ball,batter,non_striker,bowler,runs_total,runs_batter,runs_extras,play_type,is_wicket,wicket_kind,dismissed,team_score
1489138,1,1,1,VP Amit Sathvik,Tushar Raheja,Venkatesh Bhuvaneshwar,4,4,0,four,0,,,4/0
1489138,1,1,2,VP Amit Sathvik,Tushar Raheja,Venkatesh Bhuvaneshwar,0,0,0,no run,0,,,4/0
1489138,1,1,3,VP Amit Sathvik,Tushar Raheja,Venkatesh Bhuvaneshwar,1,1,0,run,0,,,5/0
1489138,1,1,4,Tushar Raheja,VP Amit Sathvik,Venkatesh Bhuvaneshwar,1,1,0,run,0,,,6/0
1489138,1,1,5,VP Amit Sathvik,Tushar Raheja,Venkatesh Bhuvaneshwar,4,4,0,four,0,,,10/0
1489138,1,1,6,VP Amit Sathvik,Tushar Raheja,Venkatesh Bhuvaneshwar,4,4,0,four,0,,,14/0
1489138,1,2,1,Tushar Raheja,VP Amit Sathvik,Ravichandran Ashwin,1,1,0,run,0,,,15/0
1489138,1,2,2,VP Amit Sathvik,Tushar Raheja,Ravichandran Ashwin,1,1,0,run,0,,,16/0
1489138,1,2,3,Tushar Raheja,VP Amit Sathvik,Ravichandran Ashwin,4,4,0,four,0,,,20/0
1489138,1,2,4,Tushar Raheja,VP Amit Sathvik,Ravichandran Ashwin,0,0,0,no run,0,,,20/0
1489138,1,2,5,Tushar Raheja,VP Amit Sathvik,Ravichandran Ashwin,1,1,0,run,0,,,21/0
1489138,1,2,6,VP Amit Sathvik,Tushar Raheja,Ravichandran Ashwin,1,1,0,run,0,,,22/0
1489138,1,3,1,VP Amit Sathvik,Tushar Raheja,Varun Chakravarthy Vinod,4,4,0,four,0,,,26/0
1489138,1,3,2,VP Amit Sathvik,Tushar Raheja,Varun Chakravarthy Vinod,0,0,0,no run,0,,,26/0
1489138,1,3,3,VP Amit Sathvik,Tushar Raheja,Varun Chakravarthy Vinod,1,1,0,run,0,,,27/0
1489138,1,3,4,Tushar Raheja,VP Amit Sathvik,Varun Chakravarthy Vinod,1,1,0,run,0,,,28/0
1489138,1,3,5,VP Amit Sathvik,Tushar Raheja,Varun Chakravarthy Vinod,0,0,0,no run,0,,,28/0
1489138,1,3,6,VP Amit Sathvik,Tushar Raheja,Varun Chakravarthy Vinod,0,0,0,no run,0,,,28/0
1489138,1,4,1,Tushar Raheja,VP Amit Sathvik,Ganeshan Periyaswamy,1,1,0,run,0,,,29/0
1489138,1,4,2,VP Amit Sathvik,Tushar Raheja,Ganeshan Periyaswamy,0,0,0,no run,0,,,29/0
1489138,1,4,3,VP Amit Sathvik,Tushar Raheja,Ganeshan Periyaswamy,2,2,0,run,0,,,31/0
1489138,1,4,4,VP Amit Sathvik,Tushar Raheja,Ganeshan Periyaswamy,1,1,0,run,0,,,32/0
1489138,1,4,5,Tushar Raheja,VP Amit Sathvik,Ganeshan Periyaswamy,0,0,0,no run,0,,,32/0
1489138,1,4,6,Tushar Raheja,VP Amit Sathvik,Ganeshan Periyaswamy,2,2,0,run,0,,,34/0
1489138,1,5,1,VP Amit Sathvik,Tushar Raheja,Varun Chakravarthy Vinod,2,2,0,run,0,,,36/0
1489138,1,5,2,VP Amit Sathvik,Tushar Raheja,Varun Chakravarthy Vinod,4,4,0,four,0,,,40/0
1489138,1,5,3,VP Amit Sathvik,Tushar Raheja,Varun Chakravarthy Vinod,0,0,0,no run,0,,,40/0
1489138,1,5,4,VP Amit Sathvik,Tushar Raheja,Varun Chakravarthy Vinod,4,4,0,four,0,,,44/0
1489138,1,5,5,VP Amit Sathvik,Tushar Raheja,Varun Chakravarthy Vinod,1,1,0,run,0,,,45/0
1489138,1,5,6,Tushar Raheja,VP Amit Sathvik,Varun Chakravarthy Vinod,6,6,0,six,0,,,51/0
1489138,1,6,1,VP Amit Sathvik,Tushar Raheja,Ganeshan Periyaswamy,6,6,0,six,0,,,57/0
1489138,1,6,2,VP Amit Sathvik,Tushar Raheja,Ganeshan Periyaswamy,0,0,0,no run,0,,,57/0
1489138,1,6,3,VP Amit Sathvik,Tushar Raheja,Ganeshan Periyaswamy,6,6,0,six,0,,,63/0
1489138,1,6,4,VP Amit Sathvik,Tushar Raheja,Ganeshan Periyaswamy,1,1,0,run,0,,,64/0
1489138,1,6,5,Tushar Raheja,VP Amit Sathvik,Ganeshan Periyaswamy,1,1,0,run,0,,,65/0
1489138,1,6,6,VP Amit Sathvik,Tushar Raheja,Ganeshan Periyaswamy,4,4,0,four,0,,,69/0
1489138,1,7,1,Tushar Raheja,VP Amit Sathvik,Ravichandran Ashwin,0,0,0,no run,0,,,69/0
1489138,1,7,2,Tushar Raheja,VP Amit Sathvik,Ravichandran Ashwin,4,4,0,four,0,,,73/0
1489138,1,7,3,Tushar Raheja,VP Amit Sathvik,Ravichandran Ashwin,1,1,0,run,0,,,74/0
1489138,1,7,4,VP Amit Sathvik,Tushar Raheja,Ravichandran Ashwin,6,6,0,six,0,,,80/0
1489138,1,7,5,VP Amit Sathvik,Tushar Raheja,Ravichandran Ashwin,1,1,0,run,0,,,81/0
1489138,1,7,6,Tushar Raheja,VP Amit Sathvik,Ravichandran Ashwin,1,1,0,run,0,,,82/0
1489138,1,8,1,Tushar Raheja,VP Amit Sathvik,Ravichandran Sasidharan,1,1,0,run,0,,,83/0
1489138,1,8,2,VP Amit Sathvik,Tushar Raheja,Ravichandran Sasidharan,1,1,0,run,0,,,84/0
1489138,1,8,3,Tushar Raheja,VP Amit Sathvik,Ravichandran Sasidharan,4,4,0,four,0,,,88/0
1489138,1,8,4,Tushar Raheja,VP Amit Sathvik,Ravichandran Sasidharan,1,0,1,wide,0,,,89/0
1489138,1,8,5,Tushar Raheja,VP Amit Sathvik,Ravichandran Sasidharan,0,0,0,no run,0,,,89/0
1489138,1,8,6,Tushar Raheja,VP Amit Sathvik,Ravichandran Sasidharan,6,6,0,six,0,,,95/0
1489138,1,8,7,Tushar Raheja,VP Amit Sathvik,Ravichandran Sasidharan,4,4,0,four,0,,,99/0
1489138,1,9,1,VP Amit Sathvik,Tushar Raheja,Ravichandran Ashwin,1,1,0,run,0,,,100/0
1489138,1,9,2,Tushar Raheja,VP Amit Sathvik,Ravichandran Ashwin,0,0,0,no run,0,,,100/0
1489138,1,9,3,Tushar Raheja,VP Amit Sathvik,Ravichandran Ashwin,2,2,0,run,0,,,102/0
1489138,1,9,4,Tushar Raheja,VP Amit Sathvik,Ravichandran Ashwin,0,0,0,no run,0,,,102/0
1489138,1,9,5,Tushar Raheja,VP Amit Sathvik,Ravichandran Ashwin,1,1,0,run,0,,,103/0
1489138,1,9,6,VP Amit Sathvik,Tushar Raheja,Ravichandran Ashwin,0,0,0,no run,0,,,103/0
