season,batter,league_matches,league_runs,normalised_runs,actual_rank,norm_rank,avg_pos,made_playoffs,missing_matches,ci_lower,ci_upper
2016,Narayan Jagadeesan,7,338,338.0,1.0,2.0,1.0,1,0,338.0,338.0
2016,Kaushik Mohan Gandhi,7,298,298.0,2.0,3.0,1.1,1,0,298.0,298.0
2016,Baba Aparajith,5,293,410.2,3.0,1.0,3.0,0,2,267.4,553.0
2016,Hari Gopinath,7,229,229.0,4.0,4.0,1.0,1,0,229.0,229.0
2016,Xavier Thalaivan Sargunam,7,225,225.0,5.0,5.0,2.0,1,0,225.0,225.0
2016,Poovathinga Shijit Chandran,7,207,207.0,6.0,6.0,3.1,0,0,207.0,207.0
2016,Rajhamany Srinivasan,7,188,188.0,7.0,7.0,3.8,0,0,188.0,188.0
2016,R Nilesh Subramanian,7,185,185.0,8.0,8.0,2.0,0,0,185.0,185.0
2016,Ganga Sridhar Raju,7,183,183.0,9.0,9.0,2.3,1,0,183.0,183.0
2016,Sathiamoorty Vasanth Saravanan,7,182,182.0,10.0,10.0,3.4,1,0,182.0,182.0
2017,Washington Sundar,7,372,372.0,1.0,1.0,1.0,1,0,372.0,372.0
2017,Baba Aparajith,7,277,277.0,2.0,3.0,3.4,0,0,277.0,277.0
2017,Kumaran Bharath Shankar,7,265,265.0,3.0,4.0,1.0,0,0,265.0,265.0
2017,Kaushik Mohan Gandhi,7,264,264.0,4.0,5.0,2.0,1,0,264.0,264.0
2017,Konda Bhaskir Arun Karthik,6,250,291.7,5.0,2.0,1.0,0,1,233.5,349.8
2017,Srikkanth Anirudha,5,208,208.0,6.0,6.0,1.5,1,0,208.0,208.0
2017,N Sarangarajan Chaturved,7,200,200.0,7.0,7.0,1.0,0,0,200.0,200.0
2017,Baba Indrajith,7,193,193.0,8.0,8.0,2.2,0,0,193.0,193.0
2017,Hari Gopinath,6,188,188.0,9.0,9.0,1.0,1,0,188.0,188.0
2017,M Shajahan,7,184,184.0,10.0,11.0,4.9,1,0,184.0,184.0
2018,Srikkanth Anirudha,7,336,336.0,1.0,1.0,1.0,1,0,336.0,336.0
2018,Konda Bhaskir Arun Karthik,7,307,307.0,2.0,2.0,1.0,1,0,307.0,307.0
2018,Masood Shahrukh Khan,7,307,307.0,2.0,2.0,1.3,1,0,307.0,307.0
2018,Narayan Jagadeesan,7,302,302.0,4.0,4.0,1.5,1,0,302.0,302.0
2018,Kumaran Bharath Shankar,7,246,246.0,5.0,5.0,1.0,0,0,246.0,246.0
2018,Kaushik Mohan Gandhi,7,239,239.0,6.0,6.0,1.8,0,0,239.0,239.0
2018,Rajagopal Sathish,7,233,233.0,7.0,7.0,5.4,0,0,233.0,233.0
2018,Selvam Suresh Kumar,7,225,225.0,8.0,8.0,4.3,0,0,225.0,225.0
2018,S Dinesh,7,218,218.0,9.0,9.0,1.5,0,0,218.0,218.0
2018,Subramanian Anand,7,197,197.0,10.0,10.0,3.1,0,0,197.0,197.0
2019,Narayan Jagadeesan,7,361,361.0,1.0,2.0,2.0,1,0,361.0,361.0
2019,Murali Vijay,4,359,628.2,2.0,1.0,2.0,0,3,587.8,668.7
2019,Konda Bhaskir Arun Karthik,7,281,281.0,3.0,3.0,1.0,1,0,281.0,281.0
2019,Hari Gopinath,7,277,277.0,4.0,4.0,2.2,1,0,277.0,277.0
2019,Akshay V Srinivasan,7,246,246.0,5.0,5.0,1.5,0,0,246.0,246.0
2019,Chezhian Nishaanth,7,238,238.0,6.0,6.0,1.0,1,0,238.0,238.0
2019,Baba Aparajith,7,229,229.0,7.0,7.0,3.5,1,0,229.0,229.0
2019,Srikkanth Anirudha,7,210,210.0,8.0,8.0,1.5,0,0,210.0,210.0
2019,V Subramania Siva,7,201,201.0,9.0,9.0,3.6,0,0,201.0,201.0
2019,Abhinav Mukund,7,200,200.0,10.0,10.0,2.2,0,0,200.0,200.0
2021,Bhardwaj Sai Sudharsan,7,301,301.0,1.0,1.0,3.2,1,0,301.0,301.0
