season,batting_team,matches_played,made_playoffs
2016,Chepauk Super Gillies,9,1
2016,SKM Salem Spartans,9,1
2016,Dindigul Dragons,8,1
2016,Lyca Kovai Kings,8,1
2016,IDream Tiruppur Tamizhans,7,0
2016,Nellai Royal Kings,7,0
2016,Siechem Madurai Panthers,7,0
2016,Trichy Grand Cholas,7,0
2017,Chepauk Super Gillies,10,1
2017,SKM Salem Spartans,9,1
2017,IDream Tiruppur Tamizhans,8,1
2017,Lyca Kovai Kings,7,1
2017,Nellai Royal Kings,7,0
2017,Trichy Grand Cholas,7,0
2017,Dindigul Dragons,6,0
2017,Siechem Madurai Panthers,6,0
2018,Siechem Madurai Panthers,10,1
2018,Dindigul Dragons,9,1
2018,Lyca Kovai Kings,9,1
2018,IDream Tiruppur Tamizhans,8,1
2018,Chepauk Super Gillies,7,0
2018,SKM Salem Spartans,7,0
2018,Trichy Grand Cholas,7,0
2018,VB Kanchi Veerans,7,0
2019,Dindigul Dragons,10,1
2019,Chepauk Super Gillies,9,1
2019,Siechem Madurai Panthers,9,1
2019,VB Kanchi Veerans,8,1
2019,IDream Tiruppur Tamizhans,7,0
2019,Lyca Kovai Kings,7,0
2019,SKM Salem Spartans,7,0
2019,Trichy Grand Cholas,7,0
2021,Chepauk Super Gillies,9,1
2021,Dindigul Dragons,9,1
2021,Trichy Grand Cholas,9,1
2021,Lyca Kovai Kings,8,1
2021,IDream Tiruppur Tamizhans,7,0
2021,Siechem Madurai Panthers,7,0
2021,Nellai Royal Kings,6,0
2021,SKM Salem Spartans,6,0
2022,Lyca Kovai Kings,10,1
2022,Chepauk Super Gillies,9,1
2022,Nellai Royal Kings,9,1
2022,Siechem Madurai Panthers,8,1
2022,Dindigul Dragons,7,0
2022,IDream Tiruppur Tamizhans,7,0
2022,SKM Salem Spartans,7,0
2022,Trichy Grand Cholas,7,0
2023,Nellai Royal Kings,10,1
2023,Dindigul Dragons,9,1
2023,Lyca Kovai Kings,9,1
2023,Siechem Madurai Panthers,8,1
2023,Chepauk Super Gillies,7,0
2023,IDream Tiruppur Tamizhans,7,0
2023,SKM Salem Spartans,7,0
2023,Trichy Grand Cholas,7,0
2024,Dindigul Dragons,10,1
2024,IDream Tiruppur Tamizhans,9,1
2024,Lyca Kovai Kings,9,1
2024,Chepauk Super Gillies,8,1
2024,Nellai Royal Kings,7,0
2024,SKM Salem Spartans,7,0
2024,Trichy Grand Cholas,7,0
2024,Siechem Madurai Panthers,6,0
2025,Dindigul Dragons,10,1
2025,Chepauk Super Gillies,9,1
2025,IDream Tiruppur Tamizhans,9,1
2025,Trichy Grand Cholas,8,1
2025,Lyca Kovai Kings,7,0
2025,Nellai Royal Kings,7,0
2025,SKM Salem Spartans,7,0
2025,Siechem Madurai Panthers,7,0
