season,batter,balls_faced,runs,avg_pos,matches,made_playoffs,position_group
2016,Abhinav Mukund,181,252,2.3977900552486187,5,1,Top Order (3)
2016,Abhishek Baljeetsingh Tanwar,44,39,5.75,5,0,Finisher (6+)
2016,Adithya Ganesh,37,40,6.918918918918919,4,0,Finisher (6+)
2016,Akash Sumra,36,36,6.944444444444445,5,1,Finisher (6+)
2016,Akkil Srinaath,48,72,6.208333333333333,4,0,Finisher (6+)
2016,Akshay V Srinivasan,37,38,4.297297297297297,5,1,Middle Order (4-5)
2016,Alagh Chelliah Prathiban,37,35,7.108108108108108,4,0,Finisher (6+)
2016,Antony Chandrasekaran Aswin Crist,22,15,8.272727272727273,4,1,Finisher (6+)
2016,Ashwin Venkataraman,45,52,4.466666666666667,4,1,Middle Order (4-5)
2016,Baba Aparajith,167,293,3.0119760479041915,5,0,Middle Order (4-5)
2016,Baba Indrajith,121,113,3.975206611570248,7,0,Middle Order (4-5)
2016,Chandrasekar Ganapathy,34,46,6.4411764705882355,5,0,Finisher (6+)
2016,Chezhian Nishaanth,98,101,1.0,6,0,Opener (1-2)
2016,Edward Kennedy,10,6,10.4,4,0,Finisher (6+)
2016,Ganapathi Vignesh,46,40,2.0,4,0,Opener (1-2)
2016,Ganga Sridhar Raju,164,183,2.317073170731707,8,1,Top Order (3)
2016,Hari Gopinath,213,273,1.0234741784037558,9,1,Opener (1-2)
2016,Jagatheesan Kousik,105,124,6.114285714285714,6,0,Finisher (6+)
2016,Jamaluddin Syed Mohammad,99,90,3.8181818181818183,7,1,Middle Order (4-5)
2016,Jothimani Gowjith Subhash,59,61,4.8474576271186445,7,1,Middle Order (4-5)
2016,K Vishal Vaidhya,53,34,4.0,4,0,Middle Order (4-5)
2016,Kaushik Mohan Gandhi,260,366,1.0807692307692307,9,1,Opener (1-2)
2016,Konda Bhaskir Arun Karthik,94,143,2.0106382978723403,6,0,Top Order (3)
2016,Kumaran Bharath Shankar,92,102,1.0,7,0,Opener (1-2)
2016,L Ganesh,23,21,5.086956521739131,4,0,Finisher (6+)
2016,Lakshminarayanan Vignesh,27,41,7.666666666666667,4,0,Finisher (6+)
2016,Laxmesha Suryaprakash,178,196,1.0,8,1,Opener (1-2)
2016,M Lakshmi Narayanan,42,43,5.904761904761905,5,0,Finisher (6+)
2016,M Mohammed,49,105,6.714285714285714,7,1,Finisher (6+)
2016,M Raja,24,19,8.291666666666666,6,0,Finisher (6+)
2016,M Suresh Babu,26,18,8.423076923076923,5,0,Finisher (6+)
2016,M Vijay Kumar,114,150,1.5175438596491229,7,0,Opener (1-2)
2016,Maan K Bafna,44,44,5.75,4,0,Finisher (6+)
2016,Malolan Rangarajan,84,107,5.904761904761905,7,0,Finisher (6+)
2016,Masood Shahrukh Khan,62,72,4.129032258064516,6,0,Middle Order (4-5)
2016,Moovervnthali Kasipandian Sivakumar,21,13,7.428571428571429,5,1,Finisher (6+)
2016,Murthy Prabhu,26,26,8.76923076923077,4,0,Finisher (6+)
2016,Murugan Ashwin,80,105,4.5,6,1,Middle Order (4-5)
2016,N Sarangarajan Chaturved,154,158,2.642857142857143,7,0,Top Order (3)
2016,Narayan Jagadeesan,329,397,1.0,8,1,Opener (1-2)
2016,P Francis Rokins,68,74,6.25,6,0,Finisher (6+)
2016,Pitchaiayan Sakthi,41,45,6.317073170731708,4,0,Finisher (6+)
2016,Poovathinga Shijit Chandran,182,207,3.1043956043956045,7,0,Middle Order (4-5)
2016,R Kavin,52,44,3.6346153846153846,6,0,Middle Order (4-5)
2016,R Nilesh Subramanian,174,185,2.0,7,0,Opener (1-2)
2016,R Rajkumar,54,101,5.925925925925926,7,0,Finisher (6+)
2016,Rahil S Shah,17,14,10.352941176470589,4,0,Finisher (6+)
2016,Rajagopal Sathish,81,139,4.839506172839506,9,1,Middle Order (4-5)
2016,Rajamani Jesuraj,10,10,10.0,4,0,Finisher (6+)
2016,Rajendran Vivek,25,42,5.88,5,0,Finisher (6+)
2016,Rajhamany Srinivasan,166,188,3.7590361445783134,7,0,Middle Order (4-5)
2016,Ramalingam Rohit,40,71,8.725,5,0,Finisher (6+)
2016,Ramsingh  Sanjay Yadav,97,136,4.824742268041237,6,0,Middle Order (4-5)
2016,Ravi Kumar Rohith,54,75,3.611111111111111,6,1,Middle Order (4-5)
2016,S Harish Kumar,88,116,4.261363636363637,7,1,Middle Order (4-5)
2016,S Tarun Srinivas,94,96,2.595744680851064,6,1,Top Order (3)
2016,SP Nathan,70,84,3.7857142857142856,6,1,Middle Order (4-5)
2016,Sathiamoorty Vasanth Saravanan,220,264,3.463636363636364,9,1,Middle Order (4-5)
2016,Selvam Suresh Kumar,109,113,4.385321100917431,7,0,Middle Order (4-5)
2016,Shoaib Md Khan,32,33,8.0,4,0,Finisher (6+)
2016,Singamuthu Thiyagarajan,57,91,3.4210526315789473,5,0,Middle Order (4-5)
2016,Srikkanth Anirudha,97,115,3.9896907216494846,7,0,Middle Order (4-5)
2016,Subramaniam Badrinath,171,168,3.087719298245614,7,0,Middle Order (4-5)
2016,Subramanian Anand,65,62,4.6461538461538465,7,1,Middle Order (4-5)
2016,Umashankar Sushil,99,85,4.202020202020202,7,0,Middle Order (4-5)
2016,Uthirasamy Sasidev,53,71,5.509433962264151,6,1,Finisher (6+)
2016,V Subramania Siva,51,69,3.6666666666666665,7,1,Middle Order (4-5)
2016,Vijaykumar Yo Mahesh,62,54,4.661290322580645,6,1,Middle Order (4-5)
2016,Washington Sundar,146,140,2.0273972602739727,7,1,Top Order (3)
2016,Wenseslaus Antony Dhas,70,77,7.485714285714286,7,1,Finisher (6+)
2016,Wilkins Joseph Victor,57,61,4.385964912280702,5,1,Middle Order (4-5)
2016,Xavier Thalaivan Sargunam,187,226,2.0267379679144386,9,1,Top Order (3)
2016,Yamuna Sunny Kumar Singh,37,53,5.918918918918919,5,1,Finisher (6+)
2017,Abhishek Baljeetsingh Tanwar,45,84,6.133333333333334,4,0,Finisher (6+)
2017,Adithya Ganesh,40,41,6.125,4,0,Finisher (6+)
2017,Akash Sumra,47,57,6.23404255319149,5,1,Finisher (6+)
2017,Akkil Srinaath,80,102,4.4125,7,0,Middle Order (4-5)
2017,Akshay V Srinivasan,91,125,4.131868131868132,5,1,Middle Order (4-5)
2017,Ashwin Venkataraman,92,96,4.521739130434782,5,0,Middle Order (4-5)
2017,Baba Aparajith,184,277,3.347826086956522,7,0,Middle Order (4-5)
2017,Baba Indrajith,144,193,2.1666666666666665,7,0,Top Order (3)
2017,Chandrasekar Ganapathy,65,98,5.769230769230769,6,0,Finisher (6+)
2017,Chezhian Nishaanth,48,65,3.8958333333333335,4,0,Middle Order (4-5)
2017,Ganga Sridhar Raju,150,158,1.9666666666666666,6,0,Opener (1-2)
2017,Hari Gopinath,205,251,1.0,9,1,Opener (1-2)
2017,Jagannathan Kaushik,20,19,8.9,4,0,Finisher (6+)
2017,Jagatheesan Kousik,95,104,4.28421052631579,6,0,Middle Order (4-5)
2017,K Vishal Vaidhya,141,184,1.3971631205673758,7,1,Opener (1-2)
2017,Kaushik Mohan Gandhi,237,297,2.0,9,1,Opener (1-2)
2017,Konda Bhaskir Arun Karthik,137,250,1.0,6,0,Opener (1-2)
