season,batter,team,avg_pos,matches,innings,runs,mean_rpi,median_rpi,sr,death_sr
2016,Abhishek Baljeetsingh Tanwar,Nellai Royal Kings,5.745,5,5,39,7.8,9.0,88.6364,103.7037
2016,Adithya Arun,Dindigul Dragons,7.0,1,1,4,4.0,4.0,80.0,80.0
2016,Adithya Ganesh,Trichy Grand Cholas,6.897,4,4,40,10.0,10.5,108.1081,122.2222
2016,Akash Sumra,SKM Salem Spartans,6.944,5,5,36,7.2,6.0,100.0,90.625
2016,Akkil Srinaath,Trichy Grand Cholas,6.216,4,4,72,18.0,16.5,150.0,174.1935
2016,Akshay V Srinivasan,Lyca Kovai Kings,4.333,5,5,38,7.6,1.0,102.7027,140.0
2016,Anton Andrew Subikshan,Siechem Madurai Panthers,5.556,2,2,5,2.5,2.5,62.5,
2016,Ashwin Venkataraman,Dindigul Dragons,4.467,4,4,52,13.0,5.5,115.5556,
2016,Baba Indrajith,Trichy Grand Cholas,3.975,7,7,113,16.1429,21.0,93.3884,139.2857
2016,Baskaran Rahul,Chepauk Super Gillies,6.0,1,1,0,0.0,0.0,0.0,
2016,Chandrasekar Ganapathy,IDream Tiruppur Tamizhans,6.444,5,5,46,9.2,8.0,135.2941,178.2609
2016,GV Vignesh,Nellai Royal Kings,4.154,3,3,21,7.0,3.0,91.3043,50.0
2016,Jagatheesan Kousik,Trichy Grand Cholas,6.113,6,6,124,20.6667,16.5,118.0952,186.2069
2016,Jamaluddin Syed Mohammad,Lyca Kovai Kings,3.824,7,7,90,12.8571,10.0,90.9091,87.5
2016,Jothimani Gowjith Subhash,Chepauk Super Gillies,4.871,7,7,61,8.7143,2.0,103.3898,176.9231
2016,K Vishal Vaidhya,IDream Tiruppur Tamizhans,4.0,4,4,34,8.5,8.5,64.1509,
2016,L Ganesh,Trichy Grand Cholas,5.083,4,4,21,5.25,5.5,91.3043,100.0
2016,M Lakshmi Narayanan,Nellai Royal Kings,5.953,5,5,43,8.6,9.0,102.381,66.6667
2016,M Mohammed,Lyca Kovai Kings,6.679,7,7,105,15.0,12.0,214.2857,214.2857
2016,M Shajahan,IDream Tiruppur Tamizhans,6.561,2,2,41,20.5,20.5,102.5,
2016,Maan K Bafna,Siechem Madurai Panthers,5.783,4,4,44,11.0,11.5,100.0,83.3333
2016,Malolan Rangarajan,Nellai Royal Kings,5.907,7,7,107,15.2857,17.0,127.381,148.4848
2016,Masood Shahrukh Khan,Trichy Grand Cholas,4.138,6,6,72,12.0,12.5,116.129,166.6667
2016,Murugan Ashwin,Dindigul Dragons,4.593,6,6,105,17.5,8.0,131.25,150.0
2016,Murugesan Kamlesh,Lyca Kovai Kings,6.0,1,1,9,9.0,9.0,69.2308,0.0
2016,P Francis Rokins,Siechem Madurai Panthers,6.257,6,6,74,12.3333,10.0,108.8235,129.1667
2016,Pitchaiayan Sakthi,Siechem Madurai Panthers,6.31,4,4,45,11.25,14.0,109.7561,96.4286
2016,R Rajkumar,IDream Tiruppur Tamizhans,5.909,7,7,101,14.4286,7.0,187.037,225.0
2016,Rajagopal Sathish,Chepauk Super Gillies,4.851,9,9,139,15.4444,1.0,171.6049,202.2727
2016,Rajendran Vivek,Dindigul Dragons,5.846,5,5,42,8.4,7.0,168.0,170.8333
2016,Rajhamany Srinivasan,IDream Tiruppur Tamizhans,3.753,7,7,188,26.8571,15.0,113.253,109.0909
2016,Ramsingh  Sanjay Yadav,Nellai Royal Kings,4.824,6,6,136,22.6667,20.0,140.2062,137.037
2016,Ravichandran Ashwin,Dindigul Dragons,5.59,2,2,64,32.0,32.0,168.4211,226.3158
2016,S Abishiek,Dindigul Dragons,4.286,2,2,19,9.5,9.5,67.8571,83.3333
2016,S Aswin Kumar,Siechem Madurai Panthers,5.0,2,2,9,4.5,4.5,64.2857,
2016,S Dinesh,Dindigul Dragons,4.0,1,1,8,8.0,8.0,44.4444,
2016,S Harish Kumar,Lyca Kovai Kings,4.315,7,7,116,16.5714,13.0,131.8182,122.8571
2016,S Sujay,IDream Tiruppur Tamizhans,7.0,1,1,2,2.0,2.0,66.6667,66.6667
2016,Selvam Suresh Kumar,Siechem Madurai Panthers,4.395,7,7,113,16.1429,19.0,103.6697,111.1111
2016,Srikkanth Anirudha,IDream Tiruppur Tamizhans,3.97,7,7,115,16.4286,7.0,118.5567,134.4828
2016,Subramanian Anand,SKM Salem Spartans,4.662,7,7,62,8.8571,7.0,95.3846,166.6667
2016,Umashankar Sushil,SKM Salem Spartans,4.202,7,7,85,12.1429,7.0,85.8586,117.6471
2016,Uthirasamy Sasidev,Chepauk Super Gillies,5.526,6,6,71,11.8333,15.0,133.9623,137.931
2016,Vijaykumar Yo Mahesh,Chepauk Super Gillies,4.672,6,6,54,9.0,10.5,87.0968,187.5
2016,Wilkins Joseph Victor,Dindigul Dragons,4.386,5,5,61,12.2,4.0,107.0175,66.6667
2016,Yamuna Sunny Kumar Singh,Dindigul Dragons,5.974,5,5,53,10.6,7.0,143.2432,141.6667
2017,Abhishek Baljeetsingh Tanwar,Nellai Royal Kings,6.174,4,4,84,21.0,13.5,186.6667,202.9412
2017,Adhithya Giridhar,Trichy Grand Cholas,3.857,3,3,19,6.3333,2.0,95.0,50.0
2017,Adithya Ganesh,Trichy Grand Cholas,6.125,4,4,41,10.25,7.5,102.5,93.75
2017,Akash Sumra,SKM Salem Spartans,6.234,5,5,57,11.4,15.0,121.2766,129.7297
2017,Akkil Srinaath,Trichy Grand Cholas,4.424,7,7,102,14.5714,11.0,127.5,133.3333
2017,Akshay V Srinivasan,Lyca Kovai Kings,4.158,5,5,125,25.0,34.0,137.3626,175.5556
2017,Alagh Chelliah Prathiban,Trichy Grand Cholas,7.0,1,1,1,1.0,1.0,33.3333,33.3333
2017,Ashwin Venkataraman,Dindigul Dragons,4.527,5,5,96,19.2,19.0,104.3478,83.3333
2017,Baskaran Rahul,Chepauk Super Gillies,6.0,1,1,11,11.0,11.0,110.0,110.0
2017,Chandrasekar Ganapathy,IDream Tiruppur Tamizhans,5.761,6,6,98,16.3333,19.0,150.7692,169.2308
2017,Chezhian Nishaanth,Nellai Royal Kings,3.902,4,4,65,16.25,14.0,135.4167,
2017,Jagatheesan Kousik,Trichy Grand Cholas,4.268,6,6,104,17.3333,13.0,109.4737,115.3846
2017,K Deeban Lingesh,Lyca Kovai Kings,4.818,2,2,13,6.5,6.5,130.0,133.3333
2017,M Mohammed,Lyca Kovai Kings,5.582,4,4,70,17.5,18.0,132.0755,196.1538
2017,M Shajahan,IDream Tiruppur Tamizhans,4.747,8,8,209,26.125,26.5,145.1389,146.6667
