season,batter,team,avg_pos,matches,innings,runs,mean_rpi,median_rpi,sr,death_sr,z_volume,z_efficiency,z_finishing,z_consistency,index,season_rank
2016,M Mohammed,Lyca Kovai Kings,6.68,7,7,105,15.0,12.0,214.3,214.3,0.68,2.9,1.76,0.46,1.45,1
2016,Ramsingh  Sanjay Yadav,Nellai Royal Kings,4.82,6,6,136,22.7,20.0,140.2,137.0,2.53,0.6,-0.12,2.06,1.27,2
2016,Akkil Srinaath,Trichy Grand Cholas,6.22,4,4,72,18.0,16.5,150.0,174.2,1.4,0.91,0.79,1.36,1.11,3
2016,Jagatheesan Kousik,Trichy Grand Cholas,6.11,6,6,124,20.7,16.5,118.1,186.2,2.04,-0.08,1.08,1.36,1.1,4
2016,R Rajkumar,IDream Tiruppur Tamizhans,5.91,7,7,101,14.4,7.0,187.0,225.0,0.54,2.06,2.02,-0.54,1.02,5
2016,Malolan Rangarajan,Nellai Royal Kings,5.91,7,7,107,15.3,17.0,127.4,148.5,0.75,0.21,0.16,1.46,0.64,6
2016,Rajagopal Sathish,Chepauk Super Gillies,4.85,9,9,139,15.4,1.0,171.6,202.3,0.79,1.58,1.47,-1.74,0.52,7
2016,S Harish Kumar,Lyca Kovai Kings,4.32,7,7,116,16.6,13.0,131.8,122.9,1.06,0.34,-0.46,0.66,0.4,8
2016,Selvam Suresh Kumar,Siechem Madurai Panthers,4.39,7,7,113,16.1,19.0,103.7,111.1,0.96,-0.53,-0.75,1.86,0.39,9
2016,Murugan Ashwin,Dindigul Dragons,4.59,6,6,105,17.5,8.0,131.2,150.0,1.28,0.33,0.2,-0.34,0.37,10
2016,Uthirasamy Sasidev,Chepauk Super Gillies,5.53,6,6,71,11.8,15.0,134.0,137.9,-0.08,0.41,-0.1,1.06,0.32,11
2016,Masood Shahrukh Khan,Trichy Grand Cholas,4.14,6,6,72,12.0,12.5,116.1,166.7,-0.04,-0.14,0.6,0.56,0.25,12
2016,Rajendran Vivek,Dindigul Dragons,5.85,5,5,42,8.4,7.0,168.0,170.8,-0.91,1.47,0.7,-0.54,0.18,13
2016,Chandrasekar Ganapathy,IDream Tiruppur Tamizhans,6.44,5,5,46,9.2,8.0,135.3,178.3,-0.71,0.45,0.88,-0.34,0.07,14
2016,Yamuna Sunny Kumar Singh,Dindigul Dragons,5.97,5,5,53,10.6,7.0,143.2,141.7,-0.38,0.7,-0.01,-0.54,-0.06,15
2016,Vijaykumar Yo Mahesh,Chepauk Super Gillies,4.67,6,6,54,9.0,10.5,87.1,187.5,-0.76,-1.04,1.11,0.16,-0.13,16
2016,P Francis Rokins,Siechem Madurai Panthers,6.26,6,6,74,12.3,10.0,108.8,129.2,0.04,-0.37,-0.31,0.06,-0.14,17
2016,Ashwin Venkataraman,Dindigul Dragons,4.47,4,4,52,13.0,5.5,115.6,,0.2,-0.16,0.0,-0.84,-0.2,18
2016,Pitchaiayan Sakthi,Siechem Madurai Panthers,6.31,4,4,45,11.2,14.0,109.8,96.4,-0.22,-0.34,-1.1,0.86,-0.2,19
