match_id,innings,over,ball,batter,non_striker,bowler,runs_total,runs_batter,runs_extras,play_type,is_wicket,wicket_kind,dismissed,team_score
1439761,1,1,1,S Sujay,Jayaraman Suresh Kumar,Abhishek Baljeetsingh Tanwar,0,0,0,no run,0,,,0/0
1439761,1,1,2,S Sujay,Jayaraman Suresh Kumar,Abhishek Baljeetsingh Tanwar,2,2,0,run,0,,,2/0
1439761,1,1,3,S Sujay,Jayaraman Suresh Kumar,Abhishek Baljeetsingh Tanwar,1,0,1,leg bye,0,,,3/0
1439761,1,1,4,Jayaraman Suresh Kumar,S Sujay,Abhishek Baljeetsingh Tanwar,1,0,1,wide,0,,,4/0
1439761,1,1,5,Jayaraman Suresh Kumar,S Sujay,Abhishek Baljeetsingh Tanwar,4,4,0,four,0,,,8/0
1439761,1,1,6,Jayaraman Suresh Kumar,S Sujay,Abhishek Baljeetsingh Tanwar,0,0,0,no run,0,,,8/0
1439761,1,1,7,Jayaraman Suresh Kumar,S Sujay,Abhishek Baljeetsingh Tanwar,0,0,0,out,1,caught,Jayaraman Suresh Kumar,8/1
1439761,1,2,1,S Sujay,Balasubramaniam Sachin,Baba Aparajith,2,2,0,run,0,,,10/1
1439761,1,2,2,S Sujay,Balasubramaniam Sachin,Baba Aparajith,1,1,0,run,0,,,11/1
1439761,1,2,3,Balasubramaniam Sachin,S Sujay,Baba Aparajith,0,0,0,no run,0,,,11/1
1439761,1,2,4,Balasubramaniam Sachin,S Sujay,Baba Aparajith,1,1,0,run,0,,,12/1
1439761,1,2,5,S Sujay,Balasubramaniam Sachin,Baba Aparajith,1,1,0,run,0,,,13/1
1439761,1,2,6,Balasubramaniam Sachin,S Sujay,Baba Aparajith,0,0,0,no run,0,,,13/1
1439761,1,3,1,S Sujay,Balasubramaniam Sachin,Abhishek Baljeetsingh Tanwar,0,0,0,no run,0,,,13/1
1439761,1,3,2,S Sujay,Balasubramaniam Sachin,Abhishek Baljeetsingh Tanwar,0,0,0,out,1,caught,S Sujay,13/2
1439761,1,3,3,Masood Shahrukh Khan,Balasubramaniam Sachin,Abhishek Baljeetsingh Tanwar,4,4,0,four,0,,,17/2
1439761,1,3,4,Masood Shahrukh Khan,Balasubramaniam Sachin,Abhishek Baljeetsingh Tanwar,0,0,0,no run,0,,,17/2
1439761,1,3,5,Masood Shahrukh Khan,Balasubramaniam Sachin,Abhishek Baljeetsingh Tanwar,1,1,0,run,0,,,18/2
1439761,1,3,6,Balasubramaniam Sachin,Masood Shahrukh Khan,Abhishek Baljeetsingh Tanwar,1,1,0,run,0,,,19/2
1439761,1,4,1,Balasubramaniam Sachin,Masood Shahrukh Khan,Rahil S Shah,0,0,0,no run,0,,,19/2
1439761,1,4,2,Balasubramaniam Sachin,Masood Shahrukh Khan,Rahil S Shah,1,1,0,run,0,,,20/2
1439761,1,4,3,Masood Shahrukh Khan,Balasubramaniam Sachin,Rahil S Shah,0,0,0,no run,0,,,20/2
1439761,1,4,4,Masood Shahrukh Khan,Balasubramaniam Sachin,Rahil S Shah,0,0,0,no run,0,,,20/2
1439761,1,4,5,Masood Shahrukh Khan,Balasubramaniam Sachin,Rahil S Shah,1,1,0,run,0,,,21/2
1439761,1,4,6,Balasubramaniam Sachin,Masood Shahrukh Khan,Rahil S Shah,0,0,0,no run,0,,,21/2
1439761,1,5,1,Masood Shahrukh Khan,Balasubramaniam Sachin,Ganeshan Periyaswamy,0,0,0,no run,0,,,21/2
1439761,1,5,2,Masood Shahrukh Khan,Balasubramaniam Sachin,Ganeshan Periyaswamy,0,0,0,no run,0,,,21/2
1439761,1,5,3,Masood Shahrukh Khan,Balasubramaniam Sachin,Ganeshan Periyaswamy,1,1,0,run,0,,,22/2
1439761,1,5,4,Balasubramaniam Sachin,Masood Shahrukh Khan,Ganeshan Periyaswamy,1,1,0,run,0,,,23/2
1439761,1,5,5,Masood Shahrukh Khan,Balasubramaniam Sachin,Ganeshan Periyaswamy,0,0,0,no run,0,,,23/2
1439761,1,5,6,Masood Shahrukh Khan,Balasubramaniam Sachin,Ganeshan Periyaswamy,1,1,0,run,0,,,24/2
1439761,1,6,1,Masood Shahrukh Khan,Balasubramaniam Sachin,Rahil S Shah,0,0,0,out,1,run out,Masood Shahrukh Khan,24/3
1439761,1,6,2,Balasubramaniam Sachin,U Mukilesh,Rahil S Shah,4,4,0,four,0,,,28/3
1439761,1,6,3,Balasubramaniam Sachin,U Mukilesh,Rahil S Shah,4,4,0,four,0,,,32/3
1439761,1,6,4,Balasubramaniam Sachin,U Mukilesh,Rahil S Shah,0,0,0,no run,0,,,32/3
1439761,1,6,5,Balasubramaniam Sachin,U Mukilesh,Rahil S Shah,1,1,0,run,0,,,33/3
1439761,1,6,6,U Mukilesh,Balasubramaniam Sachin,Rahil S Shah,1,1,0,run,0,,,34/3
1439761,1,7,1,U Mukilesh,Balasubramaniam Sachin,M Silambarasan,0,0,0,no run,0,,,34/3
1439761,1,7,2,U Mukilesh,Balasubramaniam Sachin,M Silambarasan,1,1,0,run,0,,,35/3
1439761,1,7,3,Balasubramaniam Sachin,U Mukilesh,M Silambarasan,1,1,0,run,0,,,36/3
1439761,1,7,4,U Mukilesh,Balasubramaniam Sachin,M Silambarasan,1,1,0,run,0,,,37/3
1439761,1,7,5,Balasubramaniam Sachin,U Mukilesh,M Silambarasan,0,0,0,no run,0,,,37/3
1439761,1,7,6,Balasubramaniam Sachin,U Mukilesh,M Silambarasan,1,1,0,run,0,,,38/3
1439761,1,8,1,Balasubramaniam Sachin,U Mukilesh,Baba Aparajith,0,0,0,no run,0,,,38/3
1439761,1,8,2,Balasubramaniam Sachin,U Mukilesh,Baba Aparajith,1,1,0,run,0,,,39/3
1439761,1,8,3,U Mukilesh,Balasubramaniam Sachin,Baba Aparajith,1,1,0,run,0,,,40/3
1439761,1,8,4,Balasubramaniam Sachin,U Mukilesh,Baba Aparajith,1,1,0,run,0,,,41/3
1439761,1,8,5,U Mukilesh,Balasubramaniam Sachin,Baba Aparajith,1,1,0,run,0,,,42/3
1439761,1,8,6,Balasubramaniam Sachin,U Mukilesh,Baba Aparajith,1,1,0,run,0,,,43/3
1439761,1,9,1,Balasubramaniam Sachin,U Mukilesh,M Silambarasan,1,1,0,run,0,,,44/3
1439761,1,9,2,U Mukilesh,Balasubramaniam Sachin,M Silambarasan,1,1,0,run,0,,,45/3
1439761,1,9,3,Balasubramaniam Sachin,U Mukilesh,M Silambarasan,4,4,0,four,0,,,49/3
1439761,1,9,4,Balasubramaniam Sachin,U Mukilesh,M Silambarasan,2,0,2,wide,0,,,51/3
1439761,1,9,5,U Mukilesh,Balasubramaniam Sachin,M Silambarasan,2,2,0,run,0,,,53/3
1439761,1,9,6,U Mukilesh,Balasubramaniam Sachin,M Silambarasan,1,1,0,run,0,,,54/3
1439761,1,9,7,Balasubramaniam Sachin,U Mukilesh,M Silambarasan,1,1,0,run,0,,,55/3
1439761,1,10,1,Balasubramaniam Sachin,U Mukilesh,Baba Aparajith,0,0,0,no run,0,,,55/3
1439761,1,10,2,Balasubramaniam Sachin,U Mukilesh,Baba Aparajith,1,1,0,run,0,,,56/3
1439761,1,10,3,U Mukilesh,Balasubramaniam Sachin,Baba Aparajith,4,4,0,four,0,,,60/3
1439761,1,10,4,U Mukilesh,Balasubramaniam Sachin,Baba Aparajith,1,1,0,run,0,,,61/3
1439761,1,10,5,Balasubramaniam Sachin,U Mukilesh,Baba Aparajith,1,1,0,run,0,,,62/3
1439761,1,10,6,U Mukilesh,Balasubramaniam Sachin,Baba Aparajith,1,1,0,run,0,,,63/3
1439761,1,11,1,U Mukilesh,Balasubramaniam Sachin,Rahil S Shah,2,2,0,run,0,,,65/3
1439761,1,11,2,U Mukilesh,Balasubramaniam Sachin,Rahil S Shah,1,1,0,run,0,,,66/3
1439761,1,11,3,Balasubramaniam Sachin,U Mukilesh,Rahil S Shah,4,4,0,four,0,,,70/3
1439761,1,11,4,Balasubramaniam Sachin,U Mukilesh,Rahil S Shah,0,0,0,no run,0,,,70/3
1439761,1,11,5,Balasubramaniam Sachin,U Mukilesh,Rahil S Shah,1,1,0,run,0,,,71/3
1439761,1,11,6,U Mukilesh,Balasubramaniam Sachin,Rahil S Shah,1,1,0,run,0,,,72/3
1439761,1,12,1,U Mukilesh,Balasubramaniam Sachin,Antony Chandrasekaran Aswin Crist,0,0,0,no run,0,,,72/3
1439761,1,12,2,U Mukilesh,Balasubramaniam Sachin,Antony Chandrasekaran Aswin Crist,1,1,0,run,0,,,73/3
1439761,1,12,3,Balasubramaniam Sachin,U Mukilesh,Antony Chandrasekaran Aswin Crist,1,1,0,run,0,,,74/3
1439761,1,12,4,U Mukilesh,Balasubramaniam Sachin,Antony Chandrasekaran Aswin Crist,4,4,0,four,0,,,78/3
1439761,1,12,5,U Mukilesh,Balasubramaniam Sachin,Antony Chandrasekaran Aswin Crist,4,4,0,four,0,,,82/3
1439761,1,12,6,U Mukilesh,Balasubramaniam Sachin,Antony Chandrasekaran Aswin Crist,1,1,0,run,0,,,83/3
1439761,1,13,1,U Mukilesh,Balasubramaniam Sachin,Ganeshan Periyaswamy,0,0,0,no run,0,,,83/3
1439761,1,13,2,U Mukilesh,Balasubramaniam Sachin,Ganeshan Periyaswamy,1,1,0,run,0,,,84/3
1439761,1,13,3,Balasubramaniam Sachin,U Mukilesh,Ganeshan Periyaswamy,1,1,0,run,0,,,85/3
1439761,1,13,4,U Mukilesh,Balasubramaniam Sachin,Ganeshan Periyaswamy,0,0,0,no run,0,,,85/3
1439761,1,13,5,U Mukilesh,Balasubramaniam Sachin,Ganeshan Periyaswamy,1,1,0,run,0,,,86/3
1439761,1,13,6,Balasubramaniam Sachin,U Mukilesh,Ganeshan Periyaswamy,2,2,0,run,0,,,88/3
1439761,1,14,1,U Mukilesh,Balasubramaniam Sachin,Daryl Sunder Ferrario,0,0,0,out,1,caught,U Mukilesh,88/4
1439761,1,14,2,R Ram Arvindh,Balasubramaniam Sachin,Daryl Sunder Ferrario,1,1,0,run,0,,,89/4
1439761,1,14,3,Balasubramaniam Sachin,R Ram Arvindh,Daryl Sunder Ferrario,1,1,0,run,0,,,90/4
1439761,1,14,4,R Ram Arvindh,Balasubramaniam Sachin,Daryl Sunder Ferrario,0,0,0,no run,0,,,90/4
1439761,1,14,5,R Ram Arvindh,Balasubramaniam Sachin,Daryl Sunder Ferrario,1,1,0,run,0,,,91/4
1439761,1,14,6,Balasubramaniam Sachin,R Ram Arvindh,Daryl Sunder Ferrario,1,1,0,run,0,,,92/4
1439761,1,15,1,Balasubramaniam Sachin,R Ram Arvindh,Rahil S Shah,1,1,0,run,0,,,93/4
1439761,1,15,2,R Ram Arvindh,Balasubramaniam Sachin,Rahil S Shah,1,1,0,run,0,,,94/4
1439761,1,15,3,Balasubramaniam Sachin,R Ram Arvindh,Rahil S Shah,0,0,0,no run,0,,,94/4
1439761,1,15,4,Balasubramaniam Sachin,R Ram Arvindh,Rahil S Shah,2,2,0,run,0,,,96/4
1439761,1,15,5,Balasubramaniam Sachin,R Ram Arvindh,Rahil S Shah,1,1,0,run,0,,,97/4
1439761,1,15,6,R Ram Arvindh,Balasubramaniam Sachin,Rahil S Shah,1,0,1,leg bye,0,,,98/4
1439761,1,16,1,R Ram Arvindh,Balasubramaniam Sachin,Daryl Sunder Ferrario,6,6,0,six,0,,,104/4
1439761,1,16,2,R Ram Arvindh,Balasubramaniam Sachin,Daryl Sunder Ferrario,0,0,0,no run,0,,,104/4
1439761,1,16,3,R Ram Arvindh,Balasubramaniam Sachin,Daryl Sunder Ferrario,1,1,0,run,0,,,105/4
1439761,1,16,4,Balasubramaniam Sachin,R Ram Arvindh,Daryl Sunder Ferrario,1,1,0,run,0,,,106/4
1439761,1,16,5,R Ram Arvindh,Balasubramaniam Sachin,Daryl Sunder Ferrario,1,1,0,run,0,,,107/4
1439761,1,16,6,Balasubramaniam Sachin,R Ram Arvindh,Daryl Sunder Ferrario,4,4,0,four,0,,,111/4
1439761,1,17,1,R Ram Arvindh,Balasubramaniam Sachin,Ganeshan Periyaswamy,1,1,0,run,0,,,112/4
1439761,1,17,2,Balasubramaniam Sachin,R Ram Arvindh,Ganeshan Periyaswamy,0,0,0,no run,0,,,112/4
1439761,1,17,3,Balasubramaniam Sachin,R Ram Arvindh,Ganeshan Periyaswamy,1,1,0,run,0,,,113/4
1439761,1,17,4,R Ram Arvindh,Balasubramaniam Sachin,Ganeshan Periyaswamy,0,0,0,out,1,caught,R Ram Arvindh,113/5
1439761,1,17,5,Atheeq Ur Rahman,Balasubramaniam Sachin,Ganeshan Periyaswamy,1,0,1,wide,0,,,114/5
1439761,1,17,6,Atheeq Ur Rahman,Balasubramaniam Sachin,Ganeshan Periyaswamy,1,1,0,run,0,,,115/5
