season,match_id,date,match_stage,batting_team,innings,over,ball,batter,non_striker,bowler,runs_batter,runs_extras,runs_total,is_wicket,wicket_kind,batting_position,phase,extras_type
2016,1047343,2016-08-24,league,SKM Salem Spartans,1,1,1,Washington Sundar,UNKNOWN,Rajagopal Sathish,1,0,1,0,,1,powerplay,
2016,1047343,2016-08-24,league,SKM Salem Spartans,1,1,2,Kaushik Mohan Gandhi,Washington Sundar,Rajagopal Sathish,0,0,0,0,,2,powerplay,
2016,1047343,2016-08-24,league,SKM Salem Spartans,1,1,3,Kaushik Mohan Gandhi,Washington Sundar,Rajagopal Sathish,1,0,1,0,,2,powerplay,
2016,1047343,2016-08-24,league,SKM Salem Spartans,1,1,4,Washington Sundar,Kaushik Mohan Gandhi,Rajagopal Sathish,0,1,1,0,,1,powerplay,wide
2016,1047343,2016-08-24,league,SKM Salem Spartans,1,1,5,Washington Sundar,Kaushik Mohan Gandhi,Rajagopal Sathish,4,0,4,0,,1,powerplay,
2016,1047343,2016-08-24,league,SKM Salem Spartans,1,1,6,Washington Sundar,Kaushik Mohan Gandhi,Rajagopal Sathish,0,0,0,0,,1,powerplay,
2016,1047343,2016-08-24,league,SKM Salem Spartans,1,1,7,Washington Sundar,Kaushik Mohan Gandhi,Rajagopal Sathish,0,0,0,0,,1,powerplay,
2016,1047343,2016-08-24,league,SKM Salem Spartans,1,2,1,Kaushik Mohan Gandhi,Washington Sundar,Dakshinamoorthy Tamil Kumaran,4,0,4,0,,2,powerplay,
2016,1047343,2016-08-24,league,SKM Salem Spartans,1,2,2,Kaushik Mohan Gandhi,Washington Sundar,Dakshinamoorthy Tamil Kumaran,1,0,1,0,,2,powerplay,
2016,1047343,2016-08-24,league,SKM Salem Spartans,1,2,3,Washington Sundar,Kaushik Mohan Gandhi,Dakshinamoorthy Tamil Kumaran,0,0,0,0,,1,powerplay,
2016,1047343,2016-08-24,league,SKM Salem Spartans,1,2,4,Washington Sundar,Kaushik Mohan Gandhi,Dakshinamoorthy Tamil Kumaran,4,0,4,0,,1,powerplay,
2016,1047343,2016-08-24,league,SKM Salem Spartans,1,2,5,Washington Sundar,Kaushik Mohan Gandhi,Dakshinamoorthy Tamil Kumaran,1,0,1,0,,1,powerplay,
2016,1047343,2016-08-24,league,SKM Salem Spartans,1,2,6,Kaushik Mohan Gandhi,Washington Sundar,Dakshinamoorthy Tamil Kumaran,6,0,6,0,,2,powerplay,
2016,1047343,2016-08-24,league,SKM Salem Spartans,1,3,1,Washington Sundar,Kaushik Mohan Gandhi,Rajagopal Sathish,0,0,0,0,,1,powerplay,
2016,1047343,2016-08-24,league,SKM Salem Spartans,1,3,2,Washington Sundar,Kaushik Mohan Gandhi,Rajagopal Sathish,0,0,0,0,,1,powerplay,
2016,1047343,2016-08-24,league,SKM Salem Spartans,1,3,3,Washington Sundar,Kaushik Mohan Gandhi,Rajagopal Sathish,0,0,0,0,,1,powerplay,
2016,1047343,2016-08-24,league,SKM Salem Spartans,1,3,4,Washington Sundar,Kaushik Mohan Gandhi,Rajagopal Sathish,0,0,0,0,,1,powerplay,
2016,1047343,2016-08-24,league,SKM Salem Spartans,1,3,5,Washington Sundar,Kaushik Mohan Gandhi,Rajagopal Sathish,4,0,4,0,,1,powerplay,
2016,1047343,2016-08-24,league,SKM Salem Spartans,1,3,6,Washington Sundar,Kaushik Mohan Gandhi,Rajagopal Sathish,0,0,0,0,,1,powerplay,
2016,1047343,2016-08-24,league,SKM Salem Spartans,1,4,1,Kaushik Mohan Gandhi,Washington Sundar,Vijaykumar Yo Mahesh,6,0,6,0,,2,powerplay,
2016,1047343,2016-08-24,league,SKM Salem Spartans,1,4,2,Kaushik Mohan Gandhi,Washington Sundar,Vijaykumar Yo Mahesh,0,1,1,0,,2,powerplay,wide
2016,1047343,2016-08-24,league,SKM Salem Spartans,1,4,3,Kaushik Mohan Gandhi,Washington Sundar,Vijaykumar Yo Mahesh,0,0,0,0,,2,powerplay,
2016,1047343,2016-08-24,league,SKM Salem Spartans,1,4,4,Kaushik Mohan Gandhi,Washington Sundar,Vijaykumar Yo Mahesh,1,0,1,0,,2,powerplay,
2016,1047343,2016-08-24,league,SKM Salem Spartans,1,4,5,Washington Sundar,Kaushik Mohan Gandhi,Vijaykumar Yo Mahesh,0,0,0,0,,1,powerplay,
2016,1047343,2016-08-24,league,SKM Salem Spartans,1,4,6,Washington Sundar,Kaushik Mohan Gandhi,Vijaykumar Yo Mahesh,0,0,0,0,,1,powerplay,
2016,1047343,2016-08-24,league,SKM Salem Spartans,1,4,7,Washington Sundar,Kaushik Mohan Gandhi,Vijaykumar Yo Mahesh,0,0,0,0,,1,powerplay,
2016,1047343,2016-08-24,league,SKM Salem Spartans,1,5,1,Kaushik Mohan Gandhi,Washington Sundar,Rajagopal Sathish,1,0,1,0,,2,powerplay,
2016,1047343,2016-08-24,league,SKM Salem Spartans,1,5,2,Washington Sundar,Kaushik Mohan Gandhi,Rajagopal Sathish,1,0,1,0,,1,powerplay,
2016,1047343,2016-08-24,league,SKM Salem Spartans,1,5,3,Kaushik Mohan Gandhi,Washington Sundar,Rajagopal Sathish,0,0,0,0,,2,powerplay,
2016,1047343,2016-08-24,league,SKM Salem Spartans,1,5,4,Kaushik Mohan Gandhi,Washington Sundar,Rajagopal Sathish,0,0,0,1,leg before wicket,2,powerplay,
2016,1047343,2016-08-24,league,SKM Salem Spartans,1,5,5,Krishnakumar Dinesh Karthik,Washington Sundar,Rajagopal Sathish,0,0,0,0,,3,powerplay,
2016,1047343,2016-08-24,league,SKM Salem Spartans,1,5,6,Krishnakumar Dinesh Karthik,Washington Sundar,Rajagopal Sathish,0,0,0,0,,3,powerplay,
2016,1047343,2016-08-24,league,SKM Salem Spartans,1,6,1,Washington Sundar,Krishnakumar Dinesh Karthik,Vijaykumar Yo Mahesh,0,0,0,0,,1,powerplay,
2016,1047343,2016-08-24,league,SKM Salem Spartans,1,6,2,Washington Sundar,Krishnakumar Dinesh Karthik,Vijaykumar Yo Mahesh,4,0,4,0,,1,powerplay,
2016,1047343,2016-08-24,league,SKM Salem Spartans,1,6,3,Washington Sundar,Krishnakumar Dinesh Karthik,Vijaykumar Yo Mahesh,1,0,1,0,,1,powerplay,
2016,1047343,2016-08-24,league,SKM Salem Spartans,1,6,4,Krishnakumar Dinesh Karthik,Washington Sundar,Vijaykumar Yo Mahesh,1,0,1,0,,3,powerplay,
2016,1047343,2016-08-24,league,SKM Salem Spartans,1,6,5,Washington Sundar,Krishnakumar Dinesh Karthik,Vijaykumar Yo Mahesh,4,0,4,0,,1,powerplay,
2016,1047343,2016-08-24,league,SKM Salem Spartans,1,6,6,Washington Sundar,Krishnakumar Dinesh Karthik,Vijaykumar Yo Mahesh,0,0,0,0,,1,powerplay,
2016,1047343,2016-08-24,league,SKM Salem Spartans,1,7,1,Krishnakumar Dinesh Karthik,Washington Sundar,Rajagopal Sathish,1,0,1,0,,3,middle,
2016,1047343,2016-08-24,league,SKM Salem Spartans,1,7,2,Washington Sundar,Krishnakumar Dinesh Karthik,Rajagopal Sathish,0,0,0,1,caught,1,middle,
2016,1047343,2016-08-24,league,SKM Salem Spartans,1,7,3,Krishnakumar Dinesh Karthik,UNKNOWN,Rajagopal Sathish,1,0,1,0,,3,middle,
2016,1047343,2016-08-24,league,SKM Salem Spartans,1,7,4,V Maaruthi Raghav,Krishnakumar Dinesh Karthik,Rajagopal Sathish,0,0,0,0,,4,middle,
2016,1047343,2016-08-24,league,SKM Salem Spartans,1,7,5,V Maaruthi Raghav,Krishnakumar Dinesh Karthik,Rajagopal Sathish,0,0,0,0,,4,middle,
2016,1047343,2016-08-24,league,SKM Salem Spartans,1,7,6,V Maaruthi Raghav,Krishnakumar Dinesh Karthik,Rajagopal Sathish,1,0,1,0,,4,middle,
2016,1047343,2016-08-24,league,SKM Salem Spartans,1,8,1,V Maaruthi Raghav,Krishnakumar Dinesh Karthik,SI Vasudevan,4,0,4,0,,4,middle,
2016,1047343,2016-08-24,league,SKM Salem Spartans,1,8,2,V Maaruthi Raghav,Krishnakumar Dinesh Karthik,SI Vasudevan,0,0,0,0,,4,middle,
2016,1047343,2016-08-24,league,SKM Salem Spartans,1,8,3,V Maaruthi Raghav,Krishnakumar Dinesh Karthik,SI Vasudevan,1,0,1,0,,4,middle,
2016,1047343,2016-08-24,league,SKM Salem Spartans,1,8,4,Krishnakumar Dinesh Karthik,V Maaruthi Raghav,SI Vasudevan,0,0,0,0,,3,middle,
2016,1047343,2016-08-24,league,SKM Salem Spartans,1,8,5,Krishnakumar Dinesh Karthik,V Maaruthi Raghav,SI Vasudevan,2,0,2,0,,3,middle,
2016,1047343,2016-08-24,league,SKM Salem Spartans,1,8,6,Krishnakumar Dinesh Karthik,V Maaruthi Raghav,SI Vasudevan,1,0,1,0,,3,middle,
2016,1047343,2016-08-24,league,SKM Salem Spartans,1,9,1,Krishnakumar Dinesh Karthik,V Maaruthi Raghav,Wenseslaus Antony Dhas,4,0,4,0,,3,middle,
2016,1047343,2016-08-24,league,SKM Salem Spartans,1,9,2,Krishnakumar Dinesh Karthik,V Maaruthi Raghav,Wenseslaus Antony Dhas,1,0,1,0,,3,middle,
2016,1047343,2016-08-24,league,SKM Salem Spartans,1,9,3,V Maaruthi Raghav,Krishnakumar Dinesh Karthik,Wenseslaus Antony Dhas,1,0,1,0,,4,middle,
2016,1047343,2016-08-24,league,SKM Salem Spartans,1,9,4,Krishnakumar Dinesh Karthik,V Maaruthi Raghav,Wenseslaus Antony Dhas,0,0,0,0,,3,middle,
2016,1047343,2016-08-24,league,SKM Salem Spartans,1,9,5,Krishnakumar Dinesh Karthik,V Maaruthi Raghav,Wenseslaus Antony Dhas,1,0,1,0,,3,middle,
2016,1047343,2016-08-24,league,SKM Salem Spartans,1,9,6,V Maaruthi Raghav,Krishnakumar Dinesh Karthik,Wenseslaus Antony Dhas,1,0,1,0,,4,middle,
2016,1047343,2016-08-24,league,SKM Salem Spartans,1,10,1,V Maaruthi Raghav,Krishnakumar Dinesh Karthik,SI Vasudevan,0,0,0,0,,4,middle,
2016,1047343,2016-08-24,league,SKM Salem Spartans,1,10,2,V Maaruthi Raghav,Krishnakumar Dinesh Karthik,SI Vasudevan,0,0,0,0,,4,middle,
2016,1047343,2016-08-24,league,SKM Salem Spartans,1,10,3,V Maaruthi Raghav,Krishnakumar Dinesh Karthik,SI Vasudevan,2,0,2,0,,4,middle,
2016,1047343,2016-08-24,league,SKM Salem Spartans,1,10,4,V Maaruthi Raghav,Krishnakumar Dinesh Karthik,SI Vasudevan,0,1,1,0,,4,middle,wide
