season,batter,league_matches,league_runs,normalised_runs,actual_rank,norm_rank,avg_pos,made_playoffs,missing_matches,ci_lower,ci_upper
2008,SE Marsh,10,593,593.0,1.0,1.0,1.0,1,0,593.0,593.0
2008,G Gambhir,13,523,523.0,2.0,2.0,1.0,1,0,523.0,523.0
2008,ST Jayasuriya,14,514,514.0,3.0,3.0,1.3,0,0,514.0,514.0
2008,AC Gilchrist,14,436,436.0,4.0,5.0,1.0,0,0,436.0,436.0
2008,GC Smith,10,416,416.0,5.0,6.0,1.2,1,0,416.0,416.0
2008,RG Sharma,12,404,471.3,6.0,4.0,4.1,0,2,402.6,540.1
2008,V Sehwag,13,403,403.0,7.0,8.0,2.0,1,0,403.0,403.0
2008,SR Watson,13,392,392.0,8.0,9.0,3.9,1,0,392.0,392.0
2008,MS Dhoni,13,385,385.0,9.0,11.0,4.6,1,0,385.0,385.0
2008,R Dravid,14,371,371.0,10.0,14.0,4.5,0,0,371.0,371.0
2009,ML Hayden,11,546,546.0,1.0,1.0,2.0,1,0,546.0,546.0
2009,AB de Villiers,12,439,439.0,2.0,2.0,3.5,1,0,439.0,439.0
2009,SK Raina,13,414,414.0,3.0,5.0,3.1,1,0,414.0,414.0
2009,AC Gilchrist,14,410,410.0,4.0,6.0,1.3,1,0,410.0,410.0
2009,JP Duminy,12,372,434.0,5.0,3.0,3.8,0,2,362.1,505.9
2009,BJ Hodge,12,365,425.8,6.0,4.0,3.1,0,2,348.5,503.2
2009,SR Tendulkar,13,364,392.0,7.0,7.0,2.7,0,1,347.3,436.7
2009,TM Dilshan,12,353,353.0,8.0,10.0,3.5,1,0,353.0,353.0
2009,Yuvraj Singh,14,340,340.0,9.0,12.0,4.1,0,0,340.0,340.0
2009,JH Kallis,13,337,337.0,10.0,13.0,2.0,1,0,337.0,337.0
2010,SR Tendulkar,13,561,561.0,1.0,1.0,2.0,1,0,561.0,561.0
2010,JH Kallis,14,542,542.0,2.0,2.0,1.8,1,0,542.0,542.0
2010,SC Ganguly,14,493,493.0,3.0,3.0,1.6,0,0,493.0,493.0
2010,SK Raina,14,461,461.0,4.0,5.0,3.2,1,0,461.0,461.0
2010,DPMD Jayawardene,13,439,472.8,5.0,4.0,2.4,0,1,408.8,536.7
2010,M Vijay,13,417,417.0,6.0,7.0,1.3,1,0,417.0,417.0
2010,A Symonds,14,404,404.0,7.0,10.0,4.4,1,0,404.0,404.0
2010,RG Sharma,14,402,402.0,8.0,11.0,4.3,1,0,402.0,402.0
2010,NV Ojha,14,377,377.0,9.0,14.0,2.0,0,0,377.0,377.0
2010,SS Tiwary,13,367,367.0,10.0,15.0,3.5,1,0,367.0,367.0
2011,CH Gayle,9,511,511.0,1.0,3.0,1.4,1,0,511.0,511.0
2011,SE Marsh,13,504,542.8,2.0,1.0,3.0,0,1,481.8,603.7
2011,SR Tendulkar,14,477,477.0,3.0,4.0,1.9,1,0,477.0,477.0
2011,PC Valthaty,14,463,463.0,4.0,5.0,1.5,0,0,463.0,463.0
2011,V Kohli,13,444,444.0,5.0,6.0,3.2,1,0,444.0,444.0
