season,batting_team,matches_played,made_playoffs
2008,Chennai Super Kings,16,1
2008,Rajasthan Royals,16,1
2008,Kings XI Punjab,15,1
2008,Delhi Daredevils,14,1
2008,Royal Challengers Bangalore,14,0
2008,Mumbai Indians,14,0
2008,Deccan Chargers,14,0
2008,Kolkata Knight Riders,13,0
2009,Royal Challengers Bangalore,16,1
2009,Deccan Chargers,16,1
2009,Delhi Daredevils,15,1
2009,Chennai Super Kings,14,1
2009,Kings XI Punjab,14,0
2009,Mumbai Indians,13,0
2009,Rajasthan Royals,13,0
2009,Kolkata Knight Riders,13,0
2010,Deccan Chargers,16,1
2010,Mumbai Indians,16,1
2010,Royal Challengers Bangalore,16,1
2010,Chennai Super Kings,16,1
2010,Kolkata Knight Riders,14,0
2010,Rajasthan Royals,14,0
2010,Kings XI Punjab,14,0
2010,Delhi Daredevils,14,0
2011,Chennai Super Kings,16,1
2011,Royal Challengers Bangalore,16,1
2011,Mumbai Indians,16,1
2011,Kolkata Knight Riders,15,1
2011,Deccan Chargers,14,0
2011,Kochi Tuskers Kerala,14,0
2011,Delhi Daredevils,14,0
2011,Kings XI Punjab,14,0
2011,Rajasthan Royals,13,0
2011,Pune Warriors,13,0
2012,Chennai Super Kings,18,1
2012,Delhi Daredevils,18,1
2012,Mumbai Indians,17,1
2012,Kolkata Knight Riders,17,1
2012,Pune Warriors,16,0
2012,Rajasthan Royals,16,0
2012,Kings XI Punjab,16,0
2012,Royal Challengers Bangalore,15,0
2012,Deccan Chargers,15,0
2013,Mumbai Indians,19,1
2013,Rajasthan Royals,18,1
2013,Chennai Super Kings,18,1
2013,Sunrisers Hyderabad,17,1
2013,Delhi Daredevils,16,0
2013,Kolkata Knight Riders,16,0
2013,Royal Challengers Bangalore,16,0
2013,Pune Warriors,16,0
2013,Kings XI Punjab,16,0
2014,Kings XI Punjab,17,1
2014,Kolkata Knight Riders,16,1
2014,Chennai Super Kings,16,1
2014,Mumbai Indians,15,1
2014,Delhi Daredevils,14,0
2014,Royal Challengers Bangalore,14,0
2014,Sunrisers Hyderabad,14,0
2014,Rajasthan Royals,14,0
2015,Chennai Super Kings,17,1
2015,Mumbai Indians,16,1
2015,Royal Challengers Bangalore,16,1
2015,Rajasthan Royals,13,1
2015,Delhi Daredevils,14,0
2015,Kings XI Punjab,14,0
2015,Sunrisers Hyderabad,14,0
2015,Kolkata Knight Riders,13,0
2016,Sunrisers Hyderabad,17,1
2016,Gujarat Lions,16,1
2016,Royal Challengers Bangalore,16,1
2016,Kolkata Knight Riders,15,1
2016,Mumbai Indians,14,0
2016,Rising Pune Supergiants,14,0
2016,Delhi Daredevils,14,0
2016,Kings XI Punjab,14,0
2017,Mumbai Indians,17,1
2017,Rising Pune Supergiant,16,1
2017,Kolkata Knight Riders,16,1
2017,Sunrisers Hyderabad,14,1
2017,Gujarat Lions,14,0
2017,Kings XI Punjab,14,0
2017,Delhi Daredevils,14,0
2017,Royal Challengers Bangalore,13,0
2018,Sunrisers Hyderabad,17,1
2018,Chennai Super Kings,16,1
2018,Kolkata Knight Riders,16,1
2018,Rajasthan Royals,15,1
2018,Mumbai Indians,14,0
2018,Delhi Daredevils,14,0
2018,Kings XI Punjab,14,0
2018,Royal Challengers Bangalore,14,0
2019,Chennai Super Kings,17,1
2019,Delhi Capitals,16,1
2019,Mumbai Indians,16,1
2019,Sunrisers Hyderabad,15,1
2019,Royal Challengers Bangalore,14,0
2019,Kolkata Knight Riders,14,0
2019,Kings XI Punjab,14,0
2019,Rajasthan Royals,14,0
2020,Delhi Capitals,17,1
2020,Mumbai Indians,16,1
2020,Sunrisers Hyderabad,16,1
2020,Royal Challengers Bangalore,15,1
2020,Chennai Super Kings,14,0
2020,Kings XI Punjab,14,0
2020,Kolkata Knight Riders,14,0
2020,Rajasthan Royals,14,0
2021,Kolkata Knight Riders,17,1
2021,Chennai Super Kings,16,1
2021,Delhi Capitals,16,1
2021,Royal Challengers Bangalore,15,1
2021,Mumbai Indians,14,0
2021,Sunrisers Hyderabad,14,0
2021,Punjab Kings,14,0
2021,Rajasthan Royals,14,0
2022,Rajasthan Royals,17,1
2022,Royal Challengers Bangalore,16,1
2022,Gujarat Titans,16,1
2022,Lucknow Super Giants,15,1
2022,Chennai Super Kings,14,0
2022,Kolkata Knight Riders,14,0
2022,Mumbai Indians,14,0
2022,Delhi Capitals,14,0
2022,Punjab Kings,14,0
2022,Sunrisers Hyderabad,14,0
2023,Gujarat Titans,17,1
2023,Mumbai Indians,16,1
2023,Chennai Super Kings,15,1
2023,Lucknow Super Giants,15,1
2023,Punjab Kings,14,0
2023,Kolkata Knight Riders,14,0
2023,Delhi Capitals,14,0
2023,Rajasthan Royals,14,0
2023,Sunrisers Hyderabad,14,0
2023,Royal Challengers Bangalore,14,0
2024,Sunrisers Hyderabad,16,1
2024,Royal Challengers Bengaluru,15,1
2024,Rajasthan Royals,15,1
2024,Kolkata Knight Riders,14,1
2024,Chennai Super Kings,14,0
2024,Delhi Capitals,14,0
2024,Punjab Kings,14,0
2024,Lucknow Super Giants,14,0
2024,Mumbai Indians,14,0
2024,Gujarat Titans,12,0
2025,Punjab Kings,18,1
2025,Mumbai Indians,16,1
2025,Royal Challengers Bengaluru,15,1
2025,Gujarat Titans,15,1
2025,Rajasthan Royals,14,0
2025,Chennai Super Kings,14,0
2025,Lucknow Super Giants,14,0
2025,Delhi Capitals,14,0
2025,Kolkata Knight Riders,13,0
2025,Sunrisers Hyderabad,13,0
