season,batter,batting_team,matches,runs,avg_pos,season_rank,made_playoffs,runs_per_match,proj_runs_16_matches
2008,ST Jayasuriya,Mumbai Indians,14,514,1.3,3,0,36.7,587.4
2010,SC Ganguly,Kolkata Knight Riders,14,493,1.6,4,0,35.2,563.4
2011,SE Marsh,Kings XI Punjab,13,504,3.0,4,0,38.8,620.3
2012,CH Gayle,Royal Challengers Bangalore,14,733,1.8,1,0,52.4,837.7
2012,S Dhawan,Deccan Chargers,15,569,1.9,3,0,37.9,606.9
2012,AM Rahane,Rajasthan Royals,16,560,2.0,4,0,35.0,560.0
2013,CH Gayle,Royal Challengers Bangalore,16,708,1.5,2,0,44.3,708.0
2013,V Kohli,Royal Challengers Bangalore,16,634,2.9,3,0,39.6,634.0
2014,DA Warner,Sunrisers Hyderabad,14,528,3.1,4,0,37.7,603.4
2015,DA Warner,Sunrisers Hyderabad,14,562,1.3,1,0,40.1,642.3
2017,SK Raina,Gujarat Lions,14,442,3.0,5,0,31.6,505.1
2018,RR Pant,Delhi Daredevils,14,684,3.9,2,0,48.9,781.7
2018,KL Rahul,Kings XI Punjab,14,659,1.0,3,0,47.1,753.1
2019,DA Warner,Sunrisers Hyderabad,12,692,1.1,1,0,57.7,922.7
2019,KL Rahul,Kings XI Punjab,14,593,1.0,2,0,42.4,677.7
2019,AD Russell,Kolkata Knight Riders,13,510,5.5,5,0,39.2,627.7
2020,KL Rahul,Kings XI Punjab,14,670,1.0,1,0,47.9,765.7
2021,KL Rahul,Punjab Kings,13,626,1.0,3,0,48.2,770.5
2023,F du Plessis,Royal Challengers Bangalore,14,730,2.0,2,0,52.1,834.3
2023,V Kohli,Royal Challengers Bangalore,14,639,1.0,4,0,45.6,730.3
2023,YBK Jaiswal,Rajasthan Royals,14,625,1.0,5,0,44.6,714.3
2024,RD Gaikwad,Chennai Super Kings,14,583,2.0,2,0,41.6,666.3
2025,MR Marsh,Lucknow Super Giants,13,627,1.6,5,0,48.2,771.7
