season,batter,balls_faced,runs,avg_pos,matches,made_playoffs,position_group
2008,AC Gilchrist,318,436,1.0,14,0,Opener (1-2)
2008,AM Nayar,138,206,4.905797101449275,10,0,Middle Order (4-5)
2008,B Akhil,31,46,7.290322580645161,7,0,Finisher (6+)
2008,CL White,102,114,4.862745098039215,8,0,Middle Order (4-5)
2008,DJ Bravo,134,178,5.201492537313433,7,0,Finisher (6+)
2008,DJ Hussey,259,319,4.5482625482625485,13,0,Middle Order (4-5)
2008,DPMD Jayawardene,131,179,4.961832061068702,12,1,Middle Order (4-5)
2008,G Gambhir,379,534,1.0,14,1,Opener (1-2)
2008,GC Smith,362,441,1.1988950276243093,11,1,Opener (1-2)
2008,HH Gibbs,153,167,2.2483660130718954,9,0,Top Order (3)
2008,IK Pathan,116,131,6.336206896551724,10,1,Finisher (6+)
2008,JA Morkel,163,241,5.429447852760736,10,1,Finisher (6+)
2008,JH Kallis,183,199,3.1639344262295084,11,0,Middle Order (4-5)
2008,JR Hopes,148,221,2.0,11,1,Opener (1-2)
2008,KC Sangakkara,198,320,2.8737373737373737,9,1,Top Order (3)
2008,KD Karthik,107,145,5.822429906542056,8,1,Finisher (6+)
2008,LR Shukla,122,163,6.5,12,0,Finisher (6+)
2008,M Kaif,171,176,4.023391812865497,14,1,Middle Order (4-5)
2008,M Rawat,39,34,7.461538461538462,7,1,Finisher (6+)
2008,MF Maharoof,79,125,7.063291139240507,8,1,Finisher (6+)
2008,MK Tiwary,85,104,4.705882352941177,7,1,Middle Order (4-5)
2008,MS Dhoni,310,414,4.619354838709677,14,1,Middle Order (4-5)
2008,MV Boucher,177,225,4.943502824858757,10,0,Middle Order (4-5)
2008,Misbah-ul-Haq,81,117,4.148148148148148,8,0,Middle Order (4-5)
2008,Mohammad Hafeez,83,64,4.433734939759036,8,0,Middle Order (4-5)
2008,P Kumar,98,112,7.357142857142857,12,0,Finisher (6+)
2008,PA Patel,297,302,1.0,13,1,Opener (1-2)
2008,PP Chawla,59,90,7.88135593220339,7,1,Finisher (6+)
2008,R Dravid,298,371,4.47986577181208,14,0,Middle Order (4-5)
2008,RA Jadeja,103,135,6.0,9,1,Finisher (6+)
2008,RG Sharma,273,404,4.058608058608058,12,0,Middle Order (4-5)
2008,RP Singh,24,27,9.083333333333334,9,0,Finisher (6+)
2008,RV Uthappa,279,320,3.6810035842293907,14,0,Middle Order (4-5)
2008,S Badrinath,130,192,4.815384615384615,11,1,Middle Order (4-5)
2008,S Dhawan,295,340,3.369491525423729,14,1,Middle Order (4-5)
2008,S Vidyut,109,145,2.220183486238532,8,1,Top Order (3)
2008,SA Asnodkar,233,311,2.0,9,1,Opener (1-2)
2008,SB Styris,123,112,3.926829268292683,8,0,Middle Order (4-5)
