season,batter,team,avg_pos,matches,innings,runs,mean_rpi,median_rpi,sr,death_sr
2008,A Symonds,Deccan Chargers,4.0,3,3,161,53.6667,32.0,153.3333,223.8095
2008,AB Agarkar,Kolkata Knight Riders,6.469,6,6,54,9.0,8.0,117.3913,92.3077
2008,AD Mascarenhas,Rajasthan Royals,6.0,1,1,9,9.0,9.0,112.5,300.0
2008,AM Nayar,Mumbai Indians,4.908,10,10,206,20.6,22.5,149.2754,220.0
2008,AS Yadav,Deccan Chargers,6.925,6,6,49,8.1667,9.0,125.641,134.4828
2008,CK Kapugedera,Chennai Super Kings,5.917,3,3,16,5.3333,8.0,69.5652,75.0
2008,CL White,Royal Challengers Bangalore,4.857,8,8,114,14.25,10.0,111.7647,170.0
2008,DB Das,Kolkata Knight Riders,4.526,6,6,103,17.1667,19.0,109.5745,95.0
2008,DB Ravi Teja,Deccan Chargers,5.541,6,6,109,18.1667,9.5,132.9268,156.4103
2008,DJ Bravo,Mumbai Indians,5.182,7,7,178,25.4286,24.0,132.8358,155.0
2008,DJ Hussey,Kolkata Knight Riders,4.551,13,13,319,24.5385,17.0,123.166,183.8235
2008,DPMD Jayawardene,Kings XI Punjab,4.949,12,12,179,14.9167,11.5,136.6412,107.1429
2008,DS Lehmann,Rajasthan Royals,5.0,2,2,18,9.0,9.0,100.0,
2008,IK Pathan,Kings XI Punjab,6.342,10,10,131,13.1,9.5,112.931,144.1176
2008,JA Morkel,Chennai Super Kings,5.44,10,10,241,24.1,22.0,147.8528,137.6623
2008,JDP Oram,Chennai Super Kings,6.0,2,2,18,9.0,9.0,150.0,220.0
2008,KD Karthik,Delhi Daredevils,5.815,8,8,145,18.125,11.5,135.514,155.1724
2008,LPC Silva,Deccan Chargers,4.37,3,3,40,13.3333,17.0,153.8462,230.0
2008,LR Shukla,Kolkata Knight Riders,6.512,12,12,163,13.5833,10.5,133.6066,150.0
2008,M Kaif,Rajasthan Royals,4.023,14,14,176,12.5714,11.0,102.924,127.5862
2008,MK Pandey,Mumbai Indians,5.4,2,2,3,1.5,1.5,33.3333,50.0
2008,MK Tiwary,Delhi Daredevils,4.713,7,7,104,14.8571,9.0,122.3529,168.4211
2008,MS Dhoni,Chennai Super Kings,4.63,14,14,414,29.5714,31.0,133.5484,176.1905
2008,MV Boucher,Royal Challengers Bangalore,4.967,10,10,225,22.5,17.5,127.1186,175.3846
2008,Misbah-ul-Haq,Royal Challengers Bangalore,4.171,8,8,117,14.625,6.0,144.4444,210.0
2008,Mohammad Hafeez,Kolkata Knight Riders,4.44,8,8,64,8.0,5.5,77.1084,111.1111
2008,NK Patel,Rajasthan Royals,3.819,4,4,103,25.75,22.0,127.1605,168.1818
2008,PR Shah,Mumbai Indians,5.816,4,4,34,8.5,7.5,97.1429,125.0
2008,R Bhatia,Delhi Daredevils,7.0,3,3,34,11.3333,9.0,121.4286,161.1111
2008,R Dravid,Royal Challengers Bangalore,4.485,14,14,371,26.5,27.5,124.4966,194.8276
2008,RA Jadeja,Rajasthan Royals,5.991,9,9,135,15.0,7.0,131.068,136.5854
2008,RG Sharma,Deccan Chargers,4.058,12,12,404,33.6667,34.0,147.9853,219.7183
2008,S Badrinath,Chennai Super Kings,4.775,11,11,192,17.4545,8.0,147.6923,202.0833
2008,S Sohal,Kings XI Punjab,7.0,2,2,4,2.0,2.0,50.0,50.0
2008,SB Styris,Deccan Chargers,3.919,8,8,112,14.0,9.5,91.0569,122.7273
2008,SM Pollock,Mumbai Indians,5.672,8,8,147,18.375,19.5,132.4324,190.4762
2008,SR Watson,Rajasthan Royals,3.916,15,15,472,31.4667,22.0,151.7685,185.2941
2008,SS Tiwary,Mumbai Indians,6.5,2,2,26,13.0,13.0,130.0,90.0
2008,Shahid Afridi,Deccan Chargers,4.043,9,9,81,9.0,2.0,176.087,220.0
2008,Shoaib Malik,Delhi Daredevils,4.551,5,5,52,10.4,6.0,110.6383,114.2857
2008,Sohail Tanvir,Rajasthan Royals,6.194,5,5,36,7.2,6.0,124.1379,109.0909
2008,T Taibu,Kolkata Knight Riders,5.0,3,3,31,10.3333,9.0,119.2308,150.0
2008,TM Dilshan,Delhi Daredevils,5.228,7,7,104,14.8571,16.0,131.6456,213.3333
2008,TM Srivastava,Kings XI Punjab,6.2,2,2,8,4.0,4.0,80.0,100.0
2008,WP Saha,Kolkata Knight Riders,5.58,10,10,159,15.9,12.0,133.6134,182.5
2008,Y Venugopal Rao,Deccan Chargers,4.705,10,10,288,28.8,24.5,137.1429,188.0
2008,YK Pathan,Rajasthan Royals,3.787,15,15,435,29.0,21.0,179.0123,217.3077
2008,Yuvraj Singh,Kings XI Punjab,4.141,14,14,299,21.3571,17.5,162.5,205.6604
2009,A Chopra,Kolkata Knight Riders,5.0,1,1,11,11.0,11.0,57.8947,
2009,A Flintoff,Chennai Super Kings,4.561,3,3,62,20.6667,22.0,116.9811,147.0588
2009,A Symonds,Deccan Chargers,4.439,8,8,249,31.125,27.5,150.0,181.25
2009,AA Bilakhia,Deccan Chargers,4.262,6,6,67,11.1667,11.0,82.716,117.2414
2009,AB McDonald,Delhi Daredevils,6.0,1,1,3,3.0,3.0,75.0,
2009,AD Mascarenhas,Rajasthan Royals,5.949,4,4,39,9.75,6.0,100.0,130.0
2009,AD Mathews,Kolkata Knight Riders,5.0,1,1,16,16.0,16.0,123.0769,157.1429
2009,AM Nayar,Mumbai Indians,5.581,11,11,193,17.5455,15.0,126.9737,176.7123
2009,AM Rahane,Mumbai Indians,4.391,7,7,144,20.5714,10.0,117.0732,148.9362
2009,AS Raut,Rajasthan Royals,6.985,7,7,78,11.1429,7.0,127.8689,140.0
2009,DB Ravi Teja,Deccan Chargers,5.563,6,6,65,10.8333,8.5,92.8571,115.7895
2009,DJ Bravo,Mumbai Indians,4.128,10,10,218,21.8,14.0,107.3892,160.0
2009,DJ Hussey,Kolkata Knight Riders,4.213,4,4,98,24.5,26.0,166.1017,252.9412
2009,DL Vettori,Delhi Daredevils,6.312,3,3,34,11.3333,4.0,106.25,154.5455
2009,DPMD Jayawardene,Kings XI Punjab,4.866,10,10,219,21.9,14.0,132.7273,165.0794
2009,DR Smith,Deccan Chargers,4.948,8,8,215,26.875,25.5,162.8788,148.5714
2009,GR Napier,Mumbai Indians,6.0,1,1,15,15.0,15.0,93.75,125.0
2009,Harbhajan Singh,Mumbai Indians,6.158,10,10,84,8.4,6.5,158.4906,157.8947
2009,IK Pathan,Kings XI Punjab,5.884,12,12,196,16.3333,15.5,124.0506,132.8571
2009,J Botha,Rajasthan Royals,4.357,3,3,47,15.6667,8.0,117.5,120.0
2009,JA Morkel,Chennai Super Kings,5.548,10,10,97,9.7,7.5,138.5714,146.7742
2009,JDP Oram,Chennai Super Kings,5.521,8,8,88,11.0,7.5,94.6237,113.3333
2009,JP Duminy,Mumbai Indians,3.817,12,12,372,31.0,32.5,114.4615,165.8537
2009,KC Sangakkara,Kings XI Punjab,3.786,13,13,332,25.5385,25.0,102.4691,129.7872
2009,KD Karthik,Delhi Daredevils,5.286,13,13,288,22.1538,18.0,132.7189,157.8313
2009,LR Shukla,Kolkata Knight Riders,5.616,6,6,83,13.8333,7.0,97.6471,113.7931
2009,LRPL Taylor,Royal Challengers Bangalore,4.441,11,11,280,25.4545,25.0,134.6154,180.0
2009,M Manhas,Delhi Daredevils,5.723,6,6,75,12.5,13.0,120.9677,132.4324
2009,MC Henriques,Kolkata Knight Riders,5.2,3,3,38,12.6667,6.0,95.0,180.0
2009,MK Tiwary,Delhi Daredevils,6.0,1,1,9,9.0,9.0,69.2308,90.0
2009,MS Dhoni,Chennai Super Kings,4.133,13,13,332,25.5385,22.0,127.2031,155.9524
2009,MV Boucher,Royal Challengers Bangalore,5.901,9,9,150,16.6667,10.0,129.3103,150.7246
2009,Mashrafe Mortaza,Kolkata Knight Riders,6.0,1,1,2,2.0,2.0,100.0,100.0
2009,Mohammad Ashraful,Mumbai Indians,4.0,1,1,2,2.0,2.0,20.0,
2009,PR Shah,Mumbai Indians,3.926,4,4,53,13.25,11.5,103.9216,133.3333
2009,R Bhatia,Delhi Daredevils,6.333,5,5,8,1.6,2.0,44.4444,43.75
2009,R Bishnoi,Royal Challengers Bangalore,3.765,3,3,19,6.3333,1.0,111.7647,50.0
2009,R Dravid,Royal Challengers Bangalore,4.46,12,12,271,22.5833,11.0,115.812,143.4783
2009,RA Jadeja,Rajasthan Royals,5.094,13,13,295,22.6923,22.0,110.9023,128.5714
2009,RE van der Merwe,Royal Challengers Bangalore,5.356,8,8,122,15.25,12.0,124.4898,130.0
2009,RG Sharma,Deccan Chargers,4.248,16,16,362,22.625,19.5,114.9206,158.2278
2009,S Badrinath,Chennai Super Kings,4.452,11,11,177,16.0909,7.0,107.9268,143.5897
2009,S Dhawan,Mumbai Indians,4.022,4,4,40,10.0,7.5,88.8889,120.0
2009,SB Bangar,Kolkata Knight Riders,6.0,1,1,2,2.0,2.0,22.2222,
2009,SB Styris,Deccan Chargers,5.0,1,1,14,14.0,14.0,175.0,266.6667
2009,SD Chitnis,Rajasthan Royals,5.0,1,1,6,6.0,6.0,75.0,75.0
2009,SS Shaikh,Kolkata Knight Riders,7.0,1,1,6,6.0,6.0,85.7143,
2009,T Henderson,Rajasthan Royals,4.25,2,2,11,5.5,5.5,68.75,
2009,T Kohli,Kings XI Punjab,7.0,1,1,1,1.0,1.0,25.0,25.0
2009,V Kohli,Royal Challengers Bangalore,5.107,13,13,246,18.9231,19.0,112.3288,160.0
2009,WA Mota,Kings XI Punjab,6.292,6,6,30,5.0,4.5,62.5,60.0
2009,WP Saha,Kolkata Knight Riders,5.683,7,7,72,10.2857,8.0,175.6098,200.0
2009,WPUJC Vaas,Deccan Chargers,6.571,2,2,30,15.0,15.0,142.8571,144.4444
2009,Y Nagar,Delhi Daredevils,7.0,1,1,20,20.0,20.0,100.0,180.0
2009,Y Venugopal Rao,Deccan Chargers,6.263,12,12,124,10.3333,8.5,108.7719,117.5824
2009,YK Pathan,Rajasthan Royals,5.133,13,13,243,18.6923,12.0,132.7869,215.1515
2009,Yashpal Singh,Kolkata Knight Riders,5.239,4,4,47,11.75,10.5,71.2121,130.7692
2009,Yuvraj Singh,Kings XI Punjab,4.12,14,14,340,24.2857,18.0,115.6463,165.0
2010,A Symonds,Deccan Chargers,4.449,16,16,429,26.8125,22.5,125.8065,155.8824
2010,AA Bilakhia,Deccan Chargers,7.0,1,1,2,2.0,2.0,50.0,50.0
2010,AA Jhunjhunwala,Rajasthan Royals,4.75,10,10,183,18.3,12.0,110.241,166.6667
2010,AB McDonald,Delhi Daredevils,6.741,3,3,65,21.6667,18.0,125.0,137.5
2010,AC Voges,Rajasthan Royals,5.72,7,7,181,25.8571,28.0,126.5734,151.7857
2010,AD Mascarenhas,Rajasthan Royals,7.0,2,2,12,6.0,6.0,120.0,120.0
2010,AD Mathews,Kolkata Knight Riders,5.685,10,10,233,23.3,18.0,126.6304,162.5
2010,AJ Finch,Rajasthan Royals,4.0,1,1,21,21.0,21.0,100.0,
2010,AT Rayudu,Mumbai Indians,4.484,14,14,356,25.4286,25.5,144.7154,160.9375
2010,Anirudh Singh,Deccan Chargers,4.0,4,4,63,15.75,11.5,95.4545,92.8571
2010,CA Pujara,Kolkata Knight Riders,3.899,6,6,122,20.3333,16.5,106.087,100.0
