season,batter,team,avg_pos,matches,innings,runs,mean_rpi,median_rpi,sr,death_sr,z_volume,z_efficiency,z_finishing,z_consistency,index,season_rank
2008,RG Sharma,Deccan Chargers,4.06,12,12,404,33.7,34.0,148.0,219.7,2.24,0.79,1.36,2.21,1.65,1
2008,MS Dhoni,Chennai Super Kings,4.63,14,14,414,29.6,31.0,133.5,176.2,1.62,0.05,0.07,1.85,0.9,2
2008,AM Nayar,Mumbai Indians,4.91,10,10,206,20.6,22.5,149.3,220.0,0.26,0.86,1.36,0.84,0.83,3
2008,Y Venugopal Rao,Deccan Chargers,4.71,10,10,288,28.8,24.5,137.1,188.0,1.5,0.23,0.42,1.08,0.81,4
2008,Yuvraj Singh,Kings XI Punjab,4.14,14,14,299,21.4,17.5,162.5,205.7,0.38,1.54,0.94,0.24,0.78,5
2008,R Dravid,Royal Challengers Bangalore,4.48,14,14,371,26.5,27.5,124.5,194.8,1.16,-0.42,0.62,1.43,0.7,6
2008,DJ Bravo,Mumbai Indians,5.18,7,7,178,25.4,24.0,132.8,155.0,0.99,0.01,-0.55,1.02,0.37,7
2008,JA Morkel,Chennai Super Kings,5.44,10,10,241,24.1,22.0,147.9,137.7,0.79,0.79,-1.07,0.78,0.32,8
2008,SM Pollock,Mumbai Indians,5.67,8,8,147,18.4,19.5,132.4,190.5,-0.07,-0.01,0.49,0.48,0.22,9
2008,DJ Hussey,Kolkata Knight Riders,4.55,13,13,319,24.5,17.0,123.2,183.8,0.86,-0.49,0.3,0.18,0.21,10
2008,TM Dilshan,Delhi Daredevils,5.23,7,7,104,14.9,16.0,131.6,213.3,-0.61,-0.05,1.17,0.06,0.14,11
2008,MV Boucher,Royal Challengers Bangalore,4.97,10,10,225,22.5,17.5,127.1,175.4,0.55,-0.28,0.05,0.24,0.14,12
2008,S Badrinath,Chennai Super Kings,4.78,11,11,192,17.5,8.0,147.7,202.1,-0.21,0.78,0.83,-0.89,0.13,13
2008,Shahid Afridi,Deccan Chargers,4.04,9,9,81,9.0,2.0,176.1,220.0,-1.5,2.24,1.36,-1.6,0.13,14
2008,Misbah-ul-Haq,Royal Challengers Bangalore,4.17,8,8,117,14.6,6.0,144.4,210.0,-0.64,0.61,1.07,-1.13,-0.02,15
2008,WP Saha,Kolkata Knight Riders,5.58,10,10,159,15.9,12.0,133.6,182.5,-0.45,0.05,0.26,-0.41,-0.14,16
2008,KD Karthik,Delhi Daredevils,5.81,8,8,145,18.1,11.5,135.5,155.2,-0.11,0.15,-0.55,-0.47,-0.25,17
2008,LR Shukla,Kolkata Knight Riders,6.51,12,12,163,13.6,10.5,133.6,150.0,-0.8,0.05,-0.7,-0.59,-0.51,18
2008,MK Tiwary,Delhi Daredevils,4.71,7,7,104,14.9,9.0,122.4,168.4,-0.61,-0.53,-0.16,-0.77,-0.52,19
2008,CL White,Royal Challengers Bangalore,4.86,8,8,114,14.2,10.0,111.8,170.0,-0.7,-1.08,-0.11,-0.65,-0.63,20
2008,RA Jadeja,Rajasthan Royals,5.99,9,9,135,15.0,7.0,131.1,136.6,-0.59,-0.08,-1.1,-1.01,-0.69,21
2008,DPMD Jayawardene,Kings XI Punjab,4.95,12,12,179,14.9,11.5,136.6,107.1,-0.6,0.21,-1.97,-0.47,-0.71,22
2008,IK Pathan,Kings XI Punjab,6.34,10,10,131,13.1,9.5,112.9,144.1,-0.87,-1.02,-0.88,-0.71,-0.87,23
2008,M Kaif,Rajasthan Royals,4.02,14,14,176,12.6,11.0,102.9,127.6,-0.95,-1.53,-1.36,-0.53,-1.09,24
2008,Mohammad Hafeez,Kolkata Knight Riders,4.44,8,8,64,8.0,5.5,77.1,111.1,-1.65,-2.86,-1.85,-1.18,-1.89,25
2009,A Symonds,Deccan Chargers,4.44,8,8,249,31.1,27.5,150.0,181.2,2.03,1.2,1.11,2.01,1.59,1
2009,DR Smith,Deccan Chargers,4.95,8,8,215,26.9,25.5,162.9,148.6,1.33,1.88,-0.28,1.71,1.16,2
2009,LRPL Taylor,Royal Challengers Bangalore,4.44,11,11,280,25.5,25.0,134.6,180.0,1.1,0.38,1.06,1.63,1.04,3
2009,YK Pathan,Rajasthan Royals,5.13,13,13,243,18.7,12.0,132.8,215.2,-0.0,0.29,2.55,-0.38,0.61,4
2009,MS Dhoni,Chennai Super Kings,4.13,13,13,332,25.5,22.0,127.2,156.0,1.11,-0.01,0.04,1.16,0.58,5
2009,WP Saha,Kolkata Knight Riders,5.68,7,7,72,10.3,8.0,175.6,200.0,-1.38,2.55,1.91,-1.0,0.52,6
2009,KD Karthik,Delhi Daredevils,5.29,13,13,288,22.2,18.0,132.7,157.8,0.56,0.28,0.12,0.54,0.38,7
2009,Yuvraj Singh,Kings XI Punjab,4.12,14,14,340,24.3,18.0,115.6,165.0,0.91,-0.62,0.42,0.54,0.31,8
2009,DPMD Jayawardene,Kings XI Punjab,4.87,10,10,219,21.9,14.0,132.7,165.1,0.52,0.28,0.42,-0.07,0.29,9
2009,RG Sharma,Deccan Chargers,4.25,16,16,362,22.6,19.5,114.9,158.2,0.64,-0.66,0.13,0.78,0.22,10
2009,AM Nayar,Mumbai Indians,5.58,11,11,193,17.5,15.0,127.0,176.7,-0.19,-0.02,0.92,0.08,0.2,11
2009,V Kohli,Royal Challengers Bangalore,5.11,13,13,246,18.9,19.0,112.3,160.0,0.03,-0.79,0.21,0.7,0.04,12
2009,RA Jadeja,Rajasthan Royals,5.09,13,13,295,22.7,22.0,110.9,128.6,0.65,-0.87,-1.13,1.16,-0.05,13
2009,DJ Bravo,Mumbai Indians,4.13,10,10,218,21.8,14.0,107.4,160.0,0.5,-1.06,0.21,-0.07,-0.1,14
2009,R Dravid,Royal Challengers Bangalore,4.46,12,12,271,22.6,11.0,115.8,143.5,0.63,-0.61,-0.49,-0.54,-0.25,15
2009,MV Boucher,Royal Challengers Bangalore,5.9,9,9,150,16.7,10.0,129.3,150.7,-0.33,0.1,-0.19,-0.69,-0.28,16
2009,Harbhajan Singh,Mumbai Indians,6.16,10,10,84,8.4,6.5,158.5,157.9,-1.68,1.65,0.12,-1.23,-0.29,17
2009,AM Rahane,Mumbai Indians,4.39,7,7,144,20.6,10.0,117.1,148.9,0.3,-0.54,-0.26,-0.69,-0.3,18
2009,IK Pathan,Kings XI Punjab,5.88,12,12,196,16.3,15.5,124.1,132.9,-0.39,-0.17,-0.94,0.16,-0.34,19
2009,RE van der Merwe,Royal Challengers Bangalore,5.36,8,8,122,15.2,12.0,124.5,130.0,-0.57,-0.15,-1.07,-0.38,-0.54,20
2009,JA Morkel,Chennai Super Kings,5.55,10,10,97,9.7,7.5,138.6,146.8,-1.47,0.59,-0.35,-1.08,-0.58,21
2009,AS Raut,Rajasthan Royals,6.98,7,7,78,11.1,7.0,127.9,140.0,-1.24,0.03,-0.64,-1.16,-0.75,22
2009,S Badrinath,Chennai Super Kings,4.45,11,11,177,16.1,7.0,107.9,143.6,-0.43,-1.03,-0.49,-1.16,-0.78,23
2009,Y Venugopal Rao,Deccan Chargers,6.26,12,12,124,10.3,8.5,108.8,117.6,-1.37,-0.98,-1.59,-0.93,-1.22,24
2009,JDP Oram,Chennai Super Kings,5.52,8,8,88,11.0,7.5,94.6,113.3,-1.26,-1.73,-1.77,-1.08,-1.46,25
2010,RV Uthappa,Royal Challengers Bangalore,4.03,14,14,374,26.7,22.5,171.6,260.0,1.05,1.89,1.9,0.89,1.43,1
2010,YK Pathan,Rajasthan Royals,4.46,14,14,333,23.8,13.0,165.7,327.3,0.52,1.61,3.43,-0.67,1.22,2
2010,KA Pollard,Mumbai Indians,6.05,14,14,273,19.5,20.0,185.7,227.8,-0.27,2.56,1.17,0.48,0.98,3
2010,MS Dhoni,Chennai Super Kings,4.79,11,11,287,26.1,22.0,136.7,197.8,0.94,0.24,0.49,0.81,0.62,4
2010,AT Rayudu,Mumbai Indians,4.48,14,14,356,25.4,25.5,144.7,160.9,0.82,0.62,-0.35,1.39,0.62,5
2010,AC Voges,Rajasthan Royals,5.72,7,7,181,25.9,28.0,126.6,151.8,0.9,-0.24,-0.56,1.8,0.47,6
2010,IK Pathan,Kings XI Punjab,4.81,13,13,276,21.2,18.0,148.4,196.1,0.05,0.79,0.45,0.15,0.36,7
2010,PD Collingwood,Delhi Daredevils,4.89,7,7,203,29.0,16.0,130.1,180.0,1.47,-0.07,0.08,-0.17,0.33,8
2010,A Symonds,Deccan Chargers,4.45,16,16,429,26.8,22.5,125.8,155.9,1.07,-0.28,-0.47,0.89,0.31,9
2010,V Kohli,Royal Challengers Bangalore,5.24,13,13,307,23.6,17.0,144.8,180.2,0.48,0.62,0.09,-0.01,0.3,10
2010,JP Duminy,Mumbai Indians,4.9,7,7,157,22.4,21.0,119.8,177.6,0.27,-0.56,0.02,0.65,0.1,11
2010,S Badrinath,Chennai Super Kings,4.58,15,15,356,23.7,25.0,117.5,135.3,0.51,-0.67,-0.94,1.3,0.05,12
2010,AD Mathews,Kolkata Knight Riders,5.69,10,10,233,23.3,18.0,126.6,162.5,0.43,-0.24,-0.32,0.15,0.01,13
